cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,25200,15360,5120,54,0,908.2681,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4363.93,966.65,0.0
256,25200,5120,5120,45,0,306.0092,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4317.54,1096.92,0.0
256,25200,20480,5120,45,0,1146.892,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4607.95,1001.95,0.0
256,25200,5120,20480,54,0,994.3035,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,5315.1,571.78,0.0
256,131072,1024,4096,45,0,265.9427,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4134.39,2026.63,0.0
256,131072,4096,512,54,0,349.699,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1572.08,3169.43,0.0
256,8168,2048,2048,45,0,24.7955,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2763.33,1771.18,0.0
256,8168,2048,1024,54,0,18.2177,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1880.54,2123.58,0.0
256,23040,2048,2048,45,0,66.989,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2885.15,1792.26,0.0
256,23040,2048,1024,45,0,49.5605,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1949.87,2163.35,0.0
256,17928,2048,2048,40,0,60.9354,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x512E,2468.04,1540.79,0.0
256,17928,2048,1024,40,0,42.7093,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x512E,1760.63,1958.84,0.0
256,178,1024,1536,21,0,4.5648,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,122.66,282.09,0.0
256,34280,256,1536,47,0,16.966,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,1588.99,2597.84,0.0
