M,N,K
16,1536,7168
16,3072,1536
16,576,7168
16,7168,256
16,7168,2048
16,4608,7168
16,7168,2304
16,512,7168
16,4096,512
32,1536,7168
32,3072,1536
32,576,7168
32,7168,256
32,7168,2048
32,4608,7168
32,7168,2304
32,512,7168
32,4096,512
64,1536,7168
64,3072,1536
64,576,7168
64,7168,256
64,7168,2048
64,4608,7168
64,7168,2304
64,512,7168
64,4096,512
128,1536,7168
128,3072,1536
128,576,7168
128,7168,256
128,7168,2048
128,4608,7168
128,7168,2304
128,512,7168
128,4096,512
256,1536,7168
256,3072,1536
256,576,7168
256,7168,256
256,7168,2048
256,4608,7168
256,7168,2304
256,512,7168
256,4096,512
512,1536,7168
512,3072,1536
512,576,7168
512,7168,256
512,7168,2048
512,4608,7168
512,7168,2304
512,512,7168
512,4096,512
1024,1536,7168
1024,3072,1536
1024,576,7168
1024,7168,256
1024,7168,2048
1024,4608,7168
1024,7168,2304
1024,512,7168
1024,4096,512
1536,1536,7168
1536,3072,1536
1536,576,7168
1536,7168,256
1536,7168,2048
1536,4608,7168
1536,7168,2304
1536,512,7168
1536,4096,512
2048,1536,7168
2048,3072,1536
2048,576,7168
2048,7168,256
2048,7168,2048
2048,4608,7168
2048,7168,2304
2048,512,7168
2048,4096,512
4096,1536,7168
4096,3072,1536
4096,576,7168
4096,7168,256
4096,7168,2048
4096,4608,7168
4096,7168,2304
4096,512,7168
4096,4096,512
8192,1536,7168
8192,3072,1536
8192,576,7168
8192,7168,256
8192,7168,2048
8192,4608,7168
8192,7168,2304
8192,512,7168
8192,4096,512
16384,1536,7168
16384,3072,1536
16384,576,7168
16384,7168,256
16384,7168,2048
16384,4608,7168
16384,7168,2304
16384,512,7168
16384,4096,512
20480,1536,7168
20480,3072,1536
20480,576,7168
20480,7168,256
20480,7168,2048
20480,4608,7168
20480,7168,2304
20480,512,7168
20480,4096,512
16,2112,7168
32,2112,7168
64,2112,7168
128,2112,7168
256,2112,7168
512,2112,7168
1024,2112,7168
2048,2112,7168
4096,2112,7168
8192,2112,7168
16384,2112,7168
32768,2112,7168
65536,2112,7168
16,32768,512
32,32768,512
64,32768,512
128,32768,512
256,32768,512
512,32768,512
1024,32768,512
2048,32768,512
4096,32768,512
8192,32768,512
16384,32768,512
32768,32768,512
65536,32768,512
16,7168,16384
32,7168,16384
64,7168,16384
128,7168,16384
256,7168,16384
512,7168,16384
1024,7168,16384
2048,7168,16384
4096,7168,16384
8192,7168,16384
16384,7168,16384
32768,7168,16384
65536,7168,16384
16,8192,1536
32,8192,1536
64,8192,1536
128,8192,1536
256,8192,1536
512,8192,1536
1024,8192,1536
2048,8192,1536
4096,8192,1536
8192,8192,1536
16384,8192,1536
32768,8192,1536
65536,8192,1536
16,128,7168
32,128,7168
64,128,7168
128,128,7168
256,128,7168
512,128,7168
1024,128,7168
2048,128,7168
4096,128,7168
8192,128,7168
16384,128,7168
32768,128,7168
65536,128,7168
16,64,7168
32,64,7168
64,64,7168
128,64,7168
256,64,7168
512,64,7168
1024,64,7168
2048,64,7168
4096,64,7168
8192,64,7168
16384,64,7168
32768,64,7168
65536,64,7168
1,2112,7168
2,2112,7168
4,2112,7168
8,2112,7168
96,2112,7168
160,2112,7168
192,2112,7168
224,2112,7168
288,2112,7168
320,2112,7168
352,2112,7168
384,2112,7168
416,2112,7168
448,2112,7168
480,2112,7168
6144,2112,7168
10240,2112,7168
12288,2112,7168
14336,2112,7168
98304,2112,7168
131072,2112,7168
1,24576,1536
2,24576,1536
4,24576,1536
8,24576,1536
16,24576,1536
32,24576,1536
64,24576,1536
96,24576,1536
128,24576,1536
160,24576,1536
192,24576,1536
224,24576,1536
256,24576,1536
288,24576,1536
320,24576,1536
352,24576,1536
384,24576,1536
416,24576,1536
448,24576,1536
480,24576,1536
512,24576,1536
1024,24576,1536
2048,24576,1536
4096,24576,1536
6144,24576,1536
8192,24576,1536
10240,24576,1536
12288,24576,1536
14336,24576,1536
16384,24576,1536
32768,24576,1536
65536,24576,1536
1,32768,512
2,32768,512
4,32768,512
8,32768,512
96,32768,512
160,32768,512
192,32768,512
224,32768,512
288,32768,512
320,32768,512
352,32768,512
384,32768,512
416,32768,512
448,32768,512
480,32768,512
6144,32768,512
10240,32768,512
12288,32768,512
14336,32768,512
1,7168,16384
2,7168,16384
4,7168,16384
8,7168,16384
96,7168,16384
160,7168,16384
192,7168,16384
224,7168,16384
288,7168,16384
320,7168,16384
352,7168,16384
384,7168,16384
416,7168,16384
448,7168,16384
480,7168,16384
6144,7168,16384
10240,7168,16384
12288,7168,16384
14336,7168,16384
98304,7168,16384
131072,7168,16384
1,36864,7168
2,36864,7168
4,36864,7168
8,36864,7168
16,36864,7168
32,36864,7168
64,36864,7168
96,36864,7168
128,36864,7168
160,36864,7168
192,36864,7168
224,36864,7168
256,36864,7168
288,36864,7168
320,36864,7168
352,36864,7168
384,36864,7168
416,36864,7168
448,36864,7168
480,36864,7168
512,36864,7168
1024,36864,7168
2048,36864,7168
4096,36864,7168
6144,36864,7168
8192,36864,7168
10240,36864,7168
12288,36864,7168
14336,36864,7168
16384,36864,7168
32768,36864,7168
1,7168,18432
2,7168,18432
4,7168,18432
8,7168,18432
16,7168,18432
32,7168,18432
64,7168,18432
96,7168,18432
128,7168,18432
160,7168,18432
192,7168,18432
224,7168,18432
256,7168,18432
288,7168,18432
320,7168,18432
352,7168,18432
384,7168,18432
416,7168,18432
448,7168,18432
480,7168,18432
512,7168,18432
1024,7168,18432
2048,7168,18432
4096,7168,18432
6144,7168,18432
8192,7168,18432
10240,7168,18432
12288,7168,18432
14336,7168,18432
16384,7168,18432
32768,7168,18432
65536,7168,18432
1,8192,1536
2,8192,1536
4,8192,1536
8,8192,1536
96,8192,1536
160,8192,1536
192,8192,1536
224,8192,1536
288,8192,1536
320,8192,1536
352,8192,1536
384,8192,1536
416,8192,1536
448,8192,1536
480,8192,1536
6144,8192,1536
10240,8192,1536
12288,8192,1536
14336,8192,1536
98304,8192,1536
131072,8192,1536
1,128,7168
2,128,7168
4,128,7168
8,128,7168
96,128,7168
160,128,7168
192,128,7168
224,128,7168
288,128,7168
320,128,7168
352,128,7168
384,128,7168
416,128,7168
448,128,7168
480,128,7168
6144,128,7168
10240,128,7168
12288,128,7168
14336,128,7168
98304,128,7168
