cu_num,M,N,K,kernelId,splitK,us,kernelName
304,1,512,7168,30,0,9.806,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,1,3072,1536,2,0,5.1563,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,1,4608,7168,2,0,12.8126,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,1,7168,256,34,0,3.6832,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x128x256_1x4x1_16x16x64_default
304,1,7168,2048,30,0,7.5911,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,1,7168,2304,49,0,8.7949,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x256_1x4x1_16x16x64_default
304,2,512,7168,30,0,10.1394,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,2,3072,1536,2,0,5.2188,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,2,4608,7168,2,0,13.1815,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,2,7168,256,5,0,3.5882,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x256_1x4x1_16x16x64_default
304,2,7168,2048,2,0,7.7818,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,2,7168,2304,33,0,8.3683,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x256_1x4x1_16x16x64_default
304,4,512,7168,2,0,10.0689,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,4,3072,1536,30,0,5.4205,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,4,4608,7168,2,0,13.2346,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,4,7168,256,6,0,3.4786,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x128x256_1x4x1_16x16x64_default
304,4,7168,2048,2,0,7.5019,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,4,7168,2304,21,0,8.2562,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x256_1x4x1_16x16x64_default
304,8,512,7168,2,0,9.5612,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,8,3072,1536,2,0,5.1643,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,8,4608,7168,30,0,12.814,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,8,7168,256,5,0,3.6312,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x256_1x4x1_16x16x64_default
304,8,7168,2048,30,0,7.3577,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,8,7168,2304,5,0,8.9864,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x256_1x4x1_16x16x64_default
304,16,512,7168,2,0,10.7533,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,16,3072,1536,30,0,5.4024,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x64_default
304,16,4608,7168,37,0,13.1187,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x512_1x4x1_16x16x64_default
