cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,192,1536,5120,torch.float8_e4m3fnuz,cktile,9,0,18.9229,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default,159.59,498.72,0.0
256,1,800,5120,torch.float8_e4m3fn,ck,10,0,8.7891,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.93,466.8,0.0
256,1,1280,8192,torch.float8_e4m3fn,flydsl,603,0,12.6525,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x1x1_default,1.66,829.6,0.0
256,1,2304,16384,torch.float8_e4m3fn,flydsl,1433,0,22.7957,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x4_default,3.31,1656.88,0.0
256,1,2560,8192,torch.float8_e4m3fn,ck,10,0,12.977,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,3.23,1617.08,0.0
256,1,4608,16384,torch.float8_e4m3fn,flydsl,1101,0,24.4023,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x3_default,6.19,3094.92,0.0
256,1,5120,640,torch.float8_e4m3fn,ck,23,0,5.4653,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.2,601.56,0.0
256,1,5120,1280,torch.float8_e4m3fn,flydsl,332,0,5.3562,flydsl_bpreshuflle_16x64x256_F8_F8_B16_1x0x0x1_default,2.45,1225.7,0.0
256,1,5120,3200,torch.float8_e4m3fn,ck,9,0,14.061,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,2.33,1166.16,0.0
256,1,5120,5120,torch.float8_e4m3fn,ck,10,0,9.2493,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,5.67,2835.86,0.0
256,1,5120,6400,torch.float8_e4m3fn,flydsl,747,0,15.2525,flydsl_bpreshuflle_16x64x256_F8_F8_B16_1x0x1x2_default,4.3,2149.46,0.0
256,1,5120,25600,torch.float8_e4m3fn,flydsl,852,0,36.6543,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2_default,7.15,3576.87,0.0
256,1,6400,5120,torch.float8_e4m3fn,flydsl,852,0,9.9117,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2_default,6.61,3307.8,0.0
256,1,7168,8192,torch.float8_e4m3fn,ck,10,0,14.4923,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,8.1,4053.38,0.0
256,1,8192,1024,torch.float8_e4m3fn,flydsl,997,0,4.4398,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x3_default,3.78,1893.33,0.0
256,1,8192,2048,torch.float8_e4m3fn,flydsl,1,0,5.744,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0_default,5.84,2924.03,0.0
256,1,8192,3584,torch.float8_e4m3fn,ck,10,0,8.1982,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,7.16,3583.73,0.0
256,1,8192,7168,torch.float8_e4m3fn,flydsl,1184,0,13.3313,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3_default,8.81,4406.46,0.0
256,1,8192,8192,torch.float8_e4m3fn,ck,24,0,15.4382,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,8.69,4348.53,0.0
256,1,8192,28672,torch.float8_e4m3fn,flydsl,1184,0,45.2384,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3_default,10.38,5193.07,0.0
256,1,9216,16384,torch.float8_e4m3fn,flydsl,852,0,28.5494,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2_default,10.58,5290.12,0.0
256,1,10240,8192,torch.float8_e4m3fn,ck,10,0,17.1535,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.78,4891.99,0.0
256,1,12800,5120,torch.float8_e4m3fn,flydsl,1018,0,12.9753,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x0x3_default,10.1,5053.19,0.0
256,1,13312,16384,torch.float8_e4m3fn,ck,10,0,39.0348,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,11.17,5588.52,0.0
256,1,14336,8192,torch.float8_e4m3fn,ck,10,0,21.8613,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,10.74,5373.76,0.0
256,1,16384,2048,torch.float8_e4m3fn,flydsl,1329,0,7.8338,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4_default,8.57,4287.73,0.0
256,1,16384,4096,torch.float8_e4m3fn,flydsl,520,0,13.8877,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x1_default,9.66,4834.91,0.0
256,1,16384,6656,torch.float8_e4m3fn,flydsl,1516,0,19.6787,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4_default,11.08,5543.62,0.0
256,1,16384,8192,torch.float8_e4m3fn,ck,24,0,25.2062,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,10.65,5326.42,0.0
