M,N,K
1, 3072, 1536
2, 3072, 1536
4, 3072, 1536
8, 3072, 1536
16, 3072, 1536
32, 3072, 1536
64, 3072, 1536
128, 3072, 1536
256, 3072, 1536
512, 3072, 1536
1024, 3072, 1536
2048, 3072, 1536
4096, 3072, 1536
8192, 3072, 1536
16384, 3072, 1536
32768, 3072, 1536
1, 7168, 256
2, 7168, 256
4, 7168, 256
8, 7168, 256
16, 7168, 256
32, 7168, 256
64, 7168, 256
128, 7168, 256
256, 7168, 256
512, 7168, 256
1024, 7168, 256
2048, 7168, 256
4096, 7168, 256
8192, 7168, 256
16384, 7168, 256
32768, 7168, 256
1, 7168, 2048
2, 7168, 2048
4, 7168, 2048
8, 7168, 2048
16, 7168, 2048
32, 7168, 2048
64, 7168, 2048
128, 7168, 2048
256, 7168, 2048
512, 7168, 2048
1024, 7168, 2048
2048, 7168, 2048
4096, 7168, 2048
8192, 7168, 2048
16384, 7168, 2048
32768, 7168, 2048
1, 4608, 7168
2, 4608, 7168
4, 4608, 7168
8, 4608, 7168
16, 4608, 7168
32, 4608, 7168
64, 4608, 7168
128, 4608, 7168
256, 4608, 7168
512, 4608, 7168
1024, 4608, 7168
2048, 4608, 7168
4096, 4608, 7168
8192, 4608, 7168
16384, 4608, 7168
32768, 4608, 7168
1, 7168, 2304
2, 7168, 2304
4, 7168, 2304
8, 7168, 2304
16, 7168, 2304
32, 7168, 2304
64, 7168, 2304
128, 7168, 2304
256, 7168, 2304
512, 7168, 2304
1024, 7168, 2304
2048, 7168, 2304
4096, 7168, 2304
8192, 7168, 2304
16384, 7168, 2304
32768, 7168, 2304
1, 512, 7168
2, 512, 7168
4, 512, 7168
8, 512, 7168
16, 512, 7168
32, 512, 7168
64, 512, 7168
128, 512, 7168
256, 512, 7168
512, 512, 7168
1024, 512, 7168
2048, 512, 7168
4096, 512, 7168
8192, 512, 7168
16384, 512, 7168
32768, 512, 7168
