M,N,K,q_dtype_w
1, 1280, 8192,torch.int8
32, 1280, 8192,torch.int8
64, 1280, 8192,torch.int8
128, 1280, 8192,torch.int8
192, 1280, 8192,torch.int8
256, 1280, 8192,torch.int8
320, 1280, 8192,torch.int8
512, 1280, 8192,torch.int8
1024, 1280, 8192,torch.int8
2048, 1280, 8192,torch.int8
4096, 1280, 8192,torch.int8
8192, 1280, 8192,torch.int8
16384, 1280, 8192,torch.int8
1, 8192, 1024,torch.int8
32, 8192, 1024,torch.int8
64, 8192, 1024,torch.int8
128, 8192, 1024,torch.int8
192, 8192, 1024,torch.int8
256, 8192, 1024,torch.int8
320, 8192, 1024,torch.int8
512, 8192, 1024,torch.int8
1024, 8192, 1024,torch.int8
2048, 8192, 1024,torch.int8
4096, 8192, 1024,torch.int8
8192, 8192, 1024,torch.int8
16384, 8192, 1024,torch.int8
16,1024,8192,torch.float8_e4m3fn
16,1280,8192,torch.float8_e4m3fn
16,3584,8192,torch.float8_e4m3fn
16,7168,8192,torch.float8_e4m3fn
16,8192,8192,torch.float8_e4m3fn
16,10240,8192,torch.float8_e4m3fn
16,28672,8192,torch.float8_e4m3fn
16,57344,8192,torch.float8_e4m3fn
32,1024,8192,torch.float8_e4m3fn
32,1280,8192,torch.float8_e4m3fn
32,3584,8192,torch.float8_e4m3fn
32,7168,8192,torch.float8_e4m3fn
32,8192,8192,torch.float8_e4m3fn
32,10240,8192,torch.float8_e4m3fn
32,28672,8192,torch.float8_e4m3fn
32,57344,8192,torch.float8_e4m3fn
64,1024,8192,torch.float8_e4m3fn
64,1280,8192,torch.float8_e4m3fn
64,3584,8192,torch.float8_e4m3fn
64,7168,8192,torch.float8_e4m3fn
64,8192,8192,torch.float8_e4m3fn
64,10240,8192,torch.float8_e4m3fn
64,28672,8192,torch.float8_e4m3fn
64,57344,8192,torch.float8_e4m3fn
128,1024,8192,torch.float8_e4m3fn
128,1280,8192,torch.float8_e4m3fn
128,3584,8192,torch.float8_e4m3fn
128,7168,8192,torch.float8_e4m3fn
128,8192,8192,torch.float8_e4m3fn
128,10240,8192,torch.float8_e4m3fn
128,28672,8192,torch.float8_e4m3fn
128,57344,8192,torch.float8_e4m3fn
256,1024,8192,torch.float8_e4m3fn
256,1280,8192,torch.float8_e4m3fn
256,3584,8192,torch.float8_e4m3fn
256,7168,8192,torch.float8_e4m3fn
256,8192,8192,torch.float8_e4m3fn
256,10240,8192,torch.float8_e4m3fn
256,28672,8192,torch.float8_e4m3fn
256,57344,8192,torch.float8_e4m3fn
1,1024,2048,torch.float8_e4m3fn
1,12288,2048,torch.float8_e4m3fn
1,2048,4096,torch.float8_e4m3fn
1,2048,512,torch.float8_e4m3fn
1,9216,2048,torch.float8_e4m3fn
1024,1024,2048,torch.float8_e4m3fn
1024,12288,2048,torch.float8_e4m3fn
1024,2048,4096,torch.float8_e4m3fn
1024,2048,512,torch.float8_e4m3fn
1024,9216,2048,torch.float8_e4m3fn
1025,1024,2048,torch.float8_e4m3fn
1025,12288,2048,torch.float8_e4m3fn
1025,2048,4096,torch.float8_e4m3fn
1025,2048,512,torch.float8_e4m3fn
1025,9216,2048,torch.float8_e4m3fn
1027,1024,2048,torch.float8_e4m3fn
1027,12288,2048,torch.float8_e4m3fn
1027,2048,4096,torch.float8_e4m3fn
1027,2048,512,torch.float8_e4m3fn
1027,9216,2048,torch.float8_e4m3fn
1031,1024,2048,torch.float8_e4m3fn
1031,12288,2048,torch.float8_e4m3fn
1031,2048,4096,torch.float8_e4m3fn
1031,2048,512,torch.float8_e4m3fn
1031,9216,2048,torch.float8_e4m3fn
1039,1024,2048,torch.float8_e4m3fn
1039,12288,2048,torch.float8_e4m3fn
1039,2048,4096,torch.float8_e4m3fn
1039,2048,512,torch.float8_e4m3fn
1039,9216,2048,torch.float8_e4m3fn
1040,1024,2048,torch.float8_e4m3fn
1040,12288,2048,torch.float8_e4m3fn
1040,2048,4096,torch.float8_e4m3fn
1040,2048,512,torch.float8_e4m3fn
1040,9216,2048,torch.float8_e4m3fn
1041,1024,2048,torch.float8_e4m3fn
1041,12288,2048,torch.float8_e4m3fn
1041,2048,4096,torch.float8_e4m3fn
1041,2048,512,torch.float8_e4m3fn
1041,9216,2048,torch.float8_e4m3fn
1072,1024,2048,torch.float8_e4m3fn
1072,12288,2048,torch.float8_e4m3fn
1072,2048,4096,torch.float8_e4m3fn
1072,2048,512,torch.float8_e4m3fn
1072,9216,2048,torch.float8_e4m3fn
1073,1024,2048,torch.float8_e4m3fn
1073,12288,2048,torch.float8_e4m3fn
1073,2048,4096,torch.float8_e4m3fn
1073,2048,512,torch.float8_e4m3fn
1073,9216,2048,torch.float8_e4m3fn
1077,1024,2048,torch.float8_e4m3fn
1077,12288,2048,torch.float8_e4m3fn
1077,2048,4096,torch.float8_e4m3fn
1077,2048,512,torch.float8_e4m3fn
1077,9216,2048,torch.float8_e4m3fn
1091,1024,2048,torch.float8_e4m3fn
1091,12288,2048,torch.float8_e4m3fn
1091,2048,4096,torch.float8_e4m3fn
1091,2048,512,torch.float8_e4m3fn
1091,9216,2048,torch.float8_e4m3fn
112,1024,2048,torch.float8_e4m3fn
112,12288,2048,torch.float8_e4m3fn
112,2048,4096,torch.float8_e4m3fn
112,2048,512,torch.float8_e4m3fn
112,9216,2048,torch.float8_e4m3fn
128,1024,2048,torch.float8_e4m3fn
128,12288,2048,torch.float8_e4m3fn
128,2048,4096,torch.float8_e4m3fn
128,2048,512,torch.float8_e4m3fn
128,9216,2048,torch.float8_e4m3fn
1343,1024,2048,torch.float8_e4m3fn
1343,12288,2048,torch.float8_e4m3fn
1343,2048,4096,torch.float8_e4m3fn
1343,2048,512,torch.float8_e4m3fn
