M,N,K,q_dtype_w
1,512,1536,torch.int8
2,512,1536,torch.int8
4,512,1536,torch.int8
8,512,1536,torch.int8
12,512,1536,torch.int8
16,512,1536,torch.int8
1,1024,1536,torch.int8
2,1024,1536,torch.int8
4,1024,1536,torch.int8
8,1024,1536,torch.int8
12,1024,1536,torch.int8
16,1024,1536,torch.int8
1,1280,1536,torch.int8
2,1280,1536,torch.int8
4,1280,1536,torch.int8
8,1280,1536,torch.int8
12,1280,1536,torch.int8
16,1280,1536,torch.int8
1,1536,1536,torch.int8
2,1536,1536,torch.int8
4,1536,1536,torch.int8
8,1536,1536,torch.int8
12,1536,1536,torch.int8
16,1536,1536,torch.int8
1,2048,1536,torch.int8
2,2048,1536,torch.int8
4,2048,1536,torch.int8
8,2048,1536,torch.int8
12,2048,1536,torch.int8
16,2048,1536,torch.int8
1,3072,1536,torch.int8
2,3072,1536,torch.int8
4,3072,1536,torch.int8
8,3072,1536,torch.int8
12,3072,1536,torch.int8
16,3072,1536,torch.int8
1,1024,4352,torch.int8
2,1024,4352,torch.int8
4,1024,4352,torch.int8
8,1024,4352,torch.int8
12,1024,4352,torch.int8
16,1024,4352,torch.int8
1,1280,4352,torch.int8
2,1280,4352,torch.int8
4,1280,4352,torch.int8
8,1280,4352,torch.int8
12,1280,4352,torch.int8
16,1280,4352,torch.int8
1,1536,4352,torch.int8
2,1536,4352,torch.int8
4,1536,4352,torch.int8
8,1536,4352,torch.int8
12,1536,4352,torch.int8
16,1536,4352,torch.int8
1,2048,4352,torch.int8
2,2048,4352,torch.int8
4,2048,4352,torch.int8
8,2048,4352,torch.int8
12,2048,4352,torch.int8
16,2048,4352,torch.int8
1,3072,4352,torch.int8
2,3072,4352,torch.int8
4,3072,4352,torch.int8
8,3072,4352,torch.int8
12,3072,4352,torch.int8
16,3072,4352,torch.int8
1,3584,4352,torch.int8
2,3584,4352,torch.int8
4,3584,4352,torch.int8
8,3584,4352,torch.int8
12,3584,4352,torch.int8
16,3584,4352,torch.int8
1,4096,4352,torch.int8
2,4096,4352,torch.int8
4,4096,4352,torch.int8
8,4096,4352,torch.int8
12,4096,4352,torch.int8
16,4096,4352,torch.int8
1,1024,5120,torch.int8
2,1024,5120,torch.int8
4,1024,5120,torch.int8
8,1024,5120,torch.int8
12,1024,5120,torch.int8
16,1024,5120,torch.int8
1,1280,5120,torch.int8
2,1280,5120,torch.int8
4,1280,5120,torch.int8
8,1280,5120,torch.int8
12,1280,5120,torch.int8
16,1280,5120,torch.int8
1,1536,5120,torch.int8
2,1536,5120,torch.int8
4,1536,5120,torch.int8
8,1536,5120,torch.int8
12,1536,5120,torch.int8
16,1536,5120,torch.int8
1,2048,5120,torch.int8
2,2048,5120,torch.int8
4,2048,5120,torch.int8
8,2048,5120,torch.int8
12,2048,5120,torch.int8
16,2048,5120,torch.int8
1,3072,5120,torch.int8
2,3072,5120,torch.int8
4,3072,5120,torch.int8
8,3072,5120,torch.int8
12,3072,5120,torch.int8
16,3072,5120,torch.int8
1,3584,5120,torch.int8
2,3584,5120,torch.int8
4,3584,5120,torch.int8
8,3584,5120,torch.int8
12,3584,5120,torch.int8
16,3584,5120,torch.int8
1,4096,5120,torch.int8
2,4096,5120,torch.int8
4,4096,5120,torch.int8
8,4096,5120,torch.int8
12,4096,5120,torch.int8
16,4096,5120,torch.int8
1,3072,17408,torch.int8
2,3072,17408,torch.int8
4,3072,17408,torch.int8
8,3072,17408,torch.int8
12,3072,17408,torch.int8
16,3072,17408,torch.int8
1,3584,17408,torch.int8
2,3584,17408,torch.int8
4,3584,17408,torch.int8
8,3584,17408,torch.int8
12,3584,17408,torch.int8
16,3584,17408,torch.int8
1,4096,17408,torch.int8
2,4096,17408,torch.int8
4,4096,17408,torch.int8
8,4096,17408,torch.int8
12,4096,17408,torch.int8
16,4096,17408,torch.int8
32,512,1536,torch.int8
64,512,1536,torch.int8
128,512,1536,torch.int8
256,512,1536,torch.int8
512,512,1536,torch.int8
1024,512,1536,torch.int8
2048,512,1536,torch.int8
32,1024,1536,torch.int8
64,1024,1536,torch.int8
128,1024,1536,torch.int8
256,1024,1536,torch.int8
512,1024,1536,torch.int8
1024,1024,1536,torch.int8
2048,1024,1536,torch.int8
32,1280,1536,torch.int8
64,1280,1536,torch.int8
128,1280,1536,torch.int8
256,1280,1536,torch.int8
512,1280,1536,torch.int8
1024,1280,1536,torch.int8
2048,1280,1536,torch.int8
32,1536,1536,torch.int8
64,1536,1536,torch.int8
128,1536,1536,torch.int8
256,1536,1536,torch.int8
512,1536,1536,torch.int8
1024,1536,1536,torch.int8
2048,1536,1536,torch.int8
32,2048,1536,torch.int8
64,2048,1536,torch.int8
128,2048,1536,torch.int8
256,2048,1536,torch.int8
512,2048,1536,torch.int8
1024,2048,1536,torch.int8
2048,2048,1536,torch.int8
32,3072,1536,torch.int8
64,3072,1536,torch.int8
128,3072,1536,torch.int8
256,3072,1536,torch.int8
512,3072,1536,torch.int8
1024,3072,1536,torch.int8
2048,3072,1536,torch.int8
32,1024,4352,torch.int8
64,1024,4352,torch.int8
128,1024,4352,torch.int8
256,1024,4352,torch.int8
512,1024,4352,torch.int8
1024,1024,4352,torch.int8
2048,1024,4352,torch.int8
32,1280,4352,torch.int8
64,1280,4352,torch.int8
128,1280,4352,torch.int8
256,1280,4352,torch.int8
512,1280,4352,torch.int8
1024,1280,4352,torch.int8
2048,1280,4352,torch.int8
32,1536,4352,torch.int8
64,1536,4352,torch.int8
128,1536,4352,torch.int8
256,1536,4352,torch.int8
512,1536,4352,torch.int8
1024,1536,4352,torch.int8
2048,1536,4352,torch.int8
32,2048,4352,torch.int8
64,2048,4352,torch.int8
128,2048,4352,torch.int8
256,2048,4352,torch.int8
512,2048,4352,torch.int8
1024,2048,4352,torch.int8
2048,2048,4352,torch.int8
32,3072,4352,torch.int8
64,3072,4352,torch.int8
128,3072,4352,torch.int8
256,3072,4352,torch.int8
512,3072,4352,torch.int8
1024,3072,4352,torch.int8
2048,3072,4352,torch.int8
32,3584,4352,torch.int8
64,3584,4352,torch.int8
128,3584,4352,torch.int8
256,3584,4352,torch.int8
512,3584,4352,torch.int8
1024,3584,4352,torch.int8
2048,3584,4352,torch.int8
32,4096,4352,torch.int8
64,4096,4352,torch.int8
128,4096,4352,torch.int8
256,4096,4352,torch.int8
512,4096,4352,torch.int8
1024,4096,4352,torch.int8
2048,4096,4352,torch.int8
32,1024,5120,torch.int8
64,1024,5120,torch.int8
128,1024,5120,torch.int8
256,1024,5120,torch.int8
512,1024,5120,torch.int8
1024,1024,5120,torch.int8
2048,1024,5120,torch.int8
32,1280,5120,torch.int8
64,1280,5120,torch.int8
128,1280,5120,torch.int8
256,1280,5120,torch.int8
512,1280,5120,torch.int8
1024,1280,5120,torch.int8
2048,1280,5120,torch.int8
32,1536,5120,torch.int8
64,1536,5120,torch.int8
128,1536,5120,torch.int8
256,1536,5120,torch.int8
512,1536,5120,torch.int8
1024,1536,5120,torch.int8
2048,1536,5120,torch.int8
32,2048,5120,torch.int8
64,2048,5120,torch.int8
128,2048,5120,torch.int8
256,2048,5120,torch.int8
512,2048,5120,torch.int8
1024,2048,5120,torch.int8
2048,2048,5120,torch.int8
32,3072,5120,torch.int8
64,3072,5120,torch.int8
128,3072,5120,torch.int8
256,3072,5120,torch.int8
512,3072,5120,torch.int8
1024,3072,5120,torch.int8
2048,3072,5120,torch.int8
32,3584,5120,torch.int8
64,3584,5120,torch.int8
128,3584,5120,torch.int8
256,3584,5120,torch.int8
512,3584,5120,torch.int8
1024,3584,5120,torch.int8
2048,3584,5120,torch.int8
32,4096,5120,torch.int8
64,4096,5120,torch.int8
128,4096,5120,torch.int8
256,4096,5120,torch.int8
512,4096,5120,torch.int8
1024,4096,5120,torch.int8
2048,4096,5120,torch.int8
32,3072,17408,torch.int8
64,3072,17408,torch.int8
128,3072,17408,torch.int8
256,3072,17408,torch.int8
512,3072,17408,torch.int8
1024,3072,17408,torch.int8
2048,3072,17408,torch.int8
32,3584,17408,torch.int8
64,3584,17408,torch.int8
128,3584,17408,torch.int8
256,3584,17408,torch.int8
512,3584,17408,torch.int8
1024,3584,17408,torch.int8
2048,3584,17408,torch.int8
32,4096,17408,torch.int8
64,4096,17408,torch.int8
128,4096,17408,torch.int8
256,4096,17408,torch.int8
512,4096,17408,torch.int8
1024,4096,17408,torch.int8
2048,4096,17408,torch.int8
