M,N,K
1,6144,1536
2,6144,1536
4,6144,1536
8,6144,1536
16,6144,1536
24,6144,1536
32,6144,1536
40,6144,1536
48,6144,1536
56,6144,1536
64,6144,1536
72,6144,1536
80,6144,1536
88,6144,1536
96,6144,1536
104,6144,1536
112,6144,1536
120,6144,1536
128,6144,1536
136,6144,1536
144,6144,1536
152,6144,1536
160,6144,1536
168,6144,1536
176,6144,1536
184,6144,1536
192,6144,1536
200,6144,1536
208,6144,1536
216,6144,1536
224,6144,1536
232,6144,1536
240,6144,1536
248,6144,1536
256,6144,1536
272,6144,1536
288,6144,1536
304,6144,1536
320,6144,1536
336,6144,1536
352,6144,1536
368,6144,1536
384,6144,1536
400,6144,1536
416,6144,1536
432,6144,1536
448,6144,1536
464,6144,1536
480,6144,1536
496,6144,1536
512,6144,1536
621,6144,1536
640,6144,1536
666,6144,1536
818,6144,1536
826,6144,1536
926,6144,1536
930,6144,1536
956,6144,1536
1000,6144,1536
1001,6144,1536
1003,6144,1536
1019,6144,1536
1109,6144,1536
1112,6144,1536
1119,6144,1536
1131,6144,1536
1218,6144,1536
1255,6144,1536
1351,6144,1536
1591,6144,1536
1710,6144,1536
1733,6144,1536
1768,6144,1536
1808,6144,1536
1809,6144,1536
1814,6144,1536
1816,6144,1536
1817,6144,1536
1821,6144,1536
1864,6144,1536
1865,6144,1536
1965,6144,1536
2000,6144,1536
2002,6144,1536
2006,6144,1536
2054,6144,1536
2079,6144,1536
2096,6144,1536
2106,6144,1536
2127,6144,1536
2186,6144,1536
2198,6144,1536
2236,6144,1536
2251,6144,1536
2266,6144,1536
2440,6144,1536
2445,6144,1536
2489,6144,1536
2532,6144,1536
2564,6144,1536
2571,6144,1536
2633,6144,1536
2687,6144,1536
2694,6144,1536
2735,6144,1536
2743,6144,1536
3000,6144,1536
3021,6144,1536
3029,6144,1536
3181,6144,1536
3271,6144,1536
3503,6144,1536
3617,6144,1536
3620,6144,1536
3632,6144,1536
3703,6144,1536
3800,6144,1536
3806,6144,1536
3856,6144,1536
4000,6144,1536
4028,6144,1536
4060,6144,1536
4078,6144,1536
4107,6144,1536
4123,6144,1536
4204,6144,1536
4229,6144,1536
4252,6144,1536
4310,6144,1536
4359,6144,1536
4393,6144,1536
4433,6144,1536
4484,6144,1536
4498,6144,1536
4504,6144,1536
4507,6144,1536
4537,6144,1536
4560,6144,1536
4562,6144,1536
4597,6144,1536
4598,6144,1536
4617,6144,1536
4685,6144,1536
4856,6144,1536
4898,6144,1536
4936,6144,1536
5000,6144,1536
5001,6144,1536
5002,6144,1536
5003,6144,1536
5004,6144,1536
5012,6144,1536
5014,6144,1536
5027,6144,1536
5028,6144,1536
5030,6144,1536
5060,6144,1536
5061,6144,1536
5107,6144,1536
5124,6144,1536
5125,6144,1536
5126,6144,1536
5243,6144,1536
5244,6144,1536
5252,6144,1536
5253,6144,1536
5254,6144,1536
5255,6144,1536
5349,6144,1536
5431,6144,1536
5438,6144,1536
5440,6144,1536
5608,6144,1536
5661,6144,1536
5684,6144,1536
5753,6144,1536
5818,6144,1536
5820,6144,1536
5890,6144,1536
5922,6144,1536
6010,6144,1536
6058,6144,1536
6242,6144,1536
6291,6144,1536
6304,6144,1536
6476,6144,1536
6675,6144,1536
6811,6144,1536
6812,6144,1536
6814,6144,1536
6815,6144,1536
6818,6144,1536
6819,6144,1536
6827,6144,1536
6829,6144,1536
6830,6144,1536
6858,6144,1536
6859,6144,1536
6925,6144,1536
6926,6144,1536
7001,6144,1536
7053,6144,1536
7054,6144,1536
7121,6144,1536
7233,6144,1536
7241,6144,1536
7242,6144,1536
7244,6144,1536
7246,6144,1536
7309,6144,1536
7310,6144,1536
7313,6144,1536
7342,6144,1536
7391,6144,1536
7466,6144,1536
7491,6144,1536
7528,6144,1536
7536,6144,1536
7539,6144,1536
7626,6144,1536
7697,6144,1536
7716,6144,1536
7834,6144,1536
7838,6144,1536
7844,6144,1536
7856,6144,1536
7872,6144,1536
7911,6144,1536
7940,6144,1536
7963,6144,1536
8002,6144,1536
8008,6144,1536
8011,6144,1536
8015,6144,1536
8016,6144,1536
8020,6144,1536
8040,6144,1536
8042,6144,1536
8048,6144,1536
8050,6144,1536
8090,6144,1536
8103,6144,1536
8104,6144,1536
8105,6144,1536
8113,6144,1536
8122,6144,1536
8128,6144,1536
8169,6144,1536
8182,6144,1536
8183,6144,1536
8192,6144,1536
