M,N,K
1,2048,3072
1,3072,3072
1,3072,6144
1,4096,3072
1,8192,3072
2,2048,3072
2,3072,3072
2,3072,6144
2,4096,3072
2,8192,3072
4,2048,3072
4,3072,3072
4,3072,6144
4,4096,3072
4,8192,3072
8,2048,3072
8,3072,3072
8,3072,6144
8,4096,3072
8,8192,3072
16,2048,3072
16,3072,3072
16,3072,6144
16,4096,3072
16,8192,3072
24,2048,3072
24,3072,3072
24,3072,6144
24,4096,3072
24,8192,3072
32,2048,3072
32,3072,3072
32,3072,6144
32,4096,3072
32,8192,3072
40,2048,3072
40,3072,3072
40,3072,6144
40,4096,3072
40,8192,3072
48,2048,3072
48,3072,3072
48,3072,6144
48,4096,3072
48,8192,3072
56,2048,3072
56,3072,3072
56,3072,6144
56,4096,3072
56,8192,3072
64,2048,3072
64,3072,3072
64,3072,6144
64,4096,3072
64,8192,3072
72,2048,3072
72,3072,3072
72,3072,6144
72,4096,3072
72,8192,3072
80,2048,3072
80,3072,3072
80,3072,6144
80,4096,3072
80,8192,3072
88,2048,3072
88,3072,3072
88,3072,6144
88,4096,3072
88,8192,3072
96,2048,3072
96,3072,3072
96,3072,6144
96,4096,3072
96,8192,3072
104,2048,3072
104,3072,3072
104,3072,6144
104,4096,3072
104,8192,3072
112,2048,3072
112,3072,3072
112,3072,6144
112,4096,3072
112,8192,3072
120,2048,3072
120,3072,3072
120,3072,6144
120,4096,3072
120,8192,3072
128,2048,3072
128,3072,3072
128,3072,6144
128,4096,3072
128,8192,3072
136,2048,3072
136,3072,3072
136,3072,6144
136,4096,3072
136,8192,3072
144,2048,3072
144,3072,3072
144,3072,6144
144,4096,3072
144,8192,3072
152,2048,3072
152,3072,3072
152,3072,6144
152,4096,3072
152,8192,3072
160,2048,3072
160,3072,3072
160,3072,6144
160,4096,3072
160,8192,3072
168,2048,3072
168,3072,3072
168,3072,6144
168,4096,3072
168,8192,3072
176,2048,3072
176,3072,3072
176,3072,6144
176,4096,3072
176,8192,3072
184,2048,3072
184,3072,3072
184,3072,6144
184,4096,3072
184,8192,3072
192,2048,3072
192,3072,3072
192,3072,6144
192,4096,3072
192,8192,3072
200,2048,3072
200,3072,3072
200,3072,6144
200,4096,3072
200,8192,3072
208,2048,3072
208,3072,3072
208,3072,6144
208,4096,3072
208,8192,3072
216,2048,3072
216,3072,3072
216,3072,6144
216,4096,3072
216,8192,3072
224,2048,3072
224,3072,3072
224,3072,6144
224,4096,3072
224,8192,3072
232,2048,3072
232,3072,3072
232,3072,6144
232,4096,3072
232,8192,3072
240,2048,3072
240,3072,3072
240,3072,6144
240,4096,3072
240,8192,3072
248,2048,3072
248,3072,3072
248,3072,6144
248,4096,3072
248,8192,3072
256,2048,3072
256,3072,3072
256,3072,6144
256,4096,3072
256,8192,3072
272,2048,3072
272,3072,3072
272,3072,6144
272,4096,3072
272,8192,3072
288,2048,3072
288,3072,3072
288,3072,6144
288,4096,3072
288,8192,3072
304,2048,3072
304,3072,3072
304,3072,6144
304,4096,3072
304,8192,3072
320,2048,3072
320,3072,3072
320,3072,6144
320,4096,3072
320,8192,3072
336,2048,3072
336,3072,3072
336,3072,6144
336,4096,3072
336,8192,3072
352,2048,3072
352,3072,3072
352,3072,6144
352,4096,3072
352,8192,3072
368,2048,3072
368,3072,3072
368,3072,6144
368,4096,3072
368,8192,3072
384,2048,3072
384,3072,3072
384,3072,6144
384,4096,3072
384,8192,3072
400,2048,3072
400,3072,3072
400,3072,6144
400,4096,3072
400,8192,3072
416,2048,3072
416,3072,3072
416,3072,6144
416,4096,3072
416,8192,3072
432,2048,3072
432,3072,3072
432,3072,6144
432,4096,3072
432,8192,3072
448,2048,3072
448,3072,3072
448,3072,6144
448,4096,3072
448,8192,3072
464,2048,3072
464,3072,3072
464,3072,6144
464,4096,3072
464,8192,3072
480,2048,3072
480,3072,3072
480,3072,6144
480,4096,3072
480,8192,3072
496,2048,3072
496,3072,3072
496,3072,6144
496,4096,3072
496,8192,3072
512,2048,3072
512,3072,3072
512,3072,6144
512,4096,3072
512,8192,3072
548,2048,3072
1000,2048,3072
1000,3072,3072
1000,3072,6144
1000,4096,3072
1000,8192,3072
1001,2048,3072
1001,3072,3072
1001,4096,3072
1002,3072,6144
1002,8192,3072
1003,3072,3072
1003,4096,3072
1005,3072,3072
1005,4096,3072
1012,3072,6144
1012,8192,3072
1028,2048,3072
1028,3072,6144
1028,8192,3072
1058,3072,6144
1058,8192,3072
1063,3072,3072
1063,4096,3072
1095,3072,3072
1095,4096,3072
1123,3072,3072
1123,4096,3072
1140,3072,6144
1140,8192,3072
1192,3072,6144
1192,8192,3072
1193,3072,6144
1193,8192,3072
1198,3072,6144
1198,8192,3072
1201,3072,6144
1201,8192,3072
1203,3072,6144
1203,8192,3072
1205,3072,6144
1205,8192,3072
1212,3072,6144
1212,8192,3072
1213,3072,6144
1213,8192,3072
1214,3072,6144
1214,8192,3072
1215,3072,6144
1215,8192,3072
1216,3072,6144
1216,8192,3072
1228,3072,6144
1228,8192,3072
1229,3072,6144
1229,8192,3072
1248,2048,3072
1258,3072,6144
1258,8192,3072
1263,3072,6144
1263,8192,3072
1270,3072,6144
1270,8192,3072
1454,2048,3072
1511,3072,3072
1511,4096,3072
1616,3072,3072
1616,4096,3072
2000,2048,3072
2000,3072,6144
2000,8192,3072
2001,2048,3072
2002,2048,3072
2003,3072,3072
2003,4096,3072
2004,3072,6144
2004,8192,3072
2013,2048,3072
2032,3072,6144
2032,8192,3072
2125,3072,3072
2125,4096,3072
2197,3072,6144
2197,8192,3072
2202,3072,6144
2202,8192,3072
2213,3072,6144
2213,8192,3072
2230,3072,6144
2230,8192,3072
2233,3072,6144
2233,8192,3072
2235,3072,6144
2235,8192,3072
2236,3072,6144
2236,8192,3072
2237,3072,6144
2237,8192,3072
2238,3072,6144
2238,8192,3072
2355,3072,6144
2355,8192,3072
3000,2048,3072
3000,3072,3072
3000,3072,6144
3000,4096,3072
3000,8192,3072
3001,2048,3072
3001,3072,3072
3001,3072,6144
3001,4096,3072
3001,8192,3072
3004,2048,3072
3004,3072,3072
3004,3072,6144
3004,4096,3072
3004,8192,3072
3005,2048,3072
3005,3072,6144
3005,8192,3072
3006,3072,6144
3006,8192,3072
3012,3072,6144
3012,8192,3072
3024,3072,3072
3024,4096,3072
3027,2048,3072
3029,3072,6144
3029,8192,3072
3030,3072,3072
3030,4096,3072
3032,3072,3072
3032,4096,3072
3055,2048,3072
3056,3072,6144
3056,8192,3072
3084,3072,6144
3084,8192,3072
3113,3072,6144
3113,8192,3072
3201,3072,6144
3201,8192,3072
3202,3072,6144
3202,8192,3072
3225,3072,6144
3225,8192,3072
3236,3072,6144
3236,8192,3072
3256,3072,6144
3256,8192,3072
3258,3072,6144
3258,8192,3072
3263,3072,6144
3263,8192,3072
3390,2048,3072
3485,3072,6144
3485,8192,3072
3486,3072,6144
3486,8192,3072
3491,3072,6144
3491,8192,3072
3509,3072,6144
3509,8192,3072
3520,3072,6144
3520,8192,3072
3531,3072,6144
3531,8192,3072
3541,3072,6144
3541,8192,3072
3542,3072,6144
3542,8192,3072
3549,3072,6144
3549,8192,3072
3563,3072,6144
3563,8192,3072
3603,3072,6144
3603,8192,3072
3634,3072,6144
3634,8192,3072
3649,3072,6144
3649,8192,3072
3660,3072,6144
3660,8192,3072
3665,2048,3072
3668,3072,6144
3668,8192,3072
3669,3072,6144
3669,8192,3072
3718,3072,6144
3718,8192,3072
3725,3072,6144
3725,8192,3072
3734,3072,6144
3734,8192,3072
3859,3072,6144
3859,8192,3072
3982,3072,3072
3982,4096,3072
4000,2048,3072
4000,3072,3072
4000,3072,6144
4000,4096,3072
4000,8192,3072
4001,2048,3072
4001,3072,3072
4001,3072,6144
4001,4096,3072
4001,8192,3072
4004,3072,3072
4004,4096,3072
4009,2048,3072
4060,3072,3072
4060,4096,3072
4068,2048,3072
4080,3072,6144
4080,8192,3072
4123,3072,3072
4123,4096,3072
4195,3072,6144
4195,8192,3072
4197,3072,6144
4197,8192,3072
4225,3072,6144
4225,8192,3072
4239,3072,3072
4239,4096,3072
4246,3072,6144
4246,8192,3072
4472,3072,3072
4472,3072,6144
4472,4096,3072
4472,8192,3072
4481,2048,3072
4481,3072,6144
4481,8192,3072
4496,3072,6144
4496,8192,3072
4513,3072,6144
4513,8192,3072
4522,3072,6144
4522,8192,3072
4553,3072,3072
4553,4096,3072
4799,3072,6144
4799,8192,3072
5000,2048,3072
5000,3072,3072
5000,3072,6144
5000,4096,3072
5000,8192,3072
5001,3072,3072
5001,3072,6144
5001,4096,3072
5001,8192,3072
5002,2048,3072
5002,3072,6144
5002,8192,3072
5003,2048,3072
5003,3072,3072
5003,3072,6144
5003,4096,3072
5003,8192,3072
5007,3072,6144
5007,8192,3072
5012,3072,3072
5012,3072,6144
5012,4096,3072
5012,8192,3072
5025,2048,3072
5031,3072,3072
5031,4096,3072
5033,3072,3072
5033,4096,3072
5037,3072,6144
5037,8192,3072
5040,3072,6144
5040,8192,3072
5073,3072,6144
5073,8192,3072
5090,2048,3072
5095,3072,6144
5095,8192,3072
5096,3072,6144
5096,8192,3072
5120,3072,3072
5120,4096,3072
5127,2048,3072
5146,3072,6144
5146,8192,3072
5156,3072,6144
5156,8192,3072
5157,3072,6144
5157,8192,3072
5159,3072,6144
5159,8192,3072
5161,3072,6144
5161,8192,3072
5163,3072,6144
5163,8192,3072
5166,3072,6144
5166,8192,3072
5168,3072,6144
5168,8192,3072
5174,3072,6144
5174,8192,3072
5199,3072,6144
5199,8192,3072
5201,3072,6144
5201,8192,3072
5211,3072,6144
5211,8192,3072
5212,3072,6144
5212,8192,3072
5214,3072,6144
5214,8192,3072
5217,3072,6144
5217,8192,3072
5222,3072,6144
5222,8192,3072
5223,3072,6144
5223,8192,3072
5248,3072,6144
5248,8192,3072
5250,3072,3072
5250,4096,3072
5255,2048,3072
5255,3072,3072
5255,3072,6144
5255,4096,3072
5255,8192,3072
5257,3072,3072
5257,4096,3072
5261,3072,6144
5261,8192,3072
5262,3072,6144
5262,8192,3072
5265,3072,3072
5265,4096,3072
5266,3072,3072
5266,4096,3072
5267,3072,6144
5267,8192,3072
5268,3072,6144
5268,8192,3072
5269,3072,6144
5269,8192,3072
5270,3072,3072
5270,3072,6144
5270,4096,3072
5270,8192,3072
5272,3072,6144
5272,8192,3072
5275,3072,6144
5275,8192,3072
5278,3072,6144
5278,8192,3072
5280,3072,6144
5280,8192,3072
5282,3072,3072
5282,4096,3072
5283,3072,6144
5283,8192,3072
5285,3072,6144
5285,8192,3072
5288,3072,6144
5288,8192,3072
5291,3072,6144
5291,8192,3072
5293,3072,6144
5293,8192,3072
5296,3072,6144
5296,8192,3072
5299,3072,6144
5299,8192,3072
5301,3072,6144
5301,8192,3072
5309,3072,3072
5309,4096,3072
5310,3072,3072
5310,4096,3072
5313,3072,3072
5313,4096,3072
5314,3072,3072
5314,4096,3072
5318,3072,3072
5318,3072,6144
5318,4096,3072
5318,8192,3072
5320,3072,6144
5320,8192,3072
5324,3072,6144
5324,8192,3072
5328,3072,6144
5328,8192,3072
5333,3072,6144
5333,8192,3072
5339,3072,6144
5339,8192,3072
5340,3072,6144
5340,8192,3072
5341,3072,6144
5341,8192,3072
5343,3072,6144
5343,8192,3072
5344,3072,6144
5344,8192,3072
5355,3072,3072
5355,3072,6144
5355,4096,3072
5355,8192,3072
5356,3072,3072
5356,4096,3072
5359,3072,3072
5359,4096,3072
5361,3072,3072
5361,4096,3072
5364,3072,6144
5364,8192,3072
5365,3072,3072
5365,4096,3072
5366,3072,6144
5366,8192,3072
5369,3072,3072
5369,4096,3072
5371,3072,6144
5371,8192,3072
5373,3072,3072
5373,4096,3072
5391,3072,6144
5391,8192,3072
5398,3072,3072
5398,4096,3072
5401,3072,3072
5401,4096,3072
5404,3072,3072
5404,4096,3072
5406,3072,6144
5406,8192,3072
5410,3072,6144
5410,8192,3072
5411,3072,6144
5411,8192,3072
5412,3072,6144
5412,8192,3072
5413,3072,3072
5413,4096,3072
5429,3072,6144
5429,8192,3072
5443,3072,3072
5443,4096,3072
5444,3072,3072
5444,4096,3072
5446,3072,3072
5446,4096,3072
5449,3072,3072
5449,4096,3072
5450,3072,3072
5450,4096,3072
5454,3072,3072
5454,4096,3072
5489,3072,3072
5489,4096,3072
5491,3072,3072
5491,4096,3072
5492,3072,3072
5492,4096,3072
5494,3072,3072
5494,4096,3072
5495,3072,3072
5495,4096,3072
5496,3072,3072
5496,4096,3072
5499,3072,3072
5499,4096,3072
5500,3072,3072
5500,4096,3072
5508,2048,3072
5535,3072,3072
5535,4096,3072
5538,3072,3072
5538,4096,3072
5539,3072,3072
5539,4096,3072
5541,3072,3072
5541,4096,3072
5542,3072,3072
5542,4096,3072
5543,3072,3072
5543,4096,3072
5545,3072,3072
5545,4096,3072
5546,3072,3072
5546,4096,3072
5549,3072,3072
5549,4096,3072
5552,3072,3072
5552,4096,3072
5573,3072,3072
5573,4096,3072
5593,3072,3072
5593,4096,3072
5597,3072,3072
5597,4096,3072
5600,3072,3072
5600,4096,3072
5619,3072,3072
5619,4096,3072
5661,3072,3072
5661,4096,3072
5666,3072,3072
5666,4096,3072
5669,3072,3072
5669,4096,3072
5672,3072,3072
5672,4096,3072
5675,3072,3072
5675,4096,3072
5676,3072,3072
5676,4096,3072
5681,3072,3072
5681,4096,3072
5682,3072,3072
5682,4096,3072
6001,3072,3072
6001,3072,6144
6001,4096,3072
6001,8192,3072
6003,2048,3072
6004,3072,3072
6004,4096,3072
6006,3072,3072
6006,4096,3072
6039,3072,3072
6039,4096,3072
6054,2048,3072
6111,2048,3072
6111,3072,3072
6111,4096,3072
6209,2048,3072
6376,3072,3072
6376,4096,3072
6407,3072,3072
6407,4096,3072
6474,3072,3072
6474,4096,3072
6702,3072,6144
6702,8192,3072
7000,2048,3072
7001,2048,3072
7001,3072,3072
7001,3072,6144
7001,4096,3072
7001,8192,3072
7087,2048,3072
7131,2048,3072
7189,2048,3072
8004,3072,6144
8004,8192,3072
8036,2048,3072
8626,3072,6144
8626,8192,3072
8643,3072,6144
8643,8192,3072
8644,3072,6144
8644,8192,3072
8681,3072,6144
8681,8192,3072
8741,3072,6144
8741,8192,3072
8744,3072,6144
8744,8192,3072
8761,3072,6144
8761,8192,3072
8953,3072,3072
8953,4096,3072
8955,3072,6144
8955,8192,3072
8965,3072,6144
8965,8192,3072
8979,3072,6144
8979,8192,3072
8987,3072,3072
8987,4096,3072
9003,3072,6144
9003,8192,3072
9006,3072,6144
9006,8192,3072
9020,3072,6144
9020,8192,3072
9022,3072,6144
9022,8192,3072
9028,3072,6144
9028,8192,3072
9051,3072,6144
9051,8192,3072
9471,3072,3072
9471,4096,3072
9479,2048,3072
9479,3072,3072
9479,3072,6144
9479,4096,3072
9479,8192,3072
9496,3072,6144
9496,8192,3072
9529,3072,6144
9529,8192,3072
9891,3072,3072
9891,4096,3072
10000,2048,3072
10000,3072,3072
10000,3072,6144
10000,4096,3072
10000,8192,3072
10001,2048,3072
10001,3072,3072
10001,4096,3072
10002,2048,3072
10002,3072,3072
10002,3072,6144
10002,4096,3072
10002,8192,3072
10003,3072,6144
10003,8192,3072
10012,3072,3072
10012,3072,6144
10012,4096,3072
10012,8192,3072
10014,3072,6144
10014,8192,3072
10015,2048,3072
10017,3072,6144
10017,8192,3072
10018,3072,6144
10018,8192,3072
10019,3072,6144
10019,8192,3072
10036,3072,6144
10036,8192,3072
10051,3072,3072
10051,4096,3072
10060,2048,3072
10062,2048,3072
10062,3072,3072
10062,4096,3072
10080,3072,6144
10080,8192,3072
10095,3072,6144
10095,8192,3072
10114,3072,3072
10114,4096,3072
10127,3072,3072
10127,4096,3072
10132,3072,3072
10132,4096,3072
10159,3072,6144
10159,8192,3072
10160,3072,3072
10160,4096,3072
10165,3072,6144
10165,8192,3072
10168,3072,3072
10168,4096,3072
10169,3072,3072
10169,4096,3072
10176,3072,6144
10176,8192,3072
10186,3072,3072
10186,3072,6144
10186,4096,3072
10186,8192,3072
10187,3072,3072
10187,4096,3072
10188,3072,3072
10188,4096,3072
10195,3072,6144
10195,8192,3072
10197,3072,3072
10197,3072,6144
10197,4096,3072
10197,8192,3072
10200,3072,3072
10200,4096,3072
10206,3072,6144
10206,8192,3072
10215,2048,3072
10225,3072,3072
10225,4096,3072
10228,2048,3072
10230,3072,3072
10230,4096,3072
10233,3072,6144
10233,8192,3072
10238,3072,3072
10238,4096,3072
10239,3072,3072
10239,4096,3072
10240,3072,3072
10240,4096,3072
10245,3072,3072
10245,4096,3072
10246,3072,3072
10246,4096,3072
10247,3072,3072
10247,4096,3072
10249,3072,3072
10249,4096,3072
10254,3072,3072
10254,4096,3072
10256,3072,3072
10256,4096,3072
10262,3072,3072
10262,4096,3072
10277,3072,3072
10277,4096,3072
10278,3072,6144
10278,8192,3072
10279,3072,6144
10279,8192,3072
10280,3072,6144
10280,8192,3072
10283,3072,3072
10283,4096,3072
10293,3072,3072
10293,4096,3072
10296,3072,3072
10296,4096,3072
10298,3072,3072
10298,4096,3072
10300,3072,6144
