M,N,K
1,2048,3072
1,3072,3072
1,3072,6144
1,4096,3072
1,8192,3072
2,2048,3072
2,3072,3072
2,3072,6144
2,4096,3072
2,8192,3072
4,2048,3072
4,3072,3072
4,3072,6144
4,4096,3072
4,8192,3072
8,2048,3072
8,3072,3072
8,3072,6144
8,4096,3072
8,8192,3072
16,2048,3072
16,3072,3072
16,3072,6144
16,4096,3072
16,8192,3072
24,2048,3072
24,3072,3072
24,3072,6144
24,4096,3072
24,8192,3072
32,2048,3072
32,3072,3072
32,3072,6144
32,4096,3072
32,8192,3072
40,2048,3072
40,3072,3072
40,3072,6144
40,4096,3072
40,8192,3072
48,2048,3072
48,3072,3072
48,3072,6144
48,4096,3072
48,8192,3072
56,2048,3072
56,3072,3072
56,3072,6144
56,4096,3072
56,8192,3072
64,2048,3072
64,3072,3072
64,3072,6144
64,4096,3072
64,8192,3072
72,2048,3072
72,3072,3072
72,3072,6144
72,4096,3072
72,8192,3072
80,2048,3072
80,3072,3072
80,3072,6144
80,4096,3072
80,8192,3072
88,2048,3072
88,3072,3072
88,3072,6144
88,4096,3072
88,8192,3072
96,2048,3072
96,3072,3072
96,3072,6144
96,4096,3072
96,8192,3072
104,2048,3072
104,3072,3072
104,3072,6144
104,4096,3072
104,8192,3072
112,2048,3072
112,3072,3072
112,3072,6144
112,4096,3072
112,8192,3072
120,2048,3072
120,3072,3072
120,3072,6144
120,4096,3072
120,8192,3072
128,2048,3072
128,3072,3072
128,3072,6144
128,4096,3072
128,8192,3072
136,2048,3072
136,3072,3072
136,3072,6144
136,4096,3072
136,8192,3072
144,2048,3072
144,3072,3072
144,3072,6144
144,4096,3072
144,8192,3072
152,2048,3072
152,3072,3072
152,3072,6144
152,4096,3072
152,8192,3072
160,2048,3072
160,3072,3072
160,3072,6144
160,4096,3072
160,8192,3072
168,2048,3072
168,3072,3072
168,3072,6144
168,4096,3072
168,8192,3072
176,2048,3072
176,3072,3072
176,3072,6144
176,4096,3072
176,8192,3072
184,2048,3072
184,3072,3072
184,3072,6144
184,4096,3072
184,8192,3072
192,2048,3072
192,3072,3072
192,3072,6144
192,4096,3072
192,8192,3072
200,2048,3072
200,3072,3072
200,3072,6144
200,4096,3072
200,8192,3072
208,2048,3072
208,3072,3072
208,3072,6144
208,4096,3072
208,8192,3072
216,2048,3072
216,3072,3072
216,3072,6144
216,4096,3072
216,8192,3072
224,2048,3072
224,3072,3072
224,3072,6144
224,4096,3072
224,8192,3072
232,2048,3072
232,3072,3072
232,3072,6144
232,4096,3072
232,8192,3072
240,2048,3072
240,3072,3072
240,3072,6144
240,4096,3072
240,8192,3072
248,2048,3072
248,3072,3072
248,3072,6144
248,4096,3072
248,8192,3072
256,2048,3072
256,3072,3072
256,3072,6144
256,4096,3072
256,8192,3072
272,2048,3072
272,3072,3072
272,3072,6144
272,4096,3072
272,8192,3072
288,2048,3072
288,3072,3072
288,3072,6144
288,4096,3072
288,8192,3072
304,2048,3072
304,3072,3072
304,3072,6144
304,4096,3072
304,8192,3072
320,2048,3072
320,3072,3072
320,3072,6144
320,4096,3072
320,8192,3072
336,2048,3072
336,3072,3072
336,3072,6144
336,4096,3072
336,8192,3072
352,2048,3072
352,3072,3072
352,3072,6144
352,4096,3072
352,8192,3072
368,2048,3072
368,3072,3072
368,3072,6144
368,4096,3072
368,8192,3072
384,2048,3072
384,3072,3072
384,3072,6144
384,4096,3072
384,8192,3072
400,2048,3072
400,3072,3072
400,3072,6144
400,4096,3072
400,8192,3072
416,2048,3072
416,3072,3072
416,3072,6144
416,4096,3072
416,8192,3072
432,2048,3072
432,3072,3072
432,3072,6144
432,4096,3072
432,8192,3072
448,2048,3072
448,3072,3072
448,3072,6144
448,4096,3072
448,8192,3072
464,2048,3072
464,3072,3072
464,3072,6144
464,4096,3072
464,8192,3072
480,2048,3072
480,3072,3072
480,3072,6144
480,4096,3072
480,8192,3072
496,2048,3072
496,3072,3072
496,3072,6144
496,4096,3072
496,8192,3072
512,2048,3072
512,3072,3072
512,3072,6144
512,4096,3072
512,8192,3072
1000,2048,3072
1000,3072,3072
1000,3072,6144
1000,4096,3072
1000,8192,3072
1001,2048,3072
1001,3072,3072
1001,3072,6144
1001,4096,3072
1001,8192,3072
1003,2048,3072
1169,3072,6144
1169,8192,3072
1192,3072,6144
1192,8192,3072
1200,3072,6144
1200,8192,3072
1202,3072,6144
1202,8192,3072
1205,3072,6144
1205,8192,3072
1216,3072,6144
1216,8192,3072
1263,3072,6144
1263,8192,3072
2000,3072,3072
2000,4096,3072
2002,3072,3072
2002,4096,3072
2197,3072,6144
2197,8192,3072
2200,3072,6144
2200,8192,3072
2202,3072,6144
2202,8192,3072
2204,3072,6144
2204,8192,3072
2216,3072,6144
2216,8192,3072
2230,3072,6144
2230,8192,3072
3000,2048,3072
3201,3072,6144
3201,8192,3072
3225,3072,6144
3225,8192,3072
3227,3072,6144
3227,8192,3072
3242,3072,6144
3242,8192,3072
4000,2048,3072
4000,3072,3072
4000,3072,6144
4000,4096,3072
4000,8192,3072
4197,3072,6144
4197,8192,3072
4219,3072,6144
4219,8192,3072
4223,3072,6144
4223,8192,3072
4250,3072,6144
4250,8192,3072
5197,3072,6144
5197,8192,3072
6792,3072,6144
6792,8192,3072
6830,3072,6144
6830,8192,3072
7001,3072,6144
7001,8192,3072
7787,3072,6144
7787,8192,3072
11001,3072,3072
11001,4096,3072
11636,3072,6144
11636,8192,3072
12909,3072,3072
12909,4096,3072
30553,3072,3072
30553,4096,3072
30743,3072,6144
30743,8192,3072
31097,3072,6144
31097,8192,3072
32065,3072,6144
32065,8192,3072
35092,3072,6144
35092,8192,3072
39088,3072,6144
39088,8192,3072
42723,3072,6144
42723,8192,3072
48310,3072,6144
48310,8192,3072
52101,2048,3072
53093,2048,3072
53093,3072,3072
53093,4096,3072
55349,3072,6144
55349,8192,3072
57008,3072,6144
57008,8192,3072
64564,3072,6144
64564,8192,3072
65536,2048,3072
65536,3072,3072
65536,3072,6144
65536,4096,3072
65536,8192,3072
