M,N,K,bias,dtype,outdtype,scaleAB
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False
1,128,2880,True,torch.bfloat16,torch.bfloat16,False
1,201088,2880,False,torch.bfloat16,torch.bfloat16,False
2,5120,2880,True,torch.bfloat16,torch.bfloat16,False
2,2880,4096,True,torch.bfloat16,torch.bfloat16,False
2,128,2880,True,torch.bfloat16,torch.bfloat16,False
2,201088,2880,False,torch.bfloat16,torch.bfloat16,False
4,5120,2880,True,torch.bfloat16,torch.bfloat16,False
4,2880,4096,True,torch.bfloat16,torch.bfloat16,False
4,128,2880,True,torch.bfloat16,torch.bfloat16,False
4,201088,2880,False,torch.bfloat16,torch.bfloat16,False
8,5120,2880,True,torch.bfloat16,torch.bfloat16,False
8,2880,4096,True,torch.bfloat16,torch.bfloat16,False
8,128,2880,True,torch.bfloat16,torch.bfloat16,False
8,201088,2880,False,torch.bfloat16,torch.bfloat16,False
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False
16,128,2880,True,torch.bfloat16,torch.bfloat16,False
16,201088,2880,False,torch.bfloat16,torch.bfloat16,False
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False
32,128,2880,True,torch.bfloat16,torch.bfloat16,False
32,201088,2880,False,torch.bfloat16,torch.bfloat16,False
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False
64,128,2880,True,torch.bfloat16,torch.bfloat16,False
64,201088,2880,False,torch.bfloat16,torch.bfloat16,False
128,5120,2880,True,torch.bfloat16,torch.bfloat16,False
128,2880,4096,True,torch.bfloat16,torch.bfloat16,False
128,128,2880,True,torch.bfloat16,torch.bfloat16,False
128,201088,2880,False,torch.bfloat16,torch.bfloat16,False
