M,N,K,blockM
1,3072,3072,16
2,3072,3072,16
4,3072,3072,16
8,3072,3072,16
16,3072,3072,16
32,3072,3072,16
64,3072,3072,16
128,3072,3072,16
256,3072,3072,16
1024,3072,3072,16
2048,3072,3072,16
4096,3072,3072,16
8192,3072,3072,16
16384,3072,3072,16
32768,3072,3072,16
1,3072,3072,64
2,3072,3072,64
4,3072,3072,64
8,3072,3072,64
16,3072,3072,64
32,3072,3072,64
64,3072,3072,64
128,3072,3072,64
256,3072,3072,64
1024,3072,3072,64
2048,3072,3072,64
4096,3072,3072,64
8192,3072,3072,64
16384,3072,3072,64
32768,3072,3072,64
