gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,128,16,4096,cktile,2,0,15.5018,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,1.08,38.31,0.0
gfx950,256,256,16,4096,cktile,12,0,15.542,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,2.16,72.21,0.0
gfx950,256,512,16,4096,cktile,14,0,16.0332,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_3,4.19,135.91,0.0
gfx950,256,1024,16,4096,cktile,2,0,17.2261,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,7.79,249.19,0.0
gfx950,256,2048,16,4096,cktile,2,0,17.6907,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,15.17,481.59,0.0
gfx950,256,4096,16,4096,cktile,2,0,17.9746,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,29.87,944.32,0.0
gfx950,256,16384,16,4096,cktile,7,0,37.8328,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_2,56.76,1789.42,0.0
gfx950,256,32768,16,4096,cktile,19,0,55.9249,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,76.8,2419.89,0.0
gfx950,256,1,32,4096,cktile,12,0,9.9923,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,0.03,13.53,0.0
gfx950,256,128,32,4096,cktile,12,0,15.6217,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,2.15,42.48,0.0
gfx950,256,256,32,4096,cktile,0,0,15.6541,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,4.29,76.4,0.0
gfx950,256,512,32,4096,cktile,12,0,16.3069,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,8.23,138.65,0.0
gfx950,256,1024,32,4096,cktile,2,0,17.4819,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,15.36,251.17,0.0
gfx950,256,2048,32,4096,cktile,1,0,17.7872,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,30.18,486.35,0.0
gfx950,256,4096,32,4096,cktile,0,0,18.2014,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,58.99,943.36,0.0
gfx950,256,32768,32,4096,cktile,18,0,56.1714,a8w8_blockscale_cktile_32x128x128_1x4x1_16x16x64_intrawave_0x1x0_3,152.92,2429.1,0.0
gfx950,256,1,256,512,ck,7,0,2.6477,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.1,49.89,0.0
gfx950,256,2,256,512,ck,7,0,2.6554,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.2,50.13,0.0
gfx950,256,4,256,512,ck,7,0,2.4076,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.44,56.14,0.0
gfx950,256,8,256,512,ck,7,0,2.6846,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.78,51.88,0.0
gfx950,256,16,256,512,ck,7,0,2.7194,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.54,54.22,0.0
gfx950,256,32,256,512,ck,12,0,2.9842,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,2.81,54.9,0.0
gfx950,256,64,256,512,ck,7,0,3.2329,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.19,60.81,0.0
gfx950,256,128,256,512,ck,7,0,3.2278,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.4,81.21,0.0
gfx950,256,256,256,512,ck,7,0,3.2341,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.75,121.58,0.0
gfx950,256,512,256,512,ck,7,0,3.2978,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.7,198.73,0.0
gfx950,256,1024,256,512,ck,12,0,3.9174,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,68.52,301.13,0.0
gfx950,256,2048,256,512,ck,7,0,3.9102,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,137.3,569.85,0.0
gfx950,256,4096,256,512,ck,12,0,5.1797,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,207.3,835.06,0.0
