cu_num,M,N,K,libtype,kernelId,preshuffleB,splitK,us,kernelName,tflops,bw,errRatio
256,1,1280,4096,ck,7,True,0,12.7107,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.82,413.0,0.0
256,1,2304,4096,ck,7,True,0,12.7036,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.49,743.56,0.0
256,1,4096,1024,ck,8,False,0,5.1365,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.63,818.36,0.0
256,1,4096,2048,ck,7,True,0,7.6704,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.19,1094.97,0.0
256,1,4096,4096,ck,7,True,0,12.3795,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.71,1356.23,0.0
256,1,4096,8192,ck,7,True,0,23.326,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.88,1439.2,0.0
256,1,4608,4096,ck,7,True,0,12.8222,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.94,1473.05,0.0
256,1,9216,4096,ck,7,True,0,13.889,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.44,2719.51,0.0
256,2,1280,4096,ck,7,True,0,12.6338,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.66,416.04,0.0
256,2,2304,4096,ck,7,True,0,12.7935,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.95,739.02,0.0
256,2,4096,1024,ck,8,False,0,5.1625,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.25,816.03,0.0
256,2,4096,2048,ck,7,True,0,7.7849,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.31,1080.18,0.0
256,2,4096,4096,ck,7,True,0,12.3316,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.44,1362.5,0.0
256,2,4096,8192,ck,7,True,0,23.2075,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.78,1447.26,0.0
256,2,4608,4096,ck,7,True,0,12.8948,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.85,1465.78,0.0
256,2,9216,4096,ck,7,True,0,13.8449,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.91,2729.8,0.0
256,4,1280,4096,ck,7,True,0,12.6876,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.31,415.33,0.0
256,4,2304,4096,ck,7,True,0,12.6523,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.97,748.64,0.0
256,4,4096,1024,ck,8,False,0,5.1913,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.46,815.05,0.0
256,4,4096,2048,ck,7,True,0,7.7239,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.69,1091.36,0.0
256,4,4096,4096,ck,7,True,0,12.3059,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.91,1367.34,0.0
256,4,4096,8192,ck,7,True,0,23.3987,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.47,1436.83,0.0
256,4,4608,4096,ck,7,True,0,12.8747,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.73,1470.14,0.0
256,4,9216,4096,ck,7,True,0,13.8597,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.79,2730.13,0.0
256,8,1280,4096,ck,7,True,0,12.6523,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.63,418.59,0.0
256,8,2304,4096,ck,7,True,0,12.7435,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.85,746.01,0.0
256,8,4096,1024,ck,8,False,0,5.1498,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,13.03,828.78,0.0
256,8,4096,2048,ck,7,True,0,7.6871,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.46,1101.91,0.0
256,8,4096,4096,ck,7,True,0,12.4726,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.52,1353.01,0.0
256,8,4096,8192,ck,7,True,0,23.1488,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.19,1455.17,0.0
256,8,4608,4096,ck,7,True,0,12.9581,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.31,1464.79,0.0
256,8,9216,4096,ck,7,True,0,13.9291,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.36,2723.0,0.0
256,16,1280,4096,ck,7,True,0,11.8936,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.11,449.77,0.0
256,16,2304,4096,ck,7,True,0,11.8215,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.55,810.09,0.0
256,16,4096,1024,ck,8,False,0,5.1826,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.9,837.76,0.0
256,16,4096,2048,ck,7,True,0,7.528,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,35.66,1136.09,0.0
256,16,4096,4096,ck,7,True,0,11.5308,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.56,1472.04,0.0
256,16,4096,8192,ck,7,True,0,21.0497,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.01,1606.51,0.0
256,16,4608,4096,ck,7,True,0,11.9676,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.47,1594.92,0.0
256,16,9216,4096,ck,7,True,0,13.0986,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,92.22,2909.41,0.0
256,32,1280,4096,ck,7,True,0,11.9951,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.97,454.84,0.0
256,32,2304,4096,ck,7,True,0,12.0291,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.21,807.68,0.0
256,32,4096,1024,ck,8,False,0,5.3346,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.32,841.53,0.0
256,32,4096,2048,ck,7,True,0,7.6815,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,69.89,1134.71,0.0
256,32,4096,4096,ck,7,True,0,12.107,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.69,1418.22,0.0
256,32,4096,8192,ck,7,True,0,21.0791,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.88,1616.71,0.0
256,32,4608,4096,ck,7,True,0,11.9276,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.27,1618.13,0.0
256,32,9216,4096,ck,12,True,0,14.025,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,172.26,2742.93,0.0
256,64,1280,4096,ck,7,True,0,11.8573,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,56.6,478.09,0.0
256,64,2304,4096,ck,7,True,0,11.9499,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.09,836.35,0.0
256,64,4096,1024,ck,8,False,0,5.3538,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,100.28,893.59,0.0
256,64,4096,2048,ck,7,True,0,7.6942,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,139.55,1175.43,0.0
256,64,4096,4096,ck,7,True,0,11.519,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,186.43,1524.75,0.0
256,64,4096,8192,ck,7,True,0,20.9527,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,204.98,1651.48,0.0
256,64,4608,4096,ck,12,True,0,12.9102,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,187.13,1527.97,0.0
256,64,9216,4096,ck,17,True,0,16.0346,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,301.34,2444.12,0.0
256,128,1280,4096,ck,7,True,0,11.6571,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,115.14,522.84,0.0
256,128,2304,4096,ck,12,True,0,12.3646,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,195.39,853.35,0.0
256,128,4096,1024,ck,6,True,0,5.8499,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,183.55,918.64,0.0
256,128,4096,2048,ck,12,True,0,8.3121,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,258.36,1166.89,0.0
256,128,4096,4096,ck,12,True,0,12.4559,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,344.81,1473.2,0.0
256,128,4096,8192,ck,12,True,0,22.6359,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,379.48,1575.0,0.0
256,128,4608,4096,ck,17,True,0,14.8065,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,326.33,1389.82,0.0
256,128,9216,4096,ck,15,True,0,22.4971,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,429.55,1806.11,0.0091
256,256,1280,4096,ck,12,True,0,12.5615,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,213.7,553.02,0.0
256,256,2304,4096,ck,17,True,0,14.4395,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,334.63,807.88,0.0
256,256,4096,1024,ck,12,False,0,6.5464,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,328.04,1001.1,0.0
256,256,4096,2048,ck,18,False,0,9.4945,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,452.36,1159.62,0.0
256,256,4096,4096,ck,17,True,0,14.7721,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,581.5,1348.69,0.0
256,256,4096,8192,ck,17,True,0,27.022,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,635.77,1396.96,0.0
256,256,4608,4096,ck,10,True,0,21.1651,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,456.59,1052.78,0.0186
256,256,9216,4096,ck,14,True,0,29.8047,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,648.47,1460.03,0.0
256,512,1280,4096,ck,17,True,0,14.5027,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,370.19,596.49,0.0
256,512,2304,4096,ck,15,True,0,20.9159,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,462.03,664.26,0.0066
256,512,4096,1024,ck,17,True,0,8.7506,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,490.82,1018.55,0.0
256,512,4096,2048,ck,17,True,0,13.7022,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,626.9,994.84,0.0
256,512,4096,4096,ck,14,True,0,23.5072,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,730.83,981.34,0.0
256,512,4096,8192,ck,15,True,0,45.2874,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,758.7,926.15,0.0087
256,512,4608,4096,ck,14,True,0,28.3445,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,681.87,906.35,0.0
256,512,9216,4096,ck,14,True,0,46.0193,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,839.97,1070.92,0.0001
256,1024,1280,4096,ck,15,True,0,21.2226,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,505.94,568.2,0.0103
256,1024,2304,4096,ck,14,True,0,28.1273,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,687.14,652.39,0.0
256,1024,4096,1024,ck,14,True,0,12.7899,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,671.62,1065.8,0.0
256,1024,4096,2048,ck,14,True,0,19.5491,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,878.81,965.49,0.0002
