gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2112,7168,torch.float8_e4m3fn,flydsl,1674,0,11.468,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,2.64,1321.09,0.0
gfx950,256,2,2112,7168,torch.float8_e4m3fn,flydsl,852,0,11.6148,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x1x0_default,5.21,1305.37,0.0
gfx950,256,4,2112,7168,torch.float8_e4m3fn,flydsl,2301,0,11.6145,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3x0_default,10.43,1307.36,0.0
gfx950,256,8,2112,7168,torch.float8_e4m3fn,flydsl,1674,0,11.801,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,20.53,1290.56,0.0
gfx950,256,16,2112,7168,torch.float8_e4m3fn,ck,10,0,11.8503,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,40.88,1292.89,0.0
gfx950,256,32,2112,7168,torch.float8_e4m3fn,ck,8,0,10.7482,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,90.14,1442.41,0.0
gfx950,256,64,2112,7168,torch.float8_e4m3fn,ck,24,0,11.417,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,169.73,1389.85,0.0
gfx950,256,128,2112,7168,torch.float8_e4m3fn,flydsl,114,0,13.5392,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x0x0x4_default,286.25,1225.85,0.0
gfx950,256,256,2112,7168,torch.float8_e4m3fn,flydsl,2386,0,16.2187,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x3x4_default,477.91,1113.23,0.0
gfx950,256,512,2112,7168,torch.float8_e4m3fn,cktile,50,0,22.5534,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x64x256_1x4x1_16x16x128_default,687.35,929.86,0.0
gfx950,256,1024,2112,7168,torch.float8_e4m3fn,cktile,224,0,30.8214,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x3_80x64x256_1x4x1_16x16x128_default,1005.93,869.66,0.0
gfx950,256,2048,2112,7168,torch.float8_e4m3fn,cktile,251,0,43.9015,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_96x192x256_1x4x1_16x16x128_default,1412.45,876.27,0.0
gfx950,256,4096,2112,7168,torch.float8_e4m3fn,cktile,76,0,70.6931,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_96x192x128_1x4x1_16x16x128_default,1754.3,874.21,0.0
gfx950,256,8192,2112,7168,torch.float8_e4m3fn,flydsl,900,0,119.4692,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x1x0_default,2076.14,907.87,0.0
gfx950,256,16384,2112,7168,torch.float8_e4m3fn,ck,35,0,219.3546,a8w8_bpreshuffle_256x256x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2261.49,919.9,0.0
gfx950,256,32768,2112,7168,torch.float8_e4m3fn,cktile,121,0,405.0427,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_160x192x128_1x4x1_16x16x128_default,2449.46,958.99,0.0
gfx950,256,1,3072,1536,torch.float8_e4m3fn,flydsl,2585,0,4.6843,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x0_default,2.01,1008.96,0.0
gfx950,256,2,3072,1536,torch.float8_e4m3fn,flydsl,2585,0,4.7419,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x0_default,3.98,998.32,0.0
gfx950,256,4,3072,1536,torch.float8_e4m3fn,flydsl,1,0,4.7487,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,7.95,1000.13,0.0
gfx950,256,8,3072,1536,torch.float8_e4m3fn,flydsl,665,0,4.7575,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,15.87,1004.74,0.0
gfx950,256,16,3072,1536,torch.float8_e4m3fn,ck,10,0,4.8245,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,31.3,1003.52,0.0
gfx950,256,32,3072,1536,torch.float8_e4m3fn,flydsl,1,0,4.7933,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,63.0,1035.69,0.0
gfx950,256,64,3072,1536,torch.float8_e4m3fn,flydsl,2053,0,4.8407,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x3x4_default,124.77,1076.31,0.0
gfx950,256,128,3072,1536,torch.float8_e4m3fn,flydsl,92,0,5.3805,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x0x0x0x4_default,224.51,1059.68,0.0
gfx950,256,256,3072,1536,torch.float8_e4m3fn,flydsl,280,0,6.606,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x0x4_default,365.72,1011.91,0.0
gfx950,256,512,3072,1536,torch.float8_e4m3fn,flydsl,2833,0,8.6424,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x0x1x4x4_default,559.09,1000.97,0.0
gfx950,256,1024,3072,1536,torch.float8_e4m3fn,flydsl,1780,0,11.5167,flydsl_bpreshuflle_64x192x256_F8_F8_B16_2x1x0x2x4_default,839.1,1092.58,0.0
gfx950,256,2048,3072,1536,torch.float8_e4m3fn,flydsl,319,0,15.5056,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x0x4_default,1246.48,1318.7,0.0
gfx950,256,4096,3072,1536,torch.float8_e4m3fn,flydsl,1232,0,25.0397,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x1x1x1x0_default,1543.74,1444.74,0.0
gfx950,256,8192,3072,1536,torch.float8_e4m3fn,flydsl,236,0,48.6236,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x0x0_default,1589.96,1390.95,0.0
gfx950,256,16384,3072,1536,torch.float8_e4m3fn,flydsl,1591,0,87.6375,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x2x4_default,1764.3,1489.63,0.0
gfx950,256,32768,3072,1536,torch.float8_e4m3fn,flydsl,1429,0,160.8852,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x0x2x4_default,1922.1,1593.54,0.0
gfx950,256,1,4096,512,torch.float8_e4m3fn,flydsl,1,0,2.7625,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,1.52,762.3,0.0
gfx950,256,2,4096,512,torch.float8_e4m3fn,flydsl,2585,0,2.7968,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x4x0_default,3.0,756.06,0.0
gfx950,256,4,4096,512,torch.float8_e4m3fn,flydsl,665,0,2.8052,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,5.98,760.01,0.0
gfx950,256,8,4096,512,torch.float8_e4m3fn,flydsl,665,0,2.7933,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,12.01,775.71,0.0
gfx950,256,16,4096,512,torch.float8_e4m3fn,cktile,30,0,2.7616,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_16x64x512_1x4x1_16x16x128_default,24.3,809.83,0.0
gfx950,256,32,4096,512,torch.float8_e4m3fn,flydsl,167,0,2.8945,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x1x0x0_default,46.37,820.76,0.0
gfx950,256,64,4096,512,torch.float8_e4m3fn,flydsl,914,0,3.1354,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x1x1x4_default,85.61,846.53,0.0
gfx950,256,128,4096,512,torch.float8_e4m3fn,flydsl,778,0,3.4903,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x0x1x4_default,153.82,920.05,0.0
gfx950,256,256,4096,512,torch.float8_e4m3fn,flydsl,2664,0,4.4766,flydsl_bpreshuflle_32x128x256_F8_F8_B16_1x0x0x4x4_default,239.86,966.22,0.0
gfx950,256,512,4096,512,torch.float8_e4m3fn,flydsl,2219,0,5.5295,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x1x3x4_default,388.37,1185.21,0.0
gfx950,256,1024,4096,512,torch.float8_e4m3fn,flydsl,268,0,7.1735,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x1x0x4_default,598.73,1534.82,0.0
gfx950,256,2048,4096,512,torch.float8_e4m3fn,flydsl,932,0,10.8853,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x1x1x4_default,789.13,1830.26,0.0
gfx950,256,4096,4096,512,torch.float8_e4m3fn,flydsl,103,0,15.8898,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x0x0x4_default,1081.19,2375.66,0.0
gfx950,256,8192,4096,512,torch.float8_e4m3fn,flydsl,1265,0,29.982,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x1x1x4_default,1146.01,2448.15,0.0
gfx950,256,16384,4096,512,torch.float8_e4m3fn,flydsl,1915,0,58.7081,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x1x2x4_default,1170.53,2464.8,0.0
gfx950,256,32768,4096,512,torch.float8_e4m3fn,flydsl,1265,0,111.5664,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x1x1x4_default,1231.9,2575.24,0.0
gfx950,256,1,7168,2048,torch.float8_e4m3fn,flydsl,1,0,5.5461,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,5.29,2649.87,0.0
gfx950,256,2,7168,2048,torch.float8_e4m3fn,flydsl,84,0,5.5518,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x4_default,10.58,2650.1,0.0
gfx950,256,4,7168,2048,torch.float8_e4m3fn,flydsl,1,0,5.5453,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,21.18,2659.12,0.0
gfx950,256,8,7168,2048,torch.float8_e4m3fn,flydsl,665,0,5.5479,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,42.34,2669.68,0.0
gfx950,256,16,7168,2048,torch.float8_e4m3fn,ck,10,0,5.5697,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,84.34,2682.77,0.0
gfx950,256,32,7168,2048,torch.float8_e4m3fn,flydsl,84,0,5.7074,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x4_default,164.62,2663.97,0.0
gfx950,256,64,7168,2048,torch.float8_e4m3fn,flydsl,2683,0,6.7152,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x0x4x4_default,279.82,2342.24,0.0
gfx950,256,128,7168,2048,torch.float8_e4m3fn,flydsl,2833,0,8.4265,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x0x1x4x4_default,445.99,1991.01,0.0
gfx950,256,256,7168,2048,torch.float8_e4m3fn,flydsl,1616,0,10.7205,flydsl_bpreshuflle_64x128x256_F8_F8_B16_2x0x1x2x4_default,701.1,1760.59,0.0
gfx950,256,512,7168,2048,torch.float8_e4m3fn,flydsl,2272,0,14.0414,flydsl_bpreshuflle_128x128x256_F8_F8_B16_2x0x1x3x4_default,1070.58,1642.9,0.0
gfx950,256,1024,7168,2048,torch.float8_e4m3fn,flydsl,1640,0,20.0006,flydsl_bpreshuflle_128x128x256_F8_F8_B16_2x0x1x2x4_default,1503.19,1572.82,0.0
gfx950,256,2048,7168,2048,torch.float8_e4m3fn,flydsl,1967,0,34.8056,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,1727.58,1385.83,0.0
gfx950,256,4096,7168,2048,torch.float8_e4m3fn,flydsl,933,0,66.3982,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x1x4_default,1811.18,1231.79,0.0
gfx950,256,8192,7168,2048,torch.float8_e4m3fn,flydsl,1967,0,119.3673,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2014.94,1247.39,0.0
gfx950,256,16384,7168,2048,torch.float8_e4m3fn,flydsl,1967,0,224.1536,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2146.01,1263.04,0.0
gfx950,256,32768,7168,2048,torch.float8_e4m3fn,flydsl,269,0,442.5572,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x0x4_default,2173.89,1246.28,0.0
