cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,1,1280,4096,torch.float8_e4m3fnuz,ck,10,0,8.3418,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.26,629.3,0.0
80,2,1280,4096,torch.float8_e4m3fnuz,ck,10,0,8.4002,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,2.5,625.72,0.0
80,4,1280,4096,torch.float8_e4m3fnuz,ck,10,0,8.4626,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,4.96,622.68,0.0
80,8,1280,4096,torch.float8_e4m3fnuz,ck,10,0,8.5342,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,9.83,620.58,0.0
80,16,1280,4096,torch.float8_e4m3fnuz,ck,24,0,8.0506,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,20.84,664.47,0.0
80,32,1280,4096,torch.float8_e4m3fnuz,ck,10,0,8.4734,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,39.6,643.88,0.0
80,64,1280,4096,torch.float8_e4m3fnuz,ck,5,0,9.22,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,72.79,614.84,0.0
80,128,1280,4096,torch.float8_e4m3fnuz,ck,11,0,13.0078,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,103.18,468.55,0.0
80,256,1280,4096,torch.float8_e4m3fnuz,ck,114,0,16.1179,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,166.54,431.0,0.0
80,512,1280,4096,torch.float8_e4m3fnuz,ck,114,0,24.8289,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,216.23,348.41,0.0
80,1024,1280,4096,torch.float8_e4m3fnuz,ck,85,0,39.1356,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,274.36,308.12,0.0
80,2048,1280,4096,torch.float8_e4m3fnuz,ck,0,0,68.0925,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,315.38,277.19,0.0
80,4096,1280,4096,torch.float8_e4m3fnuz,ck,71,0,125.9246,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,341.07,258.14,0.0
80,8192,1280,4096,torch.float8_e4m3fnuz,ck,71,0,246.6206,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,348.31,242.35,0.0
80,16384,1280,4096,torch.float8_e4m3fnuz,ck,71,0,484.1297,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,354.86,236.08,0.0
80,32768,1280,4096,torch.float8_e4m3fnuz,ck,71,0,961.6167,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,357.31,232.26,0.0
80,1,4096,1024,torch.float8_e4m3fnuz,ck,15,0,5.469,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.53,768.61,0.0
80,2,4096,1024,torch.float8_e4m3fnuz,ck,15,0,5.8094,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,2.89,725.16,0.0
80,4,4096,1024,torch.float8_e4m3fnuz,ck,108,0,5.5792,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,6.01,758.38,0.0
80,8,4096,1024,torch.float8_e4m3fnuz,ck,108,0,5.615,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,11.95,760.11,0.0
80,16,4096,1024,torch.float8_e4m3fnuz,ck,108,0,5.7043,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,23.53,761.14,0.0
80,32,4096,1024,torch.float8_e4m3fnuz,ck,15,0,6.6274,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,40.5,677.37,0.0
80,64,4096,1024,torch.float8_e4m3fnuz,ck,112,0,7.9009,a8w8_bpreshuffle_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v1,67.95,605.52,0.0
80,128,4096,1024,torch.float8_e4m3fnuz,ck,76,0,10.9082,a8w8_bpreshuffle_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v1,98.43,492.65,0.0
80,256,4096,1024,torch.float8_e4m3fnuz,ck,85,0,16.1029,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,133.36,406.98,0.0
80,512,4096,1024,torch.float8_e4m3fnuz,ck,85,0,25.5038,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,168.4,349.47,0.0
80,1024,4096,1024,torch.float8_e4m3fnuz,ck,85,0,41.8738,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,205.14,325.54,0.0
80,2048,4096,1024,torch.float8_e4m3fnuz,ck,85,0,72.9464,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,235.51,316.24,0.0
80,4096,4096,1024,torch.float8_e4m3fnuz,ck,71,0,132.8588,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,258.62,315.7,0.0
80,8192,4096,1024,torch.float8_e4m3fnuz,ck,71,0,253.3744,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,271.22,314.52,0.0
80,16384,4096,1024,torch.float8_e4m3fnuz,ck,71,0,492.6022,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,279.01,315.04,0.0
80,32768,4096,1024,torch.float8_e4m3fnuz,ck,71,0,972.7733,a8w8_bpreshuffle_256x128x128x64_16x16_16x16_4x64x1_4x64x1_1x32x1x8_8x8x1_2x1_intrawave_v3,282.57,314.75,0.0
