M,N,K
1002,3072,6144
1002,8192,3072
1003,3072,6144
1003,8192,3072
1007,2048,3072
1010,3072,6144
1010,8192,3072
1032,2048,3072
1032,3072,3072
1032,4096,3072
1052,3072,3072
1052,4096,3072
1059,2048,3072
1060,2048,3072
1061,2048,3072
1063,3072,6144
1063,8192,3072
1080,3072,3072
1080,4096,3072
1095,3072,6144
1095,8192,3072
1099,2048,3072
1128,3072,3072
1128,4096,3072
1185,2048,3072
1220,3072,6144
1220,8192,3072
1221,3072,6144
1221,8192,3072
1223,2048,3072
1233,3072,6144
1233,8192,3072
1235,3072,6144
1235,8192,3072
1238,3072,6144
1238,8192,3072
1253,2048,3072
1254,2048,3072
1415,3072,3072
1415,4096,3072
1452,2048,3072
1484,2048,3072
1486,3072,3072
1486,4096,3072
1490,3072,3072
1490,4096,3072
1511,3072,3072
1511,4096,3072
1696,2048,3072
1696,3072,3072
1696,4096,3072
1701,3072,3072
1701,4096,3072
1750,3072,6144
1750,8192,3072
1816,3072,3072
1816,4096,3072
1820,2048,3072
1836,2048,3072
1944,2048,3072
2003,3072,3072
2003,3072,6144
2003,4096,3072
2003,8192,3072
2005,2048,3072
2021,3072,6144
2021,8192,3072
2025,2048,3072
2028,2048,3072
2032,2048,3072
2050,3072,6144
2050,8192,3072
2051,2048,3072
2086,2048,3072
2089,2048,3072
2093,3072,6144
2093,8192,3072
2121,3072,6144
2121,8192,3072
2161,3072,3072
2161,4096,3072
2246,3072,3072
2246,4096,3072
2371,3072,6144
2371,8192,3072
2376,2048,3072
2450,3072,3072
2450,4096,3072
2482,3072,3072
2482,4096,3072
2497,2048,3072
2596,3072,6144
2596,8192,3072
2741,3072,3072
2741,4096,3072
2763,3072,3072
2763,4096,3072
3003,2048,3072
3007,2048,3072
3011,3072,3072
3011,3072,6144
3011,4096,3072
3011,8192,3072
3026,2048,3072
3027,3072,6144
3027,8192,3072
3029,2048,3072
3036,3072,6144
3036,8192,3072
3060,2048,3072
3061,3072,3072
3061,4096,3072
3106,3072,3072
3106,4096,3072
3115,2048,3072
3160,3072,3072
3160,4096,3072
3191,3072,3072
3191,4096,3072
3204,2048,3072
3216,2048,3072
3242,3072,6144
3242,8192,3072
3448,3072,3072
3448,4096,3072
3493,2048,3072
3633,2048,3072
3634,2048,3072
3846,3072,3072
3846,4096,3072
3934,3072,6144
3934,8192,3072
3939,3072,6144
3939,8192,3072
3971,3072,3072
3971,4096,3072
3992,3072,3072
3992,4096,3072
4004,3072,6144
4004,8192,3072
4008,3072,3072
4008,4096,3072
4032,3072,6144
4032,8192,3072
4058,2048,3072
4064,3072,6144
4064,8192,3072
4274,3072,3072
4274,4096,3072
4404,3072,6144
4404,8192,3072
4465,3072,6144
4465,8192,3072
4466,3072,3072
4466,4096,3072
4489,2048,3072
4489,3072,3072
4489,3072,6144
4489,4096,3072
4489,8192,3072
4534,3072,6144
4534,8192,3072
4537,3072,6144
4537,8192,3072
4538,2048,3072
4762,3072,3072
4762,4096,3072
4900,3072,3072
4900,4096,3072
5004,3072,3072
5004,4096,3072
5005,3072,6144
5005,8192,3072
5015,3072,3072
5015,4096,3072
5020,3072,6144
5020,8192,3072
5031,3072,6144
5031,8192,3072
5032,3072,3072
5032,4096,3072
5033,3072,6144
5033,8192,3072
5056,3072,3072
5056,4096,3072
5103,3072,6144
5103,8192,3072
5108,3072,6144
5108,8192,3072
5110,3072,3072
5110,4096,3072
5118,3072,6144
5118,8192,3072
5126,3072,6144
5126,8192,3072
5158,3072,3072
5158,4096,3072
5174,3072,6144
5174,8192,3072
5182,3072,6144
5182,8192,3072
5186,3072,3072
5186,4096,3072
5187,3072,3072
5187,4096,3072
5191,3072,6144
5191,8192,3072
5202,3072,3072
5202,4096,3072
5214,3072,3072
5214,4096,3072
5216,3072,3072
5216,4096,3072
5217,3072,6144
5217,8192,3072
5219,3072,3072
5219,3072,6144
5219,4096,3072
5219,8192,3072
5226,3072,6144
5226,8192,3072
5230,2048,3072
5232,3072,6144
5232,8192,3072
5236,3072,6144
5236,8192,3072
5240,3072,6144
5240,8192,3072
5246,3072,6144
5246,8192,3072
5249,2048,3072
5249,3072,6144
5249,8192,3072
5261,2048,3072
5266,2048,3072
5269,3072,3072
5269,4096,3072
5277,3072,3072
5277,4096,3072
5278,3072,3072
5278,4096,3072
5285,2048,3072
5285,3072,3072
5285,4096,3072
5287,3072,3072
5287,4096,3072
5298,3072,3072
5298,4096,3072
5301,3072,3072
5301,4096,3072
5312,3072,3072
5312,4096,3072
5313,3072,3072
5313,4096,3072
5321,3072,3072
5321,4096,3072
5332,3072,3072
5332,3072,6144
5332,4096,3072
5332,8192,3072
5336,3072,3072
5336,4096,3072
5340,3072,3072
5340,4096,3072
5346,3072,3072
5346,4096,3072
5347,3072,3072
5347,4096,3072
5353,3072,3072
5353,4096,3072
5354,3072,6144
5354,8192,3072
5357,3072,3072
5357,4096,3072
5358,3072,3072
5358,4096,3072
5359,3072,3072
5359,4096,3072
5364,3072,3072
5364,4096,3072
5365,3072,3072
5365,4096,3072
5366,3072,6144
5366,8192,3072
5374,3072,3072
5374,4096,3072
5376,3072,3072
5376,3072,6144
5376,4096,3072
5376,8192,3072
5377,3072,3072
5377,4096,3072
5385,3072,3072
5385,4096,3072
5391,3072,3072
5391,4096,3072
5399,3072,3072
5399,4096,3072
5403,3072,3072
5403,4096,3072
5411,3072,3072
5411,4096,3072
5418,3072,3072
5418,4096,3072
5422,3072,3072
5422,4096,3072
5423,3072,3072
5423,4096,3072
5430,3072,3072
5430,4096,3072
5434,2048,3072
5436,3072,3072
5436,3072,6144
5436,4096,3072
5436,8192,3072
5437,3072,3072
5437,4096,3072
5438,3072,3072
5438,4096,3072
5439,3072,3072
5439,4096,3072
5440,3072,6144
5440,8192,3072
5442,3072,3072
5442,4096,3072
5444,3072,3072
5444,4096,3072
5446,3072,3072
5446,4096,3072
5449,3072,3072
5449,4096,3072
5450,3072,3072
5450,4096,3072
5452,3072,3072
5452,4096,3072
5458,3072,3072
5458,4096,3072
5460,3072,3072
5460,4096,3072
5494,3072,6144
5494,8192,3072
5495,3072,3072
5495,4096,3072
5504,3072,6144
5504,8192,3072
5506,3072,6144
5506,8192,3072
5509,2048,3072
5587,3072,6144
5587,8192,3072
5593,3072,3072
5593,4096,3072
5606,3072,3072
5606,4096,3072
5610,3072,3072
5610,4096,3072
5611,3072,3072
5611,4096,3072
5650,3072,3072
5650,4096,3072
5656,3072,3072
5656,4096,3072
5677,3072,3072
5677,4096,3072
5689,2048,3072
5834,3072,3072
5834,4096,3072
5986,3072,3072
5986,4096,3072
6002,3072,6144
6002,8192,3072
6029,2048,3072
6310,3072,6144
6310,8192,3072
6345,3072,6144
6345,8192,3072
6364,3072,3072
6364,4096,3072
6802,2048,3072
6802,3072,3072
6802,4096,3072
6804,3072,6144
6804,8192,3072
6932,3072,3072
6932,4096,3072
7002,3072,3072
7002,4096,3072
7009,2048,3072
7119,3072,3072
7119,4096,3072
7153,3072,6144
7153,8192,3072
7233,2048,3072
7237,2048,3072
7238,3072,6144
7238,8192,3072
7240,3072,6144
7240,8192,3072
7254,2048,3072
7330,2048,3072
7464,2048,3072
7604,3072,6144
7604,8192,3072
7718,3072,3072
7718,4096,3072
7869,2048,3072
7979,3072,3072
7979,4096,3072
8003,3072,6144
8003,8192,3072
8028,2048,3072
8054,2048,3072
8072,3072,3072
8072,4096,3072
8102,2048,3072
8135,2048,3072
8323,3072,3072
8323,4096,3072
8662,3072,3072
8662,4096,3072
8684,3072,6144
8684,8192,3072
8723,3072,3072
8723,4096,3072
8747,3072,6144
8747,8192,3072
8819,3072,3072
8819,4096,3072
8969,3072,3072
8969,4096,3072
9001,3072,6144
9001,8192,3072
9006,2048,3072
9018,3072,6144
9018,8192,3072
9020,3072,6144
9020,8192,3072
9043,2048,3072
9332,3072,3072
9332,4096,3072
9414,3072,3072
9414,4096,3072
9436,3072,3072
9436,4096,3072
9439,2048,3072
9625,2048,3072
9876,2048,3072
9876,3072,3072
9876,4096,3072
10006,2048,3072
10009,2048,3072
10012,3072,3072
10012,4096,3072
10014,2048,3072
10015,3072,6144
10015,8192,3072
10046,2048,3072
10049,3072,3072
10049,4096,3072
10053,2048,3072
10054,2048,3072
10060,2048,3072
10060,3072,3072
10060,4096,3072
10061,2048,3072
10062,3072,3072
10062,4096,3072
10086,2048,3072
10108,3072,3072
10108,4096,3072
10122,2048,3072
10130,3072,3072
10130,4096,3072
10132,3072,3072
10132,4096,3072
10133,3072,3072
10133,4096,3072
10146,3072,3072
10146,4096,3072
10147,3072,3072
10147,4096,3072
10186,3072,3072
10186,4096,3072
10232,3072,3072
10232,4096,3072
10237,3072,6144
10237,8192,3072
10238,3072,3072
10238,4096,3072
10240,3072,3072
10240,4096,3072
10243,3072,3072
10243,4096,3072
10249,3072,3072
10249,4096,3072
10251,3072,3072
10251,4096,3072
10278,3072,3072
10278,4096,3072
10279,3072,3072
10279,4096,3072
10285,3072,3072
10285,4096,3072
10288,3072,3072
10288,4096,3072
10294,3072,3072
10294,4096,3072
10296,3072,3072
10296,4096,3072
10300,3072,3072
10300,4096,3072
10311,3072,3072
10311,4096,3072
10331,3072,3072
10331,4096,3072
10332,3072,3072
10332,4096,3072
10335,3072,3072
10335,4096,3072
10339,3072,3072
10339,4096,3072
10352,3072,3072
10352,4096,3072
10353,3072,3072
10353,4096,3072
10376,2048,3072
10381,2048,3072
10385,2048,3072
10392,2048,3072
10402,2048,3072
10407,2048,3072
10409,3072,6144
10409,8192,3072
10411,3072,6144
10411,8192,3072
10413,2048,3072
10417,2048,3072
10427,2048,3072
10443,3072,6144
10443,8192,3072
10445,2048,3072
10448,2048,3072
10477,2048,3072
10481,2048,3072
10491,2048,3072
10499,3072,3072
10499,4096,3072
10502,3072,3072
10502,4096,3072
10513,3072,3072
10513,4096,3072
10536,3072,3072
10536,4096,3072
10538,3072,3072
10538,4096,3072
10539,3072,3072
10539,4096,3072
10542,3072,3072
10542,4096,3072
10554,3072,3072
10554,4096,3072
10556,3072,3072
10556,4096,3072
10557,3072,3072
10557,4096,3072
10565,3072,3072
10565,4096,3072
10568,3072,3072
10568,4096,3072
10573,3072,3072
10573,4096,3072
10601,3072,3072
10601,4096,3072
10602,3072,3072
10602,4096,3072
10604,3072,3072
10604,4096,3072
10617,3072,3072
10617,4096,3072
10619,3072,3072
10619,4096,3072
10620,3072,3072
10620,4096,3072
10621,3072,3072
10621,4096,3072
10622,3072,3072
10622,4096,3072
10623,3072,3072
10623,4096,3072
10624,3072,3072
10624,4096,3072
10763,2048,3072
10789,3072,3072
10789,4096,3072
10792,3072,3072
10792,4096,3072
10802,3072,6144
10802,8192,3072
10803,2048,3072
10804,3072,3072
10804,4096,3072
10807,3072,6144
10807,8192,3072
10831,3072,6144
10831,8192,3072
10839,3072,3072
10839,4096,3072
10847,3072,6144
10847,8192,3072
10850,2048,3072
10855,3072,3072
10855,4096,3072
10858,3072,3072
10858,4096,3072
10860,3072,3072
10860,4096,3072
10864,2048,3072
10864,3072,3072
10864,4096,3072
10872,3072,3072
10872,4096,3072
10873,3072,3072
10873,4096,3072
10875,2048,3072
10890,2048,3072
10910,2048,3072
10936,2048,3072
10947,3072,3072
10947,4096,3072
10960,3072,6144
10960,8192,3072
10974,3072,3072
10974,4096,3072
10995,2048,3072
10997,2048,3072
11007,2048,3072
11013,3072,3072
11013,4096,3072
11021,2048,3072
11030,3072,3072
11030,4096,3072
11037,2048,3072
11038,2048,3072
11046,3072,3072
11046,4096,3072
11063,2048,3072
11083,3072,3072
11083,4096,3072
11099,3072,3072
11099,4096,3072
11122,2048,3072
11124,3072,3072
11124,4096,3072
11147,2048,3072
11154,2048,3072
11171,2048,3072
11188,2048,3072
11189,2048,3072
11221,2048,3072
11304,3072,6144
11304,8192,3072
11342,3072,6144
11342,8192,3072
11419,3072,3072
11419,4096,3072
11496,3072,3072
11496,4096,3072
