gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.9942,sol2,0.0,0.92,922.55
gfx950,256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.1663,sol2,0.0,1.42,716.12
gfx950,256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9652,8,5.8504,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.042,2.51,637.46
gfx950,256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.5745,auto,0.0,5.27,679.67
gfx950,256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.9189,auto,0.0,9.92,660.19
gfx950,256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6934,8,6.3869,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0209,18.39,649.01
gfx950,256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9654,8,6.5235,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,27.0,671.84
gfx950,256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9603,8,7.0107,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,33.5,659.03
gfx950,256,80,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9603,8,7.0627,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,41.57,687.82
gfx950,256,96,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9601,8,7.1991,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0292,48.94,707.79
gfx950,256,112,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9603,8,7.3027,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0228,56.29,730.28
gfx950,256,128,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,10793,8,7.5531,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0224,62.19,737.52
gfx950,256,256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.2683,native,0.0,83.38,663.02
gfx950,256,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2257,7,8.1587,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0147,3.71,3713.36
gfx950,256,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1171,7,8.188,flydsl_gemm3_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0133,7.4,3702.34
gfx950,256,80,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,15.6805,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0179,154.47,2025.6
gfx950,256,112,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,19.3478,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0106,175.27,1672.35
gfx950,256,128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,19.4606,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0106,199.15,1677.92
gfx950,256,256,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,28.0311,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.006,276.52,1249.65
gfx950,256,1,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,11941,4,5.3627,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0072,1.76,1761.5
gfx950,256,2,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,11941,4,5.4011,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0063,3.49,1750.68
gfx950,256,4,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8555,4,5.6483,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0055,6.68,1677.33
gfx950,256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,11939,4,5.7483,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0134,13.13,1654.56
gfx950,256,16,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,6.0759,auto,0.0,24.85,1577.48
gfx950,256,32,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.9991,auto,0.0,50.34,1622.26
gfx950,256,48,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8505,1,7.3951,flydsl_gemm4_abf16_wbf16_bf16_t16x64x256_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0029,61.25,1335.96
