cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,33.09,flydsl_moe1_afp8_wfp8_bf16_t16x128x256_blkscale_w2,0.0%,8.34,flydsl_moe2_afp8_wfp8_bf16_t16x128x256_atomic_blkscale,0.0%,41.43,0,4.78,0,flydsl_small_m_demoted
256,2,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,35.10,flydsl_moe1_afp8_wfp8_bf16_t16x128x256_blkscale_w2,0.0%,14.05,flydsl_moe2_afp8_wfp8_bf16_t16x128x256_atomic_blkscale,0.0%,49.15,0,8.06,0,flydsl_small_m_demoted
256,4,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,48.84,flydsl_moe1_afp8_wfp8_bf16_t16x128x256_blkscale_w2,0.0%,20.75,flydsl_moe2_afp8_wfp8_bf16_t16x128x256_atomic_blkscale,0.0%,69.59,0,11.39,0,flydsl_small_m_demoted
256,16,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,140.69,flydsl_moe1_afp8_wfp8_bf16_t16x128x256_blkscale_w2,0.0%,68.76,flydsl_moe2_afp8_wfp8_bf16_t16x128x256_atomic_blkscale,0.0%,209.45,0,15.14,0,flydsl_small_m_demoted
256,1024,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,392.10,flydsl_moe1_afp8_wfp8_bf16_t64x128x128_blkscale_w2,0.0%,247.64,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_blkscale,0.0%,639.74,0,317.20,0,
256,8192,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,1095.8,flydsl_moe1_afp8_wfp8_bf16_t64x128x128_blkscale_w2,0.0%,1016.0,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_blkscale,0.0%,2111.8,0,768.8,4310.0,
256,1,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,45.8865,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight0_silu_F8_F8_B16,0.1%,10.9563,moe_ck2stages_gemm2_128x16x128x128_1x2_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,15.8%,56.8428,0,3.49,49779.46,flydsl_fallback
256,2,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,62.7228,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_pf2_silu_16x128E,0.0%,0.0,,0.0%,62.7228,1,6.32,45113.19,flydsl_fallback
256,4,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,78.6512,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_pf2_silu_16x128E,0.0%,0.0,,0.0%,78.6512,1,10.08,35977.43,flydsl_fallback
256,16,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,16,0,211.2661,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_pf2_silu_16x128E,0.0%,0.0,,0.0%,211.2661,1,15.01,13395.08,flydsl_fallback
256,1024,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,673.6803,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,673.6803,1,301.24,4232.87,flydsl_fallback
256,8192,7168,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,64,0,2305.846,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,2305.846,1,704.08,1303.53,flydsl_fallback
