cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,7.4498,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0117,0.49,494.63
256,1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.663,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0123,2.22,2217.39
256,1,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,8.2831,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0046,1.14,1140.44
256,1,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,11.2499,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0025,2.61,2611.45
256,1,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,63.0464,auto,0.0,3.67,3675.33
256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.2696,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,1.01,508.93
256,2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.6971,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0173,4.42,2213.22
256,2,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,8.2744,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0055,2.28,1142.76
256,2,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,11.4208,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0026,5.14,2573.99
256,2,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.5459,auto,0.0,7.18,3590.67
256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,11,7.7755,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0322,1.89,479.64
256,4,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,8.3726,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0053,4.51,1131.55
256,4,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,11.5952,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0028,10.13,2538.45
256,4,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.2502,auto,0.0,14.42,3608.65
256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.8799,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0303,3.73,480.82
256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,8.5754,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0071,8.8,1109.09
256,8,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,11.6649,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0035,20.14,2529.6
256,8,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.6376,auto,0.0,28.67,3589.91
256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,16,7.8452,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0312,7.48,498.09
256,16,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,8.5726,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0055,17.61,1118.06
256,16,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,11.9934,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0034,39.17,2472.61
256,16,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,65.0337,auto,0.0,57.0,3573.78
256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,7.7283,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0288,15.2,536.36
256,32,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,8.7013,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0075,34.71,1118.46
256,32,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,2,12.3935,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0034,75.81,2416.59
256,32,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,64.518,auto,0.0,114.9,3613.92
