gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.6447,sol2,0.0,0.11,111.28
gfx950,256,2,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.1828,sol2,0.0,0.19,99.91
gfx950,256,4,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.3618,sol2,0.0,0.29,82.55
gfx950,256,8,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.144,native,0.0,0.39,60.42
gfx950,256,16,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,7.4336,native,0.0,0.85,79.48
gfx950,256,32,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,7.6476,native,0.0,1.65,103.1
gfx950,256,48,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.9381,native,0.0,1.58,82.6
gfx950,256,64,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.6076,native,0.0,2.92,137.52
gfx950,256,128,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.8833,native,0.0,5.67,222.25
gfx950,256,256,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.4673,native,0.0,8.78,310.04
gfx950,256,16384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,43.7785,native,0.0,147.16,4631.69
gfx950,256,1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.4998,sol2,0.0,0.45,453.0
gfx950,256,2,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.3388,sol2,0.0,0.73,368.29
gfx950,256,4,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6998,12,4.5676,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k12_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0176,1.38,355.34
gfx950,256,8,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6998,12,4.6225,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k12_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,2.72,361.97
gfx950,256,16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6998,12,4.6691,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k12_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0278,5.39,379.85
gfx950,256,32,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,10391,12,4.7569,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k12_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0266,10.58,415.03
gfx950,256,48,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6996,12,4.8277,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k12_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0322,15.64,450.52
