cu_num,B,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
80,16,1,1280,8192,78,0,86.7259,a8w8_batched_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,3.869,3872.5159,0.0
256,16,1,1280,8192,76,0,35.9943,a8w8_batched_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2,9.32,4665.86,0.0
256,16,32,1280,8192,62,0,40.124,a8w8_batched_rowwise_128x32x64x128_32x32_1x1_8x16x1_8x16x1_1x16x1x8_8x8x1_1x1_intrawave_v2,267.61,4318.54,0.0
256,16,64,1280,8192,22,0,43.3072,a8w8_batched_rowwise_256x64x96x256_16x16_2x3_16x16x1_16x16x1_1x64x1x4_8x8x1_2x1_intrawave_v3,495.87,4128.23,0.0
256,16,128,1280,8192,14,0,51.5876,a8w8_batched_rowwise_256x128x96x256_32x32_1x3_16x16x1_16x16x1_1x64x1x4_8x8x1_1x1_intrawave_v3,832.56,3679.03,0.0
256,16,192,1280,8192,6,0,71.2865,a8w8_batched_rowwise_256x256x96x128_32x32_2x3_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,903.74,2816.83,0.0
256,16,256,1280,8192,11,0,72.3839,a8w8_batched_rowwise_256x128x160x128_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,1186.72,2926.24,0.0
256,16,320,1280,8192,13,0,98.8367,a8w8_batched_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1086.38,2254.45,0.0
256,16,512,1280,8192,1,0,111.5901,a8w8_batched_rowwise_256x256x256x128_32x32_4x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1539.55,2292.79,0.0
256,16,1024,1280,8192,4,0,197.9294,a8w8_batched_rowwise_256x256x160x128_32x32_2x5_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,1735.96,1737.65,0.0
256,16,2048,1280,8192,4,0,349.1525,a8w8_batched_rowwise_256x256x160x128_32x32_2x5_8x32x1_8x32x1_1x64x1x4_8x8x1_2x1_intrawave_v3,1968.18,1489.59,0.0
256,16,4096,1280,8192,1,0,613.3597,a8w8_batched_rowwise_256x256x256x128_32x32_4x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,2240.76,1422.35,0.0
256,16,8192,1280,8192,1,0,1173.5459,a8w8_batched_rowwise_256x256x256x128_32x32_4x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,2342.29,1343.84,0.0
256,16,16384,1280,8192,1,0,2361.0863,a8w8_batched_rowwise_256x256x256x128_32x32_4x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,2328.4,1264.82,0.0
256,16,1,8192,1024,78,0,24.0048,a8w8_batched_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,11.18,5602.89,0.0
256,16,32,8192,1024,62,0,29.2926,a8w8_batched_rowwise_128x32x64x128_32x32_1x1_8x16x1_8x16x1_1x16x1x8_8x8x1_1x1_intrawave_v2,293.25,4886.24,0.0
256,16,64,8192,1024,21,0,35.1458,a8w8_batched_rowwise_256x64x128x256_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,488.82,4326.08,0.0
256,16,128,8192,1024,35,0,47.5857,a8w8_batched_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v4,722.06,3569.76,0.0
256,16,192,8192,1024,16,0,65.2496,a8w8_batched_rowwise_256x64x256x128_32x32_1x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,789.88,2876.57,0.0
256,16,256,8192,1024,13,0,77.6629,a8w8_batched_rowwise_256x128x128x128_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,884.84,2646.32,0.0
256,16,320,8192,1024,16,0,102.0894,a8w8_batched_rowwise_256x64x256x128_32x32_1x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,841.41,2187.76,0.0
256,16,512,8192,1024,10,0,139.9123,a8w8_batched_rowwise_256x128x192x128_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,982.32,1978.55,0.0
256,16,1024,8192,1024,10,0,255.6663,a8w8_batched_rowwise_256x128x192x128_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1075.14,1640.54,0.0
256,16,2048,8192,1024,10,0,486.4861,a8w8_batched_rowwise_256x128x192x128_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1130.05,1448.43,0.0
256,16,4096,8192,1024,10,0,919.1929,a8w8_batched_rowwise_256x128x192x128_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1196.17,1387.16,0.0
256,16,8192,8192,1024,10,0,1837.5976,a8w8_batched_rowwise_256x128x192x128_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1196.68,1314.72,0.0
256,16,16384,8192,1024,10,0,3502.651,a8w8_batched_rowwise_256x128x192x128_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1255.63,1341.16,0.0
