cu_num,B,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,16,1,1280,8192,29,0,70.1965,bf16_batched_256x32x96x128_16x16_1x3_16x16x1_16x16x1_1x32x1x8_4x4x1_1x1_intrawave_v3,4.78,4784.39,0.0
256,16,32,1280,8192,29,0,71.6629,bf16_batched_256x32x96x128_16x16_1x3_16x16x1_16x16x1_1x32x1x8_4x4x1_1x1_intrawave_v3,149.83,4817.61,0.0
256,16,64,1280,8192,22,0,76.7765,bf16_batched_256x64x96x128_16x16_2x3_16x16x1_16x16x1_1x64x1x4_8x8x1_2x1_intrawave_v3,279.71,4623.07,0.0
256,16,128,1280,8192,14,0,91.5459,bf16_batched_256x128x96x128_32x32_1x3_16x16x1_16x16x1_1x64x1x4_8x8x1_1x1_intrawave_v3,469.16,4089.11,0.0
256,16,192,1280,8192,11,0,114.3946,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,563.18,3441.95,0.0
256,16,256,1280,8192,11,0,122.6258,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,700.5,3369.1,0.0
256,16,320,1280,8192,11,0,175.5309,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,611.71,2464.17,0.0
256,16,512,1280,8192,11,0,201.1679,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,854.01,2439.42,0.0
256,16,1024,1280,8192,11,0,337.1704,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,1019.06,1915.72,0.0
256,16,2048,1280,8192,11,0,620.3587,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,1107.74,1541.53,0.0
256,16,4096,1280,8192,0,0,1129.6811,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,1216.62,1396.02,0.0
256,16,8192,1280,8192,0,0,2205.4708,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,1246.35,1277.99,0.0
256,16,16384,1280,8192,0,0,4356.549,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,1261.91,1216.93,0.0
256,16,1,8192,1024,78,0,44.9263,bf16_batched_64x16x16x64_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,5.98,5981.58,0.0
256,16,32,8192,1024,83,0,48.4574,bf16_batched_128x32x128x64_32x32_1x2_8x16x1_8x16x1_1x16x1x8_8x8x1_1x1_interwave_v2,177.27,5734.37,0.0
256,16,64,8192,1024,19,0,53.6388,bf16_batched_256x64x192x64_32x32_1x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,320.29,5356.38,0.0
256,16,128,8192,1024,10,0,62.4337,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,550.34,4904.15,0.0
256,16,192,8192,1024,0,0,85.3554,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,603.82,3808.3,0.0
256,16,256,8192,1024,0,0,91.0277,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,754.93,3778.33,0.0
256,16,320,8192,1024,10,0,121.5463,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,706.72,2984.93,0.0
256,16,512,8192,1024,0,0,153.8729,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,893.2,2725.82,0.0
256,16,1024,8192,1024,0,0,283.6106,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,969.21,2011.3,0.0
256,16,2048,8192,1024,10,0,555.2998,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,990.02,1571.07,0.0
256,16,4096,8192,1024,0,0,1069.5981,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,1027.97,1380.33,0.0
256,16,8192,8192,1024,10,0,2127.4053,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1033.66,1261.8,0.0
256,16,16384,8192,1024,10,0,4020.3682,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1093.94,1268.61,0.0
304,16,16384,8192,1024,0,0,8164.1629,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,538.7,624.71,0.0
