gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,4.5843,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,0.16,162.14
gfx950,256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,9,4.6253,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0117,0.32,162.0
gfx950,256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,4.595,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,0.64,165.69
gfx950,256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,11,4.6803,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0205,1.26,167.81
gfx950,256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,13,4.9158,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0176,2.4,169.56
gfx950,256,32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,5.0084,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0215,4.71,185.65
gfx950,256,48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,15,4.9394,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0221,7.16,207.73
gfx950,256,64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,5.1163,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0234,9.22,219.36
gfx950,256,80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,7,14,5.3157,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0224,11.1,229.24
gfx950,256,96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,9,5.3826,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0169,13.15,244.27
gfx950,256,112,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,5,7,5.9525,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0142,13.87,237.06
gfx950,256,128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,5,11,5.8457,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.019,16.14,257.85
gfx950,256,256,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,7.2561,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0121,26.01,313.86
gfx950,256,1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,30,9,6.5955,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0141,0.56,559.99
gfx950,256,2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,30,9,6.684,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0172,1.1,553.63
gfx950,256,4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,28,9,6.7639,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0258,2.18,549.17
gfx950,256,8,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,30,9,6.7638,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0166,4.36,553.35
gfx950,256,16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,31,9,6.7723,flydsl_gemm2_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0185,8.71,560.97
gfx950,256,32,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,124,9,7.6195,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0192,15.48,513.38
gfx950,256,48,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.4843,auto,0.0,23.64,537.7
gfx950,256,64,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.7195,auto,0.0,30.56,535.91
gfx950,256,80,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,9.0804,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.014,32.48,468.0
gfx950,256,96,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,8,6,9.2387,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0146,38.31,472.17
gfx950,256,112,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,5,9.3411,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0125,44.2,479.05
