gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3408,8,6.0719,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0189,7.25,926.54
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3423,8,6.2911,flydsl_gemm6_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0236,14.0,913.46
gfx950,256,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3833,8,6.5755,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0229,20.09,892.33
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2838,8,6.8076,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0218,25.88,879.66
gfx950,256,40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2328,8,6.9619,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.021,31.63,877.52
gfx950,256,48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2325,8,7.2221,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0225,36.59,862.63
gfx950,256,56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2943,8,7.5631,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0193,40.76,839.71
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4088,8,7.6895,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0226,45.82,841.63
gfx950,256,72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5460,8,7.762,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0224,51.06,849.33
gfx950,256,80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3270,8,7.8985,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0221,55.76,849.95
gfx950,256,88,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5168,8,8.3955,flydsl_gemm7_abf16_wbf16_bf16_t32x64x64_split_k8_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,57.7,814.03
