cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.9817,flydsl_moe1_afp4_wfp4_bf16_t16x128x256_w3_kb14_go_fq,18.1%,9.3649,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,0.0%,22.3466,0,3.94,94598.32,
256,2,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.2234,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb7_go_fq,17.7%,10.4562,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.4%,25.6796,0,6.86,82321.07,
256,4,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.4065,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb4_go_fq,16.2%,12.7004,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.2%,32.1069,0,10.97,65843.02,
256,8,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,30.2456,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4,0.0%,18.111,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.2%,48.3566,0,14.57,43718.98,
256,16,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.684,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,27.437,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.2%,73.121,0,19.27,28914.72,
256,32,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,79.5569,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_fq,17.6%,46.72,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_persist_sbm32,1.2%,126.2769,0,22.32,16745.88,
256,64,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,120.8833,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,71.3777,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.1%,192.261,0,29.32,11002.26,
256,128,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,117.2236,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fq,17.7%,73.3865,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,1.2%,190.6101,0,59.15,11104.77,
256,256,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,121.8778,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,77.2681,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,1.2%,199.1459,0,113.23,10642.62,
256,512,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,118.7366,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fq,17.0%,83.0658,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_persist_sbm32,1.2%,201.8024,0,223.47,10529.8,
