cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,512,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,17.5027,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,16.1863,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,2.7%,33.689,0,5.23,62749.2,
256,8192,7168,512,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,1803.0974,flydsl_moe1_abf16_wint4_bf16_t64x64x128_kb2,0.0%,1118.8432,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,2.9%,2921.9406,0,493.89,803.85,
256,8192,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,879.935,flydsl_moe1_abf16_wint4_bf16_t64x64x128_kb2,0.0%,828.1369,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,1.4%,1708.0719,0,422.44,756.32,
256,1,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,14.0556,flydsl_moe1_abf16_wint4_bf16_t16x64x256_kb7,0.0%,12.6181,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.7%,26.6737,0,3.3,39626.8,
256,2,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,16.6713,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb7,0.0%,14.3038,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.5%,30.9751,0,5.69,34124.89,
256,4,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,25.4829,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,20.7121,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.5%,46.195,0,7.63,22882.98,
256,8,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,42.5257,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb2,0.0%,28.2343,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.4%,70.76,0,9.96,14940.56,
256,16,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,64.0412,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,39.8707,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.4%,103.9119,0,13.56,10176.15,
256,32,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,99.0682,flydsl_moe1_abf16_wint4_bf16_t16x64x128,0.0%,60.0433,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.4%,159.1115,0,17.71,6648.68,
256,64,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,144.6454,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,83.8102,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.3%,228.4556,0,24.68,4634.6,
256,128,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,179.8345,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,100.6564,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.4%,280.4909,0,40.19,3781.35,
256,256,7168,256,384,8,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,184.3481,flydsl_moe1_abf16_wint4_bf16_t16x128x128,0.0%,109.0747,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.3%,293.4228,0,76.85,3627.2,
