M,N,K,q_dtype_w
1,256,512,torch.int8
2,256,512,torch.int8
4,256,512,torch.int8
8,256,512,torch.int8
16,256,512,torch.int8
32,256,512,torch.int8
64,256,512,torch.int8
128,256,512,torch.int8
256,256,512,torch.int8
512,256,512,torch.int8
1024,256,512,torch.int8
2048,256,512,torch.int8
4096,256,512,torch.int8
8192,256,512,torch.int8
16384,256,512,torch.int8
32768,256,512,torch.int8
1,512,256,torch.int8
2,512,256,torch.int8
4,512,256,torch.int8
8,512,256,torch.int8
16,512,256,torch.int8
32,512,256,torch.int8
64,512,256,torch.int8
128,512,256,torch.int8
256,512,256,torch.int8
512,512,256,torch.int8
1024,512,256,torch.int8
2048,512,256,torch.int8
4096,512,256,torch.int8
8192,512,256,torch.int8
16384,512,256,torch.int8
32768,512,256,torch.int8
1,512,512,torch.int8
2,512,512,torch.int8
4,512,512,torch.int8
8,512,512,torch.int8
16,512,512,torch.int8
32,512,512,torch.int8
64,512,512,torch.int8
128,512,512,torch.int8
256,512,512,torch.int8
512,512,512,torch.int8
1024,512,512,torch.int8
2048,512,512,torch.int8
4096,512,512,torch.int8
8192,512,512,torch.int8
16384,512,512,torch.int8
32768,512,512,torch.int8
1,512,1024,torch.int8
2,512,1024,torch.int8
4,512,1024,torch.int8
8,512,1024,torch.int8
16,512,1024,torch.int8
32,512,1024,torch.int8
64,512,1024,torch.int8
128,512,1024,torch.int8
256,512,1024,torch.int8
512,512,1024,torch.int8
1024,512,1024,torch.int8
2048,512,1024,torch.int8
4096,512,1024,torch.int8
8192,512,1024,torch.int8
16384,512,1024,torch.int8
32768,512,1024,torch.int8
1,512,2048,torch.int8
2,512,2048,torch.int8
4,512,2048,torch.int8
8,512,2048,torch.int8
16,512,2048,torch.int8
32,512,2048,torch.int8
64,512,2048,torch.int8
128,512,2048,torch.int8
256,512,2048,torch.int8
512,512,2048,torch.int8
1024,512,2048,torch.int8
2048,512,2048,torch.int8
4096,512,2048,torch.int8
8192,512,2048,torch.int8
16384,512,2048,torch.int8
32768,512,2048,torch.int8
1,1024,256,torch.int8
2,1024,256,torch.int8
4,1024,256,torch.int8
8,1024,256,torch.int8
16,1024,256,torch.int8
32,1024,256,torch.int8
64,1024,256,torch.int8
128,1024,256,torch.int8
256,1024,256,torch.int8
512,1024,256,torch.int8
1024,1024,256,torch.int8
2048,1024,256,torch.int8
4096,1024,256,torch.int8
8192,1024,256,torch.int8
16384,1024,256,torch.int8
32768,1024,256,torch.int8
1,1024,512,torch.int8
2,1024,512,torch.int8
4,1024,512,torch.int8
8,1024,512,torch.int8
16,1024,512,torch.int8
32,1024,512,torch.int8
64,1024,512,torch.int8
128,1024,512,torch.int8
256,1024,512,torch.int8
512,1024,512,torch.int8
1024,1024,512,torch.int8
2048,1024,512,torch.int8
4096,1024,512,torch.int8
8192,1024,512,torch.int8
16384,1024,512,torch.int8
32768,1024,512,torch.int8
1,1024,1024,torch.int8
2,1024,1024,torch.int8
4,1024,1024,torch.int8
8,1024,1024,torch.int8
16,1024,1024,torch.int8
32,1024,1024,torch.int8
64,1024,1024,torch.int8
128,1024,1024,torch.int8
256,1024,1024,torch.int8
512,1024,1024,torch.int8
1024,1024,1024,torch.int8
