cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,tflops,bw,_tag
256,256,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,176.4949,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_fp4,0.8%,104.0769,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2_persist_sbm32,0.6%,280.5718,0,0,114.81,11492.14,
256,128,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,167.3166,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,94.9163,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_persist_sbm32,0.6%,262.2329,0,0,61.42,12289.83,
256,64,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,133.6922,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,76.0021,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2,0.0%,209.6943,0,0,38.4,15365.28,
256,32,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,92.0389,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,53.0738,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_reduce_bnt2_persist_sbm32,0.0%,145.1127,0,0,27.75,22200.8,
256,16,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,57.9792,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_xcd4_fp4,1.0%,35.492,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2_sbm64,0.0%,93.4712,0,0,21.54,34464.33,
256,8,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,32.5473,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_fp4,1.2%,23.3846,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,0.0%,55.9319,0,0,18.0,57593.68,
256,4,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,23.4803,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,16.4406,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,0.6%,39.9209,0,0,12.61,80691.43,
256,2,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.1456,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,10.2862,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.9%,28.4318,0,0,8.85,113297.44,
256,1,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.1661,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,6.8697,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.8%,24.0358,0,0,5.24,134018.33,
256,8192,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,393.9444,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4,0.0%,473.7579,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_persist,0.0%,867.7023,0,0,1187.96,3828.37,
256,16384,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,622.2001,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4,0.0%,884.9408,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_persist,0.0%,1507.1409,0,0,1367.88,2270.89,
256,1024,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,190.2166,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.8%,121.1913,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4_persist_sbm64,0.7%,311.4079,0,0,413.76,10384.48,
256,2048,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,218.3225,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4,0.0%,172.2584,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_persist,0.6%,390.5809,0,0,659.78,8311.7,
256,4096,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,254.6509,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.8%,285.2882,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce,0.0%,539.9391,0,0,954.54,6059.12,
256,512,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,100.7601,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4,0.0%,66.406,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2_persist_sbm32,0.2%,167.1661,0,0,192.7,9672.44,
256,256,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,97.862,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4,0.0%,61.1972,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.2%,159.0592,0,0,101.26,10145.65,
256,128,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,86.417,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.8%,55.144,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.2%,141.561,0,0,56.89,11388.63,
256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,72.1515,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,44.2133,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.2%,116.3648,0,0,34.6,13847.82,
256,32,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,52.0234,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,32.381,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_reduce_bnt2_persist_sbm32,0.0%,84.4044,0,0,23.85,19086.75,
256,16,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,35.2881,moe_ck2stages_gemm1_64x32x32x128_1x1_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,22.6659,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.2%,57.954,0,0,17.37,27794.62,
256,8,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,22.5083,moe_ck2stages_gemm1_64x32x32x128_1x1_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,15.6112,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,0.1%,38.1195,0,0,13.2,42254.25,
256,4,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.2024,flydsl_moe1_afp4_wfp4_bf16_t32x64x256,0.0%,9.409,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.1%,28.6114,0,0,8.8,56294.41,
256,2,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.5277,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,7.5868,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.1%,25.1145,0,0,5.01,64131.77,
256,1,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,15.0791,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w2_fp4,0.6%,7.176,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.1%,22.2551,0,0,2.83,72371.05,
256,8192,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,207.0851,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4,0.0%,355.0085,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist,0.0%,562.0936,0,0,916.92,3044.47,
256,16384,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,326.17,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4,0.0%,689.0624,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist,0.0%,1015.2324,0,0,1015.33,1784.75,
256,2048,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,120.3983,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4,0.0%,123.3565,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_persist,0.0%,243.7548,0,0,528.6,6710.75,
256,4096,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,150.5908,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4,0.0%,206.5122,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce,0.0%,357.103,0,0,721.64,4651.16,
256,1024,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,112.1658,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,85.9889,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.2%,198.1547,0,0,325.12,8191.56,
256,256,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,201.1649,moe_ck2stages_gemm1_64x32x32x128_1x1_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0,106.8039,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.0064,307.9688,0,0,0.0,0.0,flydsl_fallback
