gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,594,3072,3072,torch.float8_e4m3fnuz,ck,128,0,34.7354,a8w8_bpreshuffle_256x64x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,322.77,429.29,0.0
gfx942,80,594,3072,12288,torch.float8_e4m3fnuz,cktile,67,0,112.7189,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x256_1x4x1_16x16x64_default,397.85,432.02,0.0
gfx942,80,2048,3072,3072,torch.float8_e4m3fnuz,cktile,48,0,97.0221,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,398.41,291.81,0.0
gfx942,80,2048,3072,12288,torch.float8_e4m3fnuz,cktile,68,0,333.5319,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x256_1x4x1_16x16x64_default,463.58,226.36,0.0
gfx942,80,4608,3072,3072,torch.float8_e4m3fnuz,cktile,48,0,198.2561,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,438.69,261.81,0.0
gfx942,80,4608,3072,12288,torch.float8_e4m3fnuz,cktile,48,0,728.9361,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,477.26,168.3,0.0
gfx942,80,7904,3072,3072,torch.float8_e4m3fnuz,cktile,48,0,345.4634,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,431.83,238.17,0.0
gfx942,80,7904,3072,12288,torch.float8_e4m3fnuz,cktile,55,0,1280.7302,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x128_1x4x1_16x16x64_default,465.93,143.23,0.0
gfx942,80,8192,3072,3072,torch.float8_e4m3fnuz,cktile,54,0,343.4322,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,450.22,247.31,0.0
gfx942,80,8192,3072,12288,torch.float8_e4m3fnuz,ck,68,0,1244.7619,a8w8_bpreshuffle_256x128x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,496.86,151.63,0.0
gfx942,80,594,9216,3072,torch.float8_e4m3fnuz,ck,68,0,92.1658,a8w8_bpreshuffle_256x128x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,364.93,445.77,0.0
gfx942,80,2048,9216,3072,torch.float8_e4m3fnuz,cktile,48,0,264.9307,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,437.71,273.1,0.0
gfx942,80,4608,9216,3072,torch.float8_e4m3fnuz,cktile,48,0,568.141,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,459.25,224.24,0.0
gfx942,80,7904,9216,3072,torch.float8_e4m3fnuz,cktile,48,0,1001.6994,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,446.79,197.94,0.0
gfx942,80,8192,9216,3072,torch.float8_e4m3fnuz,cktile,54,0,993.8848,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,466.71,205.73,0.0
gfx942,80,594,12288,3072,torch.float8_e4m3fnuz,ck,68,0,119.9406,a8w8_bpreshuffle_256x128x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,373.9,451.65,0.0
gfx942,80,2048,12288,3072,torch.float8_e4m3fnuz,ck,68,0,344.6961,a8w8_bpreshuffle_256x128x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,448.57,273.78,0.0
gfx942,80,4608,12288,3072,torch.float8_e4m3fnuz,cktile,54,0,752.5539,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x192x128_1x4x1_16x16x64_default,462.28,219.45,0.0
gfx942,80,7904,12288,3072,torch.float8_e4m3fnuz,cktile,48,0,1340.9418,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,445.01,191.12,0.0
gfx942,80,8192,12288,3072,torch.float8_e4m3fnuz,cktile,48,0,1315.6577,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default,470.09,200.84,0.0
