M,N,K,q_dtype_w
2048,3072,3072,torch.float8_e4m3fnuz
2048,3072,12288,torch.float8_e4m3fnuz
2048,9216,3072,torch.float8_e4m3fnuz
2048,12288,3072,torch.float8_e4m3fnuz
4608,3072,3072,torch.float8_e4m3fnuz
4608,3072,12288,torch.float8_e4m3fnuz
4608,9216,3072,torch.float8_e4m3fnuz
4608,12288,3072,torch.float8_e4m3fnuz
7904,3072,3072,torch.float8_e4m3fnuz
7904,3072,12288,torch.float8_e4m3fnuz
7904,9216,3072,torch.float8_e4m3fnuz
7904,12288,3072,torch.float8_e4m3fnuz
8192,3072,3072,torch.float8_e4m3fnuz
8192,3072,12288,torch.float8_e4m3fnuz
8192,9216,3072,torch.float8_e4m3fnuz
8192,12288,3072,torch.float8_e4m3fnuz
594,3072,3072,torch.float8_e4m3fnuz
594,3072,12288,torch.float8_e4m3fnuz
594,9216,3072,torch.float8_e4m3fnuz
594,12288,3072,torch.float8_e4m3fnuz
