cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,stage,kernelName,err
256,1,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.0949,moe_cktile2stages_gemm1_256x32x256x256_1x4_16x16x32_2perCU_1x32_HasBias_swiglu,0.0%,12.99,moe_cktile2stages_gemm2_256x32x256x256_1x4_16x16x32_3perCU_1x32_MulRoutedWeight_HasBias,1.5%,33.0849,0.0,1.14,18255.82,,,
256,1,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,28.6928,moe_cktile2stages_gemm1_256x64x256x256_1x4_16x16x32_3perCU_1x32_HasBias_swiglu,0.0%,14.3538,moe_cktile2stages_gemm2_256x64x256x256_1x4_16x16x32_2perCU_1x32_MulRoutedWeight_HasBias,1.5%,43.0466,0.0,0.88,14031.12,,,
256,1,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.3396,moe_cktile2stages_gemm1_256x32x256x256_1x4_16x16x32_2perCU_1x32_HasBias_swiglu,0.0%,16.1318,moe_cktile2stages_gemm2_256x32x256x256_1x4_16x16x32_2perCU_1x32_MulRoutedWeight_HasBias,3.7%,37.4714,0.0,3.02,48355.59,,,
256,1,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,29.5922,moe_cktile2stages_gemm1_256x64x256x256_1x4_16x16x32_3perCU_1x32_HasBias_swiglu,0.0%,21.1024,moe_cktile2stages_gemm2_256x64x256x256_1x4_16x16x32_4perCU_1x32_MulRoutedWeight_HasBias,3.4%,50.6946,0.0,2.23,35742.5,,,
256,1,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.5307,moe_cktile2stages_gemm1_256x32x256x256_1x4_16x16x32_1perCU_1x32_HasBias_swiglu,0.0%,22.9923,moe_cktile2stages_gemm2_256x32x256x256_1x4_16x16x32_2perCU_1x32_MulRoutedWeight_HasBias,4.9%,44.523,0.0,5.09,81393.68,,,
256,1,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,30.1049,moe_cktile2stages_gemm1_256x64x256x256_1x4_16x16x32_1perCU_1x32_HasBias_swiglu,0.0%,33.1252,moe_cktile2stages_gemm2_256x64x256x256_1x4_16x16x32_3perCU_1x32_MulRoutedWeight_HasBias,4.9%,63.2301,0.0,3.58,57312.75,,,
256,2,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.3295,moe_cktile2stages_gemm1_256x32x256x256_1x4_16x16x32_1perCU_1x32_HasBias_swiglu,0.0%,12.2052,moe_cktile2stages_gemm2_256x32x256x256_1x4_16x16x32_1perCU_1x32_MulRoutedWeight_HasBias,1.7%,32.5347,0.0,2.32,18564.93,,,
256,2,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,29.1904,moe_cktile2stages_gemm1_256x64x256x256_1x4_16x16x32_1perCU_1x32_HasBias_swiglu,0.0%,14.4522,moe_cktile2stages_gemm2_256x64x256x256_1x4_16x16x32_1perCU_1x32_MulRoutedWeight_HasBias,1.5%,43.6426,0.0,1.73,13839.79,,,
256,2,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,22.0343,moe_cktile2stages_gemm1_256x32x256x256_1x4_16x16x32_1perCU_1x32_HasBias_swiglu,0.0%,16.933,moe_cktile2stages_gemm2_256x32x256x256_1x4_16x16x32_1perCU_1x32_MulRoutedWeight_HasBias,2.5%,38.9673,0.0,5.81,46499.6,,,
256,2,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,29.9462,moe_cktile2stages_gemm1_256x64x256x256_1x4_16x16x32_4perCU_1x32_HasBias_swiglu,0.0%,21.3296,moe_cktile2stages_gemm2_256x64x256x256_1x4_16x16x32_4perCU_1x32_MulRoutedWeight_HasBias,2.4%,51.2758,0.0,4.42,35337.6,,,
