T_prefill,num_seqs_prefill,cu_seqlens_prefill,head_seqlen,mid_seqlen,tail_seqlen,log_count
5000,1,0 5000,0,5000,0,2844
1000,1,0 1000,0,1000,0,3096
15000,3,0 5000 10000 15000,0,5000,0,828
10000,1,0 10000,0,10000,0,1764
7000,7,0 1000 2000 3000 4000 5000 6000 7000,0,1000,0,288
20000,20,0 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 11000 12000 13000 14000 15000 16000 17000 18000 19000 20000,0,1000,0,288
30000,3,0 10000 20000 30000,0,10000,0,1080
10000,2,0 5000 10000,0,5000,0,576
3000,3,0 1000 2000 3000,0,1000,0,432
20000,2,0 10000 20000,0,10000,0,576
32767,4,0 10000 20000 30000 32767,0,10000,2767,252
32764,4,0 7233 17233 27233 32764,7233,10000,5531,252
30000,6,0 5000 10000 15000 20000 25000 30000,0,5000,0,360
32764,7,0 5000 10000 15000 20000 25000 30000 32764,0,5000,2764,216
32764,4,0 10000 20000 30000 32764,0,10000,2764,216
4469,1,0 4469,4469,0,0,180
32767,7,0 5000 10000 15000 20000 25000 30000 32767,0,5000,2767,144
32761,7,0 5000 10000 15000 20000 25000 30000 32761,0,5000,2761,144
27236,6,0 2236 7236 12236 17236 22236 27236,2236,5000,0,144
10000,10,0 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000,0,1000,0,252
32763,4,0 10000 20000 30000 32763,0,10000,2763,144
32760,4,0 7237 17237 27237 32760,7237,10000,5523,144
32757,4,0 4477 14477 24477 32757,4477,10000,8280,144
11720,2,0 1720 11720,1720,10000,0,144
32758,4,0 10000 20000 30000 32758,0,10000,2758,144
32755,4,0 7242 17242 27242 32755,7242,10000,5513,144
32752,4,0 4487 14487 24487 32752,4487,10000,8265,144
2233,1,0 2233,2233,0,0,108
12239,3,0 2239 7239 12239,2239,5000,0,108
32759,7,0 5000 10000 15000 20000 25000 30000 32759,0,5000,2759,108
11000,11,0 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 11000,0,1000,0,180
7236,1,0 7236,7236,0,0,108
32761,4,0 7236 17236 27236 32761,7236,10000,5525,108
32758,4,0 4475 14475 24475 32758,4475,10000,8283,108
32749,5,0 1735 11735 21735 31735 32749,1735,10000,1014,108
32745,4,0 8986 18986 28986 32745,8986,10000,3759,108
32742,4,0 6241 16241 26241 32742,6241,10000,6501,108
23499,3,0 3499 13499 23499,3499,10000,0,108
32763,7,0 5000 10000 15000 20000 25000 30000 32763,0,5000,2763,72
32757,8,0 2237 7237 12237 17237 22237 27237 32237 32757,2237,5000,520,72
32750,7,0 4480 9480 14480 19480 24480 29480 32750,4480,5000,3270,72
32744,8,0 1730 6730 11730 16730 21730 26730 31730 32744,1730,5000,1014,72
32758,8,0 2236 7236 12236 17236 22236 27236 32236 32758,2236,5000,522,72
32751,7,0 4478 9478 14478 19478 24478 29478 32751,4478,5000,3273,72
32745,8,0 1727 6727 11727 16727 21727 26727 31727 32745,1727,5000,1018,72
32753,8,0 2241 7241 12241 17241 22241 27241 32241 32753,2241,5000,512,72
32746,7,0 4488 9488 14488 19488 24488 29488 32746,4488,5000,3258,72
32740,8,0 1742 6742 11742 16742 21742 26742 31742 32740,1742,5000,998,72
32733,7,0 4002 9002 14002 19002 24002 29002 32733,4002,5000,3731,72
32727,8,0 1269 6269 11269 16269 21269 26269 31269 32727,1269,5000,1458,72
32720,7,0 3542 8542 13542 18542 23542 28542 32720,3542,5000,4178,72
32714,8,0 822 5822 10822 15822 20822 25822 30822 32714,822,5000,1892,72
13108,3,0 3108 8108 13108,3108,5000,0,72
12000,12,0 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 11000 12000,0,1000,0,144
9000,9,0 1000 2000 3000 4000 5000 6000 7000 8000 9000,0,1000,0,108
32755,33,0 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 11000 12000 13000 14000 15000 16000 17000 18000 19000 20000 21000 22000 23000 24000 25000 26000 27000 28000 29000 30000 31000 32000 32755,0,1000,755,72
18245,19,0 245 1245 2245 3245 4245 5245 6245 7245 8245 9245 10245 11245 12245 13245 14245 15245 16245 17245 18245,245,1000,0,72
