arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,2500,1,0,0,0,True,False,True,False,True,False,True,16,67.1445
gfx950,torch.bfloat16,128,128,64,32,16,60000,1,0,0,0,True,False,True,False,True,False,True,16,2036.6531
gfx950,torch.bfloat16,128,128,64,32,16,128000,1,0,0,0,True,False,True,False,True,False,True,16,4350.3348
gfx950,torch.bfloat16,128,128,64,16,8,2500,1,0,0,0,True,False,True,False,True,False,True,16,61.2309
gfx950,torch.bfloat16,128,128,64,16,8,60000,1,0,0,0,True,False,True,False,True,False,True,16,1792.1789
gfx950,torch.bfloat16,128,128,64,16,8,128000,1,0,0,0,True,False,True,False,True,False,True,16,3812.0547
gfx950,torch.bfloat16,128,128,64,64,16,2500,1,0,0,0,True,False,True,False,True,False,True,32,87.8850
gfx950,torch.bfloat16,128,128,64,64,16,60000,1,0,0,0,True,False,True,False,True,False,True,32,2643.8319
gfx950,torch.bfloat16,128,128,64,64,16,128000,1,0,0,0,True,False,True,False,True,False,True,32,5681.1567
gfx950,torch.bfloat16,128,128,64,32,8,2500,1,0,0,0,True,False,True,False,True,False,True,16,65.0891
gfx950,torch.bfloat16,128,128,64,32,8,60000,1,0,0,0,True,False,True,False,True,False,True,16,2010.9211
gfx950,torch.bfloat16,128,128,64,32,8,128000,1,0,0,0,True,False,True,False,True,False,True,16,4275.0267
gfx950,torch.bfloat16,128,128,64,16,4,32768,32,1024,1024,1024,True,False,True,True,True,True,True,64,199.5201
gfx950,torch.bfloat16,128,128,64,16,4,32768,16,2048,2048,2048,True,False,True,True,True,True,True,64,188.0007
gfx950,torch.bfloat16,128,128,64,16,4,32768,8,4096,4096,4096,True,False,True,True,True,True,True,64,237.6206
gfx950,torch.bfloat16,128,128,64,16,4,32768,4,8192,8192,8192,True,False,True,True,True,True,True,32,371.9784
gfx950,torch.bfloat16,128,128,64,8,2,32768,32,1024,1024,1024,True,False,True,True,True,True,True,64,107.0804
gfx950,torch.bfloat16,128,128,64,8,2,32768,16,2048,2048,2048,True,False,True,True,True,True,True,64,126.5479
gfx950,torch.bfloat16,128,128,64,8,2,32768,8,4096,4096,4096,True,False,True,True,True,True,True,32,199.1609
gfx950,torch.bfloat16,128,128,64,8,2,32768,4,8192,8192,8192,True,False,True,True,True,True,True,16,284.0971
gfx950,torch.bfloat16,128,128,64,32,16,5000,1,5000,0,0,True,False,True,True,True,True,True,16,129.7078
gfx950,torch.bfloat16,128,128,64,32,16,15000,3,5000,5000,5000,True,False,True,True,True,True,True,64,278.8136
gfx950,torch.bfloat16,128,128,64,32,16,10000,2,5000,0,5000,True,False,True,True,True,True,True,32,230.1211
