head_size,loop,causal,rm_pg,ds_wait,cold_cyc,warm_cyc,trip,scaled_cyc,VALU,VOPD,PK,SALU,TRANS,WMMA,DS,VMEM,TDM,Ctrl,stall_cyc,stall_pct,FU,WMMACoExec,WMMACoExec_VALU,WMMACoExec_TRANS,WMMACoExec_Other,MemFIFO,Wait,RegBank,VaSSRC,VaVdst,RAW,ISFetch,ISFetch_fetches,RegBankInWMMA,MSBExposed,MSBMasked,ISlot_used,ISlot_total,ISlot_wasted,LOLVALUxTRANS,FU_XDL,FU_VALU,FU_TRANS,speedup,wmma_eff_cyc,wmma_eff_total_cyc,wmma_eff_pct,vgpr_count,sgpr_count,vgpr_spill_count,sgpr_spill_count
64,1,0,0,none,1032,1036,32,33148,315,2,164,50,130,64,64,1,2,440,402,39,35,112,104,1,7,,119,12,,24,3,86,98,7,9,33,125,135,10,2,,6,29,1.0,512,1032,50,683,73,0,0
64,1,0,1,none,902,904,32,28926,313,2,164,42,130,64,64,,2,406,283,31,38,141,101,3,37,,,11,,,1,84,95,6,7,38,126,140,14,1,,6,32,1.0,512,902,57,683,71,0,0
64,1,1,0,none,1044,1045,32,33439,315,2,164,50,130,64,64,1,2,437,419,40,35,116,100,4,12,,123,13,3,26,4,83,98,6,14,31,119,131,12,2,,6,29,1.0,512,1044,49,686,107,0,50
64,1,1,1,none,909,905,32,28964,314,2,164,42,130,64,64,,2,413,292,32,39,143,102,3,38,,,10,3,,2,83,96,7,11,34,126,136,10,1,,7,32,1.0,512,909,56,694,107,0,50
64,3,0,0,none,1206,1204,32,38530,325,4,164,51,130,64,64,1,2,379,542,45,12,132,122,7,3,15,296,12,3,25,2,37,90,9,8,21,135,145,10,,7,4,1,1.0,512,1206,42,655,73,0,0
64,3,0,1,none,911,928,32,29679,316,3,164,43,130,64,64,,2,432,278,31,6,171,112,1,57,,,3,,19,17,53,93,15,9,25,136,143,7,,,5,1,0.98,512,911,56,668,72,0,0
64,3,1,0,none,1197,1194,32,38211,319,5,164,51,130,64,64,1,2,359,539,45,13,132,121,8,3,14,287,17,3,25,2,36,89,3,10,22,135,145,10,,7,5,1,1.0,512,1197,43,691,104,0,0
64,3,1,1,none,946,956,32,30582,314,2,164,45,130,64,64,,2,462,314,33,4,197,107,3,86,,,3,,19,17,63,95,11,11,33,132,139,7,,,3,1,0.99,512,946,54,691,104,0,0
128,1,0,0,none,1543,1546,32,49469,357,1,196,47,130,128,128,1,2,600,763,49,103,284,204,56,24,,240,2,,24,2,74,129,33,34,55,180,215,35,,89,3,11,1.0,1024,1543,66,976,81,0,0
128,1,0,1,none,1323,1323,32,42336,359,1,196,38,130,128,128,,2,595,547,41,99,309,214,56,39,,33,1,,,,82,128,19,23,61,170,211,41,,85,3,11,1.0,1024,1323,77,970,76,0,0
128,1,1,0,none,1543,1547,32,49500,357,1,196,47,130,128,128,1,2,616,761,49,104,277,204,55,18,,240,2,,24,2,84,129,17,28,61,180,218,38,,90,3,11,1.0,1024,1543,66,966,107,0,49
128,1,1,1,none,1331,1332,32,42623,359,1,196,38,130,128,128,,2,611,554,42,100,309,209,58,42,,33,2,,,,87,129,12,23,63,172,211,39,,85,4,11,1.0,1024,1331,77,974,107,0,47
128,3,0,0,none,1540,1537,32,49187,348,5,196,47,130,128,128,1,2,575,729,47,81,264,234,13,17,17,283,3,,26,5,23,122,14,27,58,220,257,37,,74,7,,1.0,1024,1540,66,816,78,0,0
128,3,0,1,none,1240,1253,32,40083,351,3,196,38,130,128,128,,2,668,454,37,104,259,207,16,35,,,,2,,3,68,128,22,18,90,195,222,27,,98,6,,0.99,1024,1240,83,853,78,0,0
128,3,1,0,none,1550,1551,32,49631,347,5,196,47,130,128,128,1,2,578,746,48,80,265,233,9,23,17,289,3,,26,5,25,122,18,36,58,213,248,35,,73,7,,1.0,1024,1550,66,917,98,0,0
128,3,1,1,none,1246,1241,32,39717,348,2,196,39,130,128,128,,2,655,464,37,104,260,205,14,40,,,3,1,,3,71,127,17,22,93,194,225,31,,98,6,,1.0,1024,1246,82,917,98,0,0
