dtype,hdim_q,hdim_v,mask,mode,bf16_cvt,ts_qo,ts_kv,knl_name,co_name
bf16,128,128,0,0,0,256,32,fmha_fwd_hd128_bf16_rtne,fwd_hd128_bf16_rtne.co
bf16,128,128,0,0,1,256,32,fmha_fwd_hd128_bf16_rtna,fwd_hd128_bf16_rtna.co
bf16,128,128,0,0,2,256,32,fmha_fwd_hd128_bf16_rtz,fwd_hd128_bf16_rtz.co
bf16,128,128,2,0,0,256,32,fmha_fwd_hd128_bf16_causal_rtne,fwd_hd128_bf16_causal_rtne.co
bf16,128,128,2,0,1,256,32,fmha_fwd_hd128_bf16_causal_rtna,fwd_hd128_bf16_causal_rtna.co
bf16,128,128,2,0,2,256,32,fmha_fwd_hd128_bf16_causal_rtz,fwd_hd128_bf16_causal_rtz.co
bf16,128,128,0,1,0,256,32,fmha_fwd_hd128_bf16_rtne_group,fwd_hd128_bf16_rtne_group.co
bf16,128,128,0,1,1,256,32,fmha_fwd_hd128_bf16_rtna_group,fwd_hd128_bf16_rtna_group.co
bf16,128,128,0,1,2,256,32,fmha_fwd_hd128_bf16_rtz_group,fwd_hd128_bf16_rtz_group.co
bf16,128,128,2,1,0,256,32,fmha_fwd_hd128_bf16_causal_rtne_group,fwd_hd128_bf16_causal_rtne_group.co
bf16,128,128,2,1,1,256,32,fmha_fwd_hd128_bf16_causal_rtna_group,fwd_hd128_bf16_causal_rtna_group.co
bf16,128,128,2,1,2,256,32,fmha_fwd_hd128_bf16_causal_rtz_group,fwd_hd128_bf16_causal_rtz_group.co
bf16,192,128,0,0,0,128,32,fmha_fwd_hd192x128_bf16_rtne,fwd_hd192x128_bf16_rtne.co
bf16,192,128,0,0,1,128,32,fmha_fwd_hd192x128_bf16_rtna,fwd_hd192x128_bf16_rtna.co
bf16,192,128,0,0,2,128,32,fmha_fwd_hd192x128_bf16_rtz,fwd_hd192x128_bf16_rtz.co
bf16,192,128,2,0,0,128,32,fmha_fwd_hd192x128_bf16_causal_rtne,fwd_hd192x128_bf16_causal_rtne.co
bf16,192,128,2,0,1,128,32,fmha_fwd_hd192x128_bf16_causal_rtna,fwd_hd192x128_bf16_causal_rtna.co
bf16,192,128,2,0,2,128,32,fmha_fwd_hd192x128_bf16_causal_rtz,fwd_hd192x128_bf16_causal_rtz.co
bf16,192,128,0,1,0,128,32,fmha_fwd_hd192x128_bf16_rtne_group,fwd_hd192x128_bf16_rtne_group.co
bf16,192,128,0,1,1,128,32,fmha_fwd_hd192x128_bf16_rtna_group,fwd_hd192x128_bf16_rtna_group.co
bf16,192,128,0,1,2,128,32,fmha_fwd_hd192x128_bf16_rtz_group,fwd_hd192x128_bf16_rtz_group.co
bf16,192,128,2,1,0,128,32,fmha_fwd_hd192x128_bf16_causal_rtne_group,fwd_hd192x128_bf16_causal_rtne_group.co
bf16,192,128,2,1,1,128,32,fmha_fwd_hd192x128_bf16_causal_rtna_group,fwd_hd192x128_bf16_causal_rtna_group.co
bf16,192,128,2,1,2,128,32,fmha_fwd_hd192x128_bf16_causal_rtz_group,fwd_hd192x128_bf16_causal_rtz_group.co
