tile_m,tile_n,knl_name,co_name,tg,pf,coexec
32,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_3tg_pf2E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_3tg_pf2.co,3,2,0
48,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf2E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf2.co,2,2,0
64,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf2E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf2.co,2,2,0
80,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf2E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf2.co,1,2,0
32,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_2tg_pf3E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_2tg_pf3.co,2,3,0
48,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf3E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf3.co,2,3,0
64,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf3E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf3.co,2,3,0
80,128,_ZN5aiter60fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf3E,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf3.co,1,3,0
32,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_3tg_pf2_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_3tg_pf2_coexec.co,3,2,1
48,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf2_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf2_coexec.co,2,2,1
64,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf2_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf2_coexec.co,2,2,1
80,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf2_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf2_coexec.co,1,2,1
32,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_2tg_pf3_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_32x128_2tg_pf3_coexec.co,2,3,1
48,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf3_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_48x128_2tg_pf3_coexec.co,2,3,1
64,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf3_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_64x128_2tg_pf3_coexec.co,2,3,1
80,128,_ZN5aiter67fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf3_coexecE,fmoe_stage1_bf16_pertokenLqqUint4_g1u1_multix_80x128_1tg_pf3_coexec.co,1,3,1
