hsakmtmodel.executor.0.jitcu.num_instr_analyzed,hsakmtmodel.executor.0.jitcu.num_instr_executed,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_flat,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_global_scratch_load,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_global_scratch_store,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_lds,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_salu,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_smem,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_tex,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_valu,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_valu_xdlmacc,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_waves,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_waves_created,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_waves_finished,hsakmtmodel.jitcu.num_instr_analyzed,hsakmtmodel.jitcu.num_instr_executed,hsakmtmodel.jitcu.sq_perf_sel_insts_flat,hsakmtmodel.jitcu.sq_perf_sel_insts_global_scratch_load,hsakmtmodel.jitcu.sq_perf_sel_insts_global_scratch_store,hsakmtmodel.jitcu.sq_perf_sel_insts_lds,hsakmtmodel.jitcu.sq_perf_sel_insts_salu,hsakmtmodel.jitcu.sq_perf_sel_insts_smem,hsakmtmodel.jitcu.sq_perf_sel_insts_tex,hsakmtmodel.jitcu.sq_perf_sel_insts_valu,hsakmtmodel.jitcu.sq_perf_sel_insts_valu_xdlmacc,hsakmtmodel.jitcu.sq_perf_sel_insts_waves,hsakmtmodel.jitcu.sq_perf_sel_insts_waves_created,hsakmtmodel.jitcu.sq_perf_sel_insts_waves_finished,
14940,14940,0,0,0,530,1289,1536,530,9256,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15104,15104,0,0,0,512,1536,1536,512,9216,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
985176,950360,0,0,3000,0,163840,14336,3000,541048,0,4096,2048,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1635696,1572208,0,0,13704,0,198656,14336,13704,946632,0,6144,2048,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1572688,1510304,0,0,9136,0,198656,14336,9136,905520,0,6144,2048,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
560,560,0,12,12,0,235,0,24,97,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
560,560,0,12,12,0,235,0,24,97,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
560,560,0,12,12,0,235,0,24,97,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
560,560,0,12,12,0,235,0,24,97,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47154,47154,0,0,0,6806,2123,1536,6806,24946,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
880,864,0,0,16,0,360,8,16,168,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16864,16864,0,0,0,832,1696,1536,832,10016,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141696,139776,0,64,0,13056,8016,144,1104,76528,12800,416,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15456,15456,0,0,0,576,1568,1536,576,9376,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
