causal,batch,h,n_ctx_q,n_ctx,d,total_programs,init_dtype,BLOCK_M,BLOCK_N,waves_per_eu,num_warps,Triton(ms)
False,2,64,16,"[65536, 65536]",128,912,torch.float16,16,128,2,4,1.450198
False,1,64,16,[131072],128,912,torch.float16,16,128,2,4,1.374706
False,1,64,16,[262144],64,912,torch.float16,16,64,2,4,1.253027
False,1,64,16,[524288],64,912,torch.float16,16,64,2,4,2.520287
False,2,96,16,"[32768, 32768]",128,912,torch.float16,16,128,2,4,1.083600
False,1,96,16,[65536],128,912,torch.float16,16,128,2,4,1.036692
False,1,96,16,[131072],128,912,torch.float16,16,128,2,4,2.079438
False,1,96,16,[262144],64,912,torch.float16,16,64,2,4,1.828143
False,1,96,16,[524288],16,912,torch.float16,16,256,1,4,3.118376
False,1,96,16,[1048576],16,912,torch.float16,16,256,1,4,6.605555
False,1,128,16,[32768],128,912,torch.float16,16,128,2,4,0.685970
False,1,128,16,[65536],128,912,torch.float16,16,128,2,4,1.421092
False,1,128,16,[131072],128,912,torch.float16,16,128,2,4,2.720225
False,1,128,16,[262144],64,912,torch.float16,16,64,2,4,2.598786
False,1,128,16,[524288],16,912,torch.float16,16,256,1,4,5.040453
False,3,64,16,"[4096, 32768, 65536]",128,912,torch.float16,16,128,2,4,0.962362
False,8,64,16,"[1024, 1024, 2048, 2048, 4096, 4096, 32768, 65536]",128,912,torch.float16,16,128,2,4,1.196978
True,1,64,8192,[8192],128,304,torch.float16,128,64,2,4,4.100984
True,2,64,2048,"[2048, 2048]",128,304,torch.float16,128,64,2,4,0.603100
