[aiter] import [module_aiter_enum] under /workspace/aiter/aiter/jit/module_aiter_enum.so
[aiter] INFO: import [module_aiter_enum] under /workspace/aiter/aiter/jit/module_aiter_enum.so
bench_mhc_full_lite_zero_iter:
          M    n        C  time(ms)  throughput(TFLOPS)  bandwidth(GB/s)  arithmetic_intensity(FLOP/byte)
0    1024.0  4.0    128.0  0.062385            0.572800        18.118151                        32.271524
1    2048.0  4.0    128.0  0.062820            1.128511        34.598902                        32.758886
2    4096.0  4.0    128.0  0.064536            2.279766        69.829592                        33.008129
3    8192.0  4.0    128.0  0.064834            4.455100       135.345582                        33.134178
4   16384.0  4.0    128.0  0.062060            9.124436       280.768884                        33.197565
5    1024.0  4.0    512.0  0.064408            2.230670        68.497480                        32.789164
6    2048.0  4.0    512.0  0.063201            4.543823       135.342443                        33.291216
7    4096.0  4.0    512.0  0.063702            8.985197       269.687120                        33.548051
8    8192.0  4.0    512.0  0.063784           18.431571       547.565849                        33.677961
9   16384.0  4.0    512.0  0.061178           37.372328      1123.738554                        33.743294
10   1024.0  4.0   4096.0  0.140567            8.457398       264.204374                        32.946902
11   2048.0  4.0   4096.0  0.151488           15.550786       476.018281                        33.453473
12   4096.0  4.0   4096.0  0.173467           26.317375       780.760485                        33.712646
13   8192.0  4.0   4096.0  0.197254           46.280506      1367.547973                        33.843744
14  16384.0  4.0   4096.0  0.231165           79.165070      2327.037359                        33.909676
15   1024.0  4.0  32768.0  1.037991            8.791824       266.582904                        32.966844
16   2048.0  4.0  32768.0  1.043090           17.491634       522.393246                        33.473988
17   4096.0  4.0  32768.0  1.058874           34.532044      1022.215474                        33.733457
18   8192.0  4.0  32768.0  1.187204           61.566290      1817.085258                        33.864705
19  16384.0  4.0  32768.0  1.672524           87.084159      2567.002938                        33.930713
