Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,GRBM_GUI_ACTIVE,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit,SQ_WAVES,SQ_INSTS_VMEM_RD,SQ_ACTIVE_INST_VALU
15184,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15225,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.5612140629,0.0044083673,7589261,0.0000000000,21129263.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15591,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15632,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.5211072796,0.0015561216,8173365,0.0000000000,21128314.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15593,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15634,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.5595198576,0.0029750602,7612241,0.0000000000,21130235.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15595,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15637,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.5698623979,0.0016398328,7474085,0.0000000000,21128991.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15597,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15639,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.5597658320,0.0029771895,7608896,0.0000000000,21129756.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15599,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15641,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.5800155817,0.0024286757,7343251,0.0000000000,21130156.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15601,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15643,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.6302896562,0.0023866901,6757528,0.0000000000,21131905.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15603,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15645,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.6639013463,0.0020229608,6415411,0.0000000000,21131033.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15605,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15647,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.6644521382,0.0040132023,6410093,0.0000000000,21129637.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15607,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15649,24819,24819,65536,256,163840,0,256,0,112,64,0x0,0x7fd23a665280,1024.0000000000,8.8414634146,0.6877476700,0.0047367224,6192969,0.0000000000,21129717.0000000000,4096.0000000000,0.0000000000,1024,0,209920
