Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,GRBM_GUI_ACTIVE,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit,SQ_WAVES,SQ_INSTS_VMEM_RD,SQ_ACTIVE_INST_VALU
15184,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15225,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3904138732,0.0117860411,5565376,0.0000000000,10589238.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15591,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15632,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3754414824,0.0113794036,5787320,0.0000000000,10587980.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15593,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15634,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3880175301,0.0116082253,5599747,0.0000000000,10590318.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15595,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15637,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3910071944,0.0150920760,5556931,0.0000000000,10589099.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15597,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15639,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3871373750,0.0116153017,5612478,0.0000000000,10589030.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15599,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15641,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3932651888,0.0143002747,5525025,0.0000000000,10588617.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15601,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15643,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3900755502,0.0155301791,5570203,0.0000000000,10591153.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15603,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15645,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3903618285,0.0114335745,5566118,0.0000000000,10589431.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15605,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15647,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3418508119,0.0102157587,6355989,0.0000000000,10588584.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15607,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15649,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3843467158,0.0135265615,5653229,0.0000000000,10589604.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15609,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15651,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3887365169,0.0138554923,5589390,0.0000000000,10591647.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15611,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15653,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3923143368,0.0115652427,5538416,0.0000000000,10591840.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15613,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15655,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3887284493,0.0113890879,5589506,0.0000000000,10591772.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15615,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15657,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3890106636,0.0155896095,5585451,0.0000000000,10591826.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15617,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15659,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3910496285,0.0121865556,5556328,0.0000000000,10591807.0000000000,4096.0000000000,0.0000000000,1024,0,313344
