Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,GRBM_GUI_ACTIVE,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit,SQ_WAVES,SQ_INSTS_VMEM_RD,SQ_ACTIVE_INST_VALU
15184,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15225,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5604947282,0.0016540003,7599001,0.0000000000,21129157.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15591,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15632,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5189291822,0.0014997403,8207671,0.0000000000,21128242.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15593,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15634,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5586130574,0.0046703282,7624598,0.0000000000,21130270.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15595,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15637,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5688119267,0.0026630506,7487888,0.0000000000,21128945.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15597,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15639,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5642399175,0.0030009855,7548562,0.0000000000,21129772.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15599,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15641,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5674014341,0.0027917464,7506502,0.0000000000,21130051.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15601,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15643,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.6205699592,0.0024149951,6863368,0.0000000000,21130449.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15603,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15645,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.6352660035,0.0018177837,6704593,0.0000000000,21131395.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15605,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15647,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.6361403344,0.0039136140,6695378,0.0000000000,21129712.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15607,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15649,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.6838600393,0.0028464398,6228175,0.0000000000,21129605.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15609,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15651,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.7124099703,0.0020578674,5978580,0.0000000000,21131899.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15611,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15653,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.6698899774,0.0023454485,6358059,0.0000000000,21132550.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15613,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15655,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.7179488563,0.0034566207,5932456,0.0000000000,21132499.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15615,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15657,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.7342886165,0.0035789286,5800444,0.0000000000,21132471.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15617,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15659,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.6387338577,0.0018464525,6668192,0.0000000000,21132561.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15619,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15661,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5674337876,0.0042898591,7506074,0.0000000000,21132523.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15621,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15664,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5712705324,0.0038821167,7455662,0.0000000000,21132602.0000000000,4096.0000000000,0.0000000000,1024,0,209920
15623,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,15666,9617,9617,65536,256,163840,0,256,0,112,64,0x0,0x7fed8caf8d40,1024.0000000000,8.8414634146,0.5898478641,0.0017752424,7220845,0.0000000000,21132475.0000000000,4096.0000000000,0.0000000000,1024,0,209920
