Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,GRBM_GUI_ACTIVE,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit,SQ_WAVES,SQ_INSTS_VMEM_RD,SQ_ACTIVE_INST_VALU
111,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,116,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.1046291074,0.0351442742,342161,0.0000000000,44583.0000000000,993.9375000000,0.0000000000,1024,0,2492
1613,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1619,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0999037241,0.0646810336,358345,0.0000000000,39085.0000000000,993.9375000000,0.0000000000,1024,0,2492
1615,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1621,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0900507786,0.0477873634,359797,0.0000000000,44583.0000000000,993.9375000000,0.0000000000,1024,0,2492
1617,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1624,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0943985782,0.0612486585,379243,0.0000000000,44623.0000000000,993.9375000000,0.0000000000,1024,0,2492
1619,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1626,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0940558292,0.0593103448,380625,0.0000000000,44591.0000000000,993.9375000000,0.0000000000,1024,0,2492
1621,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1628,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0946091295,0.0615586986,378399,0.0000000000,44617.0000000000,993.9375000000,0.0000000000,1024,0,2492
1623,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1630,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0851329940,0.0453090144,380581,0.0000000000,44617.0000000000,993.9375000000,0.0000000000,1024,0,2492
1625,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1632,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0941758300,0.0603807150,380140,0.0000000000,44617.0000000000,993.9375000000,0.0000000000,1024,0,2492
1627,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1634,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0934513570,0.0589210153,383087,0.0000000000,44615.0000000000,993.9375000000,0.0000000000,1024,0,2492
1629,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1636,5382,5382,65536,256,163840,0,256,0,112,64,0x0,0x7f0056228d80,1024.0000000000,4.5746388443,0.0959613153,0.0607297081,373067,0.0000000000,44615.0000000000,993.9375000000,0.0000000000,1024,0,2492
