idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,trace_count,ck_ua_ms,ck_pagedkv_ms,ck_splitkv_ms,triton_2d_ms,triton_3d_ms,best
0,decode,1024,1024,1,1,64,8,64,32,"127,0",18,0.02893204800784588,0.07246625609695911,0.3245063591748476,0.048532336950302124,0.17744405195116997,ck_ua
1,decode,1024,1024,1,1,64,8,64,32,"-1,-1",18,0.027972133830189705,0.06978670135140419,0.3112361766397953,0.04536551423370838,0.1765897497534752,ck_ua
4,decode,80,80,1,131072,64,8,64,32,"127,0",2,6.317627942189574,0.03853612579405308,0.0590828713029623,0.01749461516737938,5.748236458748579,t_2d
5,decode,72,72,1,131072,64,8,64,32,"127,0",2,5.348673323169351,0.03523910418152809,0.0541098415851593,0.015911180526018143,4.939186200499535,t_2d
6,decode,64,64,1,131072,64,8,64,32,"127,0",2,5.903373518958688,0.03247186541557312,0.049054622650146484,0.01735691912472248,4.688431043177843,t_2d
7,decode,56,56,1,131072,64,8,64,32,"127,0",2,4.99986601062119,0.02947184257209301,0.0447987113147974,0.017753522843122482,3.9169650059193373,t_2d
8,decode,48,48,1,131072,64,8,64,32,"127,0",2,5.775491381064057,0.026334542781114578,0.04026121459901333,0.016724923625588417,3.741726838052273,t_2d
9,decode,40,40,1,131072,64,8,64,32,"127,0",2,5.00513156875968,0.023525767028331757,0.03640791401267052,0.01788823865354061,2.9125329572707415,t_2d
10,decode,32,32,1,131072,64,8,64,32,"127,0",2,5.446654045954347,0.021424097940325737,0.032464973628520966,0.016731955111026764,2.650573756545782,t_2d
11,decode,24,24,1,131072,64,8,64,32,"127,0",2,4.472223529592156,0.019672466441988945,0.028763245791196823,0.019421055912971497,1.8906667828559875,t_2d
12,decode,16,16,1,131072,64,8,64,32,"127,0",2,5.3606330417096615,0.019791070371866226,0.023935968056321144,0.018663890659809113,1.5370251145213842,t_2d
13,decode,8,8,1,131072,64,8,64,32,"127,0",2,5.127449193969369,0.017946306616067886,0.020117592066526413,0.019390461966395378,0.7375278975814581,ck_pk
14,decode,4,4,1,131072,64,8,64,32,"127,0",2,5.033986922353506,0.017387932166457176,0.01876354217529297,0.016460567712783813,0.3603814635425806,t_2d
15,decode,2,2,1,131072,64,8,64,32,"127,0",2,4.740801313892007,0.01862882636487484,0.019522197544574738,0.018789619207382202,0.18612220883369446,ck_pk
16,decode,1,1,1,131072,64,8,64,32,"127,0",2,3.9694824256002903,0.017256801947951317,0.018231244757771492,0.01817764714360237,0.06601149216294289,ck_pk
17,decode,1008,1008,1,1,64,8,64,32,"127,0",1,0.02764700911939144,0.06917174905538559,0.3123063128441572,0.04605208523571491,0.1724964939057827,ck_ua
18,decode,1008,1008,1,1,64,8,64,32,"-1,-1",1,0.02707419916987419,0.06888434290885925,0.3082551062107086,0.04432494752109051,0.1728360541164875,ck_ua
21,decode,992,992,1,1,64,8,64,32,"127,0",1,0.027805287390947342,0.0674121081829071,0.3004943020641804,0.04542968235909939,0.1692670863121748,ck_ua
22,decode,992,992,1,1,64,8,64,32,"-1,-1",1,0.027064699679613113,0.06766947917640209,0.30731670558452606,0.043871765956282616,0.17054607160389423,ck_ua
25,decode,976,976,1,1,64,8,64,32,"127,0",1,0.027183350175619125,0.06758482195436954,0.30231261625885963,0.04497747868299484,0.166568486019969,ck_ua
26,decode,976,976,1,1,64,8,64,32,"-1,-1",1,0.026867911219596863,0.06652176380157471,0.30311630107462406,0.04262486472725868,0.16653845086693764,ck_ua
29,decode,960,960,1,1,64,8,64,32,"127,0",1,0.02651633694767952,0.0656674150377512,0.29587880708277225,0.04379665479063988,0.16392595134675503,ck_ua
30,decode,960,960,1,1,64,8,64,32,"-1,-1",1,0.026090210303664207,0.06467695347964764,0.2913157921284437,0.04209205508232117,0.16410676762461662,ck_ua
33,decode,944,944,1,1,64,8,64,32,"127,0",1,0.026142271235585213,0.06520627066493034,0.2928587142378092,0.04304354079067707,0.16131899319589138,ck_ua
34,decode,944,944,1,1,64,8,64,32,"-1,-1",1,0.025930441915988922,0.06471052765846252,0.2895411569625139,0.04160432144999504,0.16106413677334785,ck_ua
37,decode,928,928,1,1,64,8,64,32,"127,0",1,0.02644425258040428,0.06447713822126389,0.29165884479880333,0.04269196651875973,0.15877760015428066,ck_ua
38,decode,928,928,1,1,64,8,64,32,"-1,-1",1,0.025634001940488815,0.06329985335469246,0.2853627782315016,0.04094885662198067,0.15901699662208557,ck_ua
41,decode,912,912,1,1,64,8,64,32,"127,0",1,0.02521784044802189,0.06225169636309147,0.280423229560256,0.041695451363921165,0.15528635121881962,ck_ua
42,decode,912,912,1,1,64,8,64,32,"-1,-1",1,0.025446759536862373,0.06270045414566994,0.2836712170392275,0.04035942256450653,0.15558023005723953,ck_ua
45,decode,896,896,1,1,64,8,64,32,"127,0",1,0.025345105677843094,0.06163925863802433,0.27752891182899475,0.04126532003283501,0.15319311060011387,ck_ua
46,decode,896,896,1,1,64,8,64,32,"-1,-1",1,0.02525397576391697,0.06138486787676811,0.2761772833764553,0.0394861213862896,0.1526122447103262,ck_ua
49,decode,880,880,1,1,64,8,64,32,"127,0",1,0.025096675381064415,0.060022855177521706,0.26975255459547043,0.040712952613830566,0.15008137561380863,ck_ua
50,decode,880,880,1,1,64,8,64,32,"-1,-1",1,0.02493448555469513,0.06020613946020603,0.2670534420758486,0.03905538469552994,0.1508029643446207,ck_ua
53,decode,864,864,1,1,64,8,64,32,"127,0",1,0.02508317120373249,0.061187660321593285,0.272152666002512,0.040110060945153236,0.14849849976599216,ck_ua
54,decode,864,864,1,1,64,8,64,32,"-1,-1",1,0.02485085278749466,0.05927924066781998,0.2659352496266365,0.03833337686955929,0.14813393354415894,ck_ua
57,decode,848,848,1,1,64,8,64,32,"127,0",1,0.025423197075724602,0.06039491854608059,0.2650763839483261,0.04035141319036484,0.14506732113659382,ck_ua
58,decode,848,848,1,1,64,8,64,32,"-1,-1",1,0.024729641154408455,0.05826018750667572,0.25969166308641434,0.03788112662732601,0.1452330034226179,ck_ua
61,decode,832,832,1,1,64,8,64,32,"127,0",1,0.024508824571967125,0.05736527964472771,0.25701713748276234,0.0386964064091444,0.1424272544682026,ck_ua
62,decode,832,832,1,1,64,8,64,32,"-1,-1",1,0.024481257423758507,0.05728169344365597,0.2575624268501997,0.036993809044361115,0.14252141118049622,ck_ua
65,decode,816,816,1,1,64,8,64,32,"127,0",1,0.0247045885771513,0.05773184821009636,0.3220881335437298,0.03842245787382126,0.140336062759161,ck_ua
66,decode,816,816,1,1,64,8,64,32,"-1,-1",1,0.024254899471998215,0.056557031348347664,0.25531803257763386,0.03672637976706028,0.14008316211402416,ck_ua
69,decode,800,800,1,1,64,8,64,32,"127,0",1,0.024998513981699944,0.05534118972718716,0.24801194667816162,0.037533557042479515,0.13762791641056538,ck_ua
70,decode,800,800,1,1,64,8,64,32,"-1,-1",1,0.024519814178347588,0.05585351027548313,0.2483534161001444,0.036214105784893036,0.1375498715788126,ck_ua
73,decode,784,784,1,1,64,8,64,32,"127,0",1,0.02361689694225788,0.053851911798119545,0.2418785821646452,0.037029385566711426,0.13509211130440235,ck_ua
74,decode,784,784,1,1,64,8,64,32,"-1,-1",1,0.024810759350657463,0.054395291954278946,0.24488563649356365,0.035419873893260956,0.13535101898014545,ck_ua
77,decode,768,768,1,1,64,8,64,32,"127,0",1,0.02362048253417015,0.05406178534030914,0.2390087116509676,0.03630924038589001,0.13311561197042465,ck_ua
78,decode,768,768,1,1,64,8,64,32,"-1,-1",1,0.02340511418879032,0.053490884602069855,0.24096621200442314,0.034844549372792244,0.133064528927207,ck_ua
81,decode,752,752,1,1,64,8,64,32,"127,0",1,0.022610416635870934,0.052034156396985054,0.23540426045656204,0.03545493818819523,0.12924219481647015,ck_ua
82,decode,752,752,1,1,64,8,64,32,"-1,-1",1,0.02223532646894455,0.052222469821572304,0.23311777040362358,0.03437930718064308,0.12990422546863556,ck_ua
85,decode,736,736,1,1,64,8,64,32,"127,0",1,0.022351974621415138,0.051783304661512375,0.23333104327321053,0.03510843962430954,0.12722210958600044,ck_ua
86,decode,736,736,1,1,64,8,64,32,"-1,-1",1,0.022603385150432587,0.05112430080771446,0.22763148881495,0.03350251354277134,0.12652305886149406,ck_ua
89,decode,720,720,1,1,64,8,64,32,"127,0",1,0.022228341549634933,0.05089296028017998,0.22992240265011787,0.03448193892836571,0.12448900379240513,ck_ua
90,decode,720,720,1,1,64,8,64,32,"-1,-1",1,0.021884776651859283,0.05088695324957371,0.22563538514077663,0.033267680555582047,0.12416890822350979,ck_ua
93,decode,704,704,1,1,64,8,64,32,"127,0",1,0.021828198805451393,0.04907012917101383,0.21977643482387066,0.03372137434780598,0.12136716395616531,ck_ua
94,decode,704,704,1,1,64,8,64,32,"-1,-1",1,0.02147364430129528,0.04929853603243828,0.21803132258355618,0.03235018812119961,0.1210587564855814,ck_ua
97,decode,688,688,1,1,64,8,64,32,"127,0",1,0.02183574251830578,0.048511847853660583,0.2165460493415594,0.033109402284026146,0.11889697052538395,ck_ua
98,decode,688,688,1,1,64,8,64,32,"-1,-1",1,0.021553272381424904,0.04874514415860176,0.21667024120688438,0.031754374504089355,0.11839112266898155,ck_ua
101,decode,672,672,1,1,64,8,64,32,"127,0",1,0.021609896793961525,0.0479184091091156,0.2143982332199812,0.032523972913622856,0.11680526658892632,ck_ua
102,decode,672,672,1,1,64,8,64,32,"-1,-1",1,0.02140258438885212,0.047370605170726776,0.21096402779221535,0.031216535717248917,0.11614272370934486,ck_ua
105,decode,656,656,1,1,64,8,64,32,"127,0",1,0.02156076952815056,0.04665246233344078,0.2087200991809368,0.03177933394908905,0.11301902122795582,ck_ua
106,decode,656,656,1,1,64,8,64,32,"-1,-1",1,0.02116672694683075,0.0463931355625391,0.20702113397419453,0.03086295910179615,0.11317976750433445,ck_ua
109,decode,640,640,1,1,64,8,64,32,"127,0",1,0.021144235506653786,0.045794714242219925,0.20332946442067623,0.031231530010700226,0.11123176664113998,ck_ua
110,decode,640,640,1,1,64,8,64,32,"-1,-1",1,0.021075550466775894,0.04557832144200802,0.20129983313381672,0.02995911054313183,0.11101895943284035,ck_ua
113,decode,624,624,1,1,64,8,64,32,"127,0",1,0.022093579173088074,0.045371055603027344,0.20453124307096004,0.030476367101073265,0.10821819305419922,ck_ua
114,decode,624,624,1,1,64,8,64,32,"-1,-1",1,0.02063787542283535,0.044907862320542336,0.1972637139260769,0.02929256297647953,0.10768384672701359,ck_ua
117,decode,608,608,1,1,64,8,64,32,"127,0",1,0.02094837836921215,0.04369951784610748,0.1930813305079937,0.03007175400853157,0.10577943176031113,ck_ua
118,decode,608,608,1,1,64,8,64,32,"-1,-1",1,0.020644906908273697,0.04345267079770565,0.19146790727972984,0.02889852039515972,0.10517104528844357,ck_ua
121,decode,592,592,1,1,64,8,64,32,"127,0",1,0.020926306024193764,0.04243701696395874,0.18621133640408516,0.02951039932668209,0.10290411300957203,ck_ua
122,decode,592,592,1,1,64,8,64,32,"-1,-1",1,0.020213285461068153,0.04262840375304222,0.18666456453502178,0.02811872400343418,0.10239630937576294,ck_ua
125,decode,576,576,1,1,64,8,64,32,"127,0",1,0.02018772065639496,0.042686471715569496,0.18718233332037926,0.028840918093919754,0.10049045085906982,ck_ua
126,decode,576,576,1,1,64,8,64,32,"-1,-1",1,0.01962338574230671,0.04201596602797508,0.183364050462842,0.027497857809066772,0.09994157589972019,ck_ua
129,decode,560,560,1,1,64,8,64,32,"127,0",1,0.020564300939440727,0.04130033776164055,0.18153274431824684,0.02810480073094368,0.0978909432888031,ck_ua
130,decode,560,560,1,1,64,8,64,32,"-1,-1",1,0.01990683376789093,0.0411150511354208,0.1809634268283844,0.02712830901145935,0.09788544848561287,ck_ua
133,decode,544,544,1,1,64,8,64,32,"127,0",1,0.020578783005475998,0.04038591869175434,0.17812056466937065,0.027268007397651672,0.09566410444676876,ck_ua
134,decode,544,544,1,1,64,8,64,32,"-1,-1",1,0.019463105127215385,0.04025725647807121,0.17490815371274948,0.026378175243735313,0.09538168087601662,ck_ua
137,decode,528,528,1,1,64,8,64,32,"127,0",1,0.020546233281493187,0.03980803303420544,0.17395168542861938,0.02672518603503704,0.09302161633968353,ck_ua
138,decode,528,528,1,1,64,8,64,32,"-1,-1",1,0.019254814833402634,0.03945855423808098,0.16887150704860687,0.02591041848063469,0.09287786670029163,ck_ua
141,decode,512,512,1,1,64,8,64,32,"127,0",1,0.01858077012002468,0.037787482142448425,0.16294997185468674,0.025911955162882805,0.08948664180934429,ck_ua
142,decode,512,512,1,1,64,8,64,32,"-1,-1",1,0.018546171486377716,0.03903689794242382,0.1656035427004099,0.025084149092435837,0.089992955327034,ck_ua
145,decode,496,496,1,1,64,8,64,32,"127,0",1,0.01782267354428768,0.036990316584706306,0.15822132118046284,0.025365594774484634,0.08565932512283325,ck_ua
146,decode,496,496,1,1,64,8,64,32,"-1,-1",1,0.017590727657079697,0.03769733011722565,0.1612984575331211,0.024401163682341576,0.08630133233964443,ck_ua
147,decode,496,496,1,131072,64,8,64,32,"127,0",1,,,,0.04327590577304363,,t_2d
149,decode,480,480,1,1,64,8,64,32,"127,0",1,0.017821602523326874,0.03655613400042057,0.15802402049303055,0.02493942156434059,0.08420916274189949,ck_ua
150,decode,480,480,1,1,64,8,64,32,"-1,-1",1,0.017126556485891342,0.036083394661545753,0.15385113656520844,0.023804232478141785,0.08399426005780697,ck_ua
151,decode,480,480,1,131072,64,8,64,32,"127,0",1,,,,0.04170294851064682,,t_2d
153,decode,464,464,1,1,64,8,64,32,"127,0",1,0.01779310405254364,0.035751378163695335,0.15358072705566883,0.024494808167219162,0.0808080192655325,ck_ua
154,decode,464,464,1,1,64,8,64,32,"-1,-1",1,0.017272308468818665,0.03526662476360798,0.14993264339864254,0.02293339930474758,0.08057910017669201,ck_ua
155,decode,464,464,1,131072,64,8,64,32,"127,0",1,,,,0.042176200076937675,,t_2d
157,decode,448,448,1,1,64,8,64,32,"127,0",1,0.017919298261404037,0.03505134955048561,0.14897119253873825,0.024373596534132957,0.07939930073916912,ck_ua
