idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,ck_allowed_backend,eager_triton_only_ms,eager_ck_allowed_ms,eager_speedup_ck,graph_triton_only_ms,graph_ck_allowed_ms,graph_speedup_ck
873,prefill,219,8192,4648,10320,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7894139755517244,4.830570658668876,13.597788382321596,ck_ua,triton_2d,3.4075630083680153,3.4155758004635572,0.9976540435453213,3.4278823249042034,3.4269045386463404,1.0002853263774454
851,prefill,210,8192,5558,10309,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.5692457798868418,4.6820140443742275,13.891025027260184,ck_ua,triton_2d,3.3308198023587465,3.3373220916837454,0.9980516446580923,3.3313991874456406,3.3331390284001827,0.9994780172864924
885,prefill,224,8192,6810,10326,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9021520633250475,4.916940629482269,13.963715359568596,ck_ua,triton_2d,3.4785337187349796,3.486778875812888,0.9976353082969776,3.4850937128067017,3.4960756078362465,0.9968587936127784
37,decode,928,928,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02644425258040428,0.04269196651875973,0.15877760015428066,ck_ua,triton_2d,0.03817250020802021,0.03756486810743809,1.0161755419676772,0.04203758202493191,0.04162364639341831,1.0099447229490939
835,prefill,204,8192,6325,10301,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4073187727481127,4.475714499130845,13.580578099936247,ck_ua,triton_2d,3.4500417672097683,3.203721670433879,1.0768856105850575,3.2112115621566772,3.298757905140519,0.9734608160097421
839,prefill,205,8192,7643,10303,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.426251070573926,4.475957341492176,13.523372961208224,ck_ua,triton_2d,3.368907878175378,3.257113629952073,1.034323103497298,3.213959150016308,3.2139619532972574,0.9999991277802941
21,decode,992,992,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.027805287390947342,0.04542968235909939,0.1692670863121748,ck_ua,triton_2d,0.039592161774635315,0.039275381714105606,1.0080656137943005,0.04427889361977577,0.04408510401844978,1.004395806829556
1483,prefill,209,8192,5713,10350,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.543112775310874,4.688849672675133,13.905415590852499,ck_ua,triton_2d,3.3415336161851883,3.3337106090039015,1.002346636555722,3.3459667582064867,3.34467438980937,1.000386395877893
1851,prefill,251,8192,5358,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5099477972835302,5.180470691993833,15.223871124908328,ck_ua,triton_2d,3.6322596948593855,3.636413412168622,0.9988577433755643,3.6432604398578405,3.6359630338847637,1.0020070077459726
74,decode,784,784,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.024810759350657463,0.035419873893260956,0.13535101898014545,ck_ua,triton_2d,0.030848365277051926,0.031666699796915054,0.9741578843039763,0.03472634591162205,0.03463822416961193,1.0025440606186569
949,prefill,249,8192,5785,10358,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.417647210881114,5.226964736357331,14.37647040002048,ck_ua,triton_2d,3.686034632846713,3.686587084084749,0.9998501456155963,3.691533003002405,3.6843327432870865,1.001954291378388
2101,prefill,250,8192,6316,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.634698176756501,5.327352974563837,15.2432466391474,ck_ua,triton_2d,3.7686572782695293,3.7706933822482824,0.999460018682946,3.774222442880273,3.768783286213875,1.0014432129027675
2419,prefill,254,8192,5523,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.172849118709564,4.716430138796568,15.088443644344807,ck_ua,triton_2d,3.2850638683885336,3.293939484283328,0.9973054708694123,3.291901182383299,3.2919249124825,0.9999927914214838
82,decode,752,752,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.02223532646894455,0.03437930718064308,0.12990422546863556,ck_ua,triton_2d,0.030939597636461258,0.03122862428426743,0.9907448165127216,0.03308936022222042,0.03311679698526859,0.9991715151963405
101,decode,672,672,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.021609896793961525,0.032523972913622856,0.11680526658892632,ck_ua,triton_2d,0.030544791370630264,0.030573531985282898,0.999059951115021,0.031450968235731125,0.03164797089993954,0.9937751881524642
1963,prefill,250,8192,5495,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6216227803379297,5.328925605863333,15.22311782464385,ck_ua,triton_2d,3.7779350113123655,3.773120976984501,1.0012758759544762,3.7792285811156034,3.7761238496750593,1.0008222006385759
1849,prefill,251,8192,7415,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5080835223197937,5.1649094093590975,15.22706146351993,ck_ua,triton_2d,3.6452556867152452,3.6446273140609264,1.0001724106747196,3.670635698363185,3.6499381065368652,1.0056706692612818
90,decode,720,720,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.021884776651859283,0.033267680555582047,0.12416890822350979,ck_ua,triton_2d,0.030787959694862366,0.03133689984679222,0.9824826273621943,0.03200840204954147,0.03197496756911278,1.0010456454836563
629,prefill,121,8192,4467,10198,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.374475007876754,4.1315588634461164,12.541381549090147,ck_ua,triton_2d,3.0751332733780146,3.0721364077180624,1.000975498891398,3.08085466735065,3.0673501174896955,1.0044026763635336
759,prefill,173,8192,7475,10263,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.616142040118575,4.599332017824054,13.292560447007418,ck_ua,triton_2d,3.1653262302279472,3.1666864082217216,0.9995704727849771,3.167004492133856,3.165219370275736,1.0005639804542092
1329,prefill,147,8192,5081,10273,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.423094470053911,4.16263728402555,12.890449119731784,ck_ua,triton_2d,3.072586487978697,3.077762359753251,0.9983183003852938,3.078426579013467,3.080588774755597,0.999298122566748
170,decode,400,400,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015931203961372375,0.02076956443488598,0.07048230618238449,ck_ua,triton_2d,0.03060187213122845,0.031284717842936516,0.9781731861819479,0.01924067735671997,0.019198916852474213,1.0021751489715096
