idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,csv_speedup_vs_best_triton,rocprof_ck_ms,rocprof_t2d_ms,rocprof_t3d_main_ms,rocprof_t3d_reduce_ms,rocprof_t3d_total_ms,sp_ck_vs_t2d,sp_ck_vs_t3d,sp_ck_vs_min_triton,ck_n,t2d_n,t3d_main_n,t3d_reduce_n,ck_n_ok,t2d_n_ok,t3d_n_ok,ck_eq_t2d,ck_eq_t2d_max_diff,ck_eq_t3d,ck_eq_t3d_max_diff
873,prefill,219,8192,4648,10320,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7894139755517244,4.830570658668876,13.597788382321596,ck_ua,1.7318,3.166794,3.388198,10.002089,0.496725,10.498814,1.0699,3.3153,1.0699,61,61,61,61,True,True,True,True,0.000488,True,0.000977
851,prefill,210,8192,5558,10309,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.5692457798868418,4.6820140443742275,13.891025027260184,ck_ua,1.8223,3.106614,3.294856,10.038809,0.496305,10.535114,1.0606,3.3912,1.0606,61,61,61,61,True,True,True,True,0.000488,True,0.000977
885,prefill,224,8192,6810,10326,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9021520633250475,4.916940629482269,13.963715359568596,ck_ua,1.6942,3.199474,3.462997,10.044949,0.496945,10.541894,1.0824,3.2949,1.0824,61,61,61,61,True,True,True,True,0.000488,True,0.000488
37,decode,928,928,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02644425258040428,0.04269196651875973,0.15877760015428066,ck_ua,1.6144,0.019800,0.037420,0.103041,0.049720,0.152761,1.8899,7.7152,1.8899,61,61,61,61,True,True,True,True,0.000000,True,0.000000
835,prefill,204,8192,6325,10301,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4073187727481127,4.475714499130845,13.580578099936247,ck_ua,1.8592,2.991132,3.183314,9.843364,0.494505,10.337870,1.0643,3.4562,1.0643,61,61,61,61,True,True,True,True,0.000488,True,0.000488
839,prefill,205,8192,7643,10303,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.426251070573926,4.475957341492176,13.523372961208224,ck_ua,1.8448,2.997392,3.183014,9.769165,0.495625,10.264790,1.0619,3.4246,1.0619,61,61,61,61,True,True,True,True,0.000488,True,0.000977
21,decode,992,992,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.027805287390947342,0.04542968235909939,0.1692670863121748,ck_ua,1.6339,0.020800,0.039840,0.110001,0.053481,0.163482,1.9153,7.8595,1.9153,61,61,61,61,True,True,True,True,0.000000,True,0.000000
1483,prefill,209,8192,5713,10350,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.543112775310874,4.688849672675133,13.905415590852499,ck_ua,1.8437,3.049992,3.312635,10.071147,0.494865,10.566012,1.0861,3.4643,1.0861,61,61,61,61,True,True,True,True,0.000488,True,0.000488
1851,prefill,251,8192,5358,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5099477972835302,5.180470691993833,15.223871124908328,ck_ua,1.4759,3.374376,3.609318,10.819836,0.498725,11.318561,1.0696,3.3543,1.0696,61,61,61,61,True,True,True,True,0.000488,True,0.000488
74,decode,784,784,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.024810759350657463,0.035419873893260956,0.13535101898014545,ck_ua,1.4276,0.017640,0.031281,0.087501,0.042321,0.129822,1.7732,7.3593,1.7732,61,61,61,61,True,True,True,True,0.000000,True,0.000000
949,prefill,249,8192,5785,10358,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.417647210881114,5.226964736357331,14.37647040002048,ck_ua,1.5294,3.411538,3.655939,10.265990,0.498966,10.764956,1.0716,3.1555,1.0716,61,61,61,61,True,True,True,True,0.000488,True,0.000977
2101,prefill,250,8192,6316,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.634698176756501,5.327352974563837,15.2432466391474,ck_ua,1.4657,3.489817,3.746080,10.845195,0.499245,11.344440,1.0734,3.2507,1.0734,61,61,61,61,True,True,True,True,0.000488,True,0.000488
2419,prefill,254,8192,5523,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.172849118709564,4.716430138796568,15.088443644344807,ck_ua,1.4865,3.029033,3.253095,10.761716,0.500565,11.262282,1.0740,3.7181,1.0740,61,61,61,61,True,True,True,True,0.000488,True,0.000977
82,decode,752,752,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.02223532646894455,0.03437930718064308,0.12990422546863556,ck_ua,1.5462,0.016880,0.029641,0.084401,0.040700,0.125101,1.7560,7.4112,1.7560,61,61,61,61,True,True,True,True,0.000000,True,0.000000
101,decode,672,672,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.021609896793961525,0.032523972913622856,0.11680526658892632,ck_ua,1.5050,0.015400,0.028381,0.075761,0.037200,0.112961,1.8429,7.3351,1.8429,61,61,61,61,True,True,True,True,0.000000,True,0.000000
1963,prefill,250,8192,5495,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6216227803379297,5.328925605863333,15.22311782464385,ck_ua,1.4714,3.493736,3.751079,10.826794,0.498606,11.325400,1.0737,3.2416,1.0737,61,61,61,61,True,True,True,True,0.000488,True,0.000488
1849,prefill,251,8192,7415,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5080835223197937,5.1649094093590975,15.22706146351993,ck_ua,1.4723,3.376796,3.611419,10.811557,0.498645,11.310201,1.0695,3.3494,1.0695,61,61,61,61,True,True,True,True,0.000488,True,0.000488
90,decode,720,720,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.021884776651859283,0.033267680555582047,0.12416890822350979,ck_ua,1.5201,0.016140,0.028081,0.080741,0.039161,0.119901,1.7398,7.4286,1.7398,61,61,61,61,True,True,True,True,0.000000,True,0.000000
629,prefill,121,8192,4467,10198,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.374475007876754,4.1315588634461164,12.541381549090147,ck_ua,1.2244,2.850129,3.026790,9.409277,0.480465,9.889742,1.0620,3.4699,1.0620,61,61,61,61,True,True,True,True,0.000488,True,0.000977
759,prefill,173,8192,7475,10263,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.616142040118575,4.599332017824054,13.292560447007418,ck_ua,1.2719,2.921132,3.127394,9.738245,0.492005,10.230251,1.0706,3.5022,1.0706,61,61,61,61,True,True,True,True,0.000488,True,0.000977
1329,prefill,147,8192,5081,10273,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.423094470053911,4.16263728402555,12.890449119731784,ck_ua,1.2160,2.843611,3.061632,9.588202,0.489565,10.077768,1.0767,3.5440,1.0767,61,61,61,61,True,True,True,True,0.000488,True,0.000488
170,decode,400,400,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015931203961372375,0.02076956443488598,0.07048230618238449,ck_ua,1.3037,0.010700,0.016040,0.044641,0.022720,0.067361,1.4991,6.2954,1.4991,61,61,61,61,True,True,True,True,0.000000,True,0.000000
793,prefill,187,8192,4304,10280,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.4176957327872515,4.240636248141527,13.363703340291977,ck_ua,1.2408,2.790191,3.005813,9.781866,0.492505,10.274370,1.0773,3.6823,1.0773,61,61,61,61,True,True,True,True,0.000488,True,0.000977
1251,prefill,116,8192,7419,10234,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.3068195451050997,4.053859319537878,12.381936330348253,ck_ua,1.2259,2.800669,2.990012,9.468723,0.481705,9.950428,1.0676,3.5529,1.0676,61,61,61,61,True,True,True,True,0.000488,True,0.000977
137,decode,528,528,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.020546233281493187,0.02672518603503704,0.09302161633968353,ck_ua,1.3007,0.013300,0.022260,0.058760,0.029040,0.087800,1.6737,6.6015,1.6737,61,61,61,61,True,True,True,True,0.000000,True,0.000000
723,prefill,159,8192,5053,10245,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6177370231598616,4.40421006642282,13.04968511685729,ck_ua,1.2174,2.980891,3.174734,9.625983,0.491246,10.117229,1.0650,3.3940,1.0650,61,61,61,61,True,True,True,True,0.000488,True,0.000977
177,decode,368,368,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.015536649152636528,0.020379014313220978,0.0655492302030325,ck_ua,1.3117,0.010860,0.015400,0.040841,0.020481,0.061322,1.4180,5.6466,1.4180,61,61,61,61,True,True,True,True,0.000000,True,0.000000
1241,prefill,112,8192,7822,10229,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1736153177917004,3.8909988943487406,12.554484559223056,ck_ua,1.2260,2.693450,2.880072,9.386002,0.481765,9.867768,1.0693,3.6636,1.0693,61,61,61,61,True,True,True,True,0.000488,True,0.000977
174,decode,384,384,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015454553067684174,0.020293844863772392,0.06875661201775074,ck_ua,1.3131,0.010440,0.015500,0.042121,0.021880,0.064001,1.4847,6.1304,1.4847,61,61,61,61,True,True,True,True,0.000000,True,0.000000
1375,prefill,165,8192,8028,10296,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.7644875701516867,4.658305319026113,13.031157106161118,ck_ua,1.2374,3.106015,3.323956,9.688046,0.492966,10.181012,1.0702,3.2778,1.0702,61,61,61,61,True,True,True,True,0.000488,True,0.000977
387,prefill,23,8192,6406,10077,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.653064951300621,2.8223232366144657,10.819998290389776,ck_ua,1.0638,2.450805,2.602148,9.041536,0.449645,9.491181,1.0618,3.8727,1.0618,61,61,61,61,True,True,True,True,0.000488,True,0.000977
1113,prefill,60,8192,6773,10165,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.917653787881136,3.090705769136548,11.672851582989097,ck_ua,1.0593,2.556887,2.734309,9.207879,0.464025,9.671904,1.0694,3.7827,1.0694,61,61,61,61,True,True,True,True,0.000488,True,0.000977
1165,prefill,81,8192,5549,10191,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0938684940338135,3.3359240274876356,11.884700367227197,ck_ua,1.0782,2.708350,2.924613,9.308222,0.473625,9.781847,1.0799,3.6117,1.0799,61,61,61,61,True,True,True,True,0.000488,True,0.000977
987,prefill,8,8192,7316,10102,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.351187542080879,2.4818699806928635,10.625023348256946,ck_ua,1.0556,2.289905,2.450726,9.553984,0.440405,9.994389,1.0702,4.3645,1.0702,61,61,61,61,True,True,True,True,0.000488,True,0.000977
249,decode,168,168,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.012444471940398216,0.013490067794919014,0.03383951261639595,ck_ua,1.0840,0.006580,0.009121,0.018520,0.010280,0.028800,1.3861,4.3769,1.3861,61,61,61,61,True,True,True,True,0.000000,True,0.000000
407,prefill,31,8192,4731,10087,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7337437495589256,2.8830767143517733,11.031835665926337,ck_ua,1.0546,2.459907,2.624568,9.022479,0.450705,9.473184,1.0669,3.8510,1.0669,61,61,61,61,True,True,True,True,0.000488,True,0.000488
359,prefill,11,8192,7295,10063,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4551020935177803,2.6099033188074827,10.01520431600511,ck_ua,1.0631,2.371865,2.522747,8.789654,0.441704,9.231358,1.0636,3.8920,1.0636,61,61,61,61,True,True,True,True,0.000488,True,0.000977
1115,prefill,60,8192,8133,10166,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.916231146082282,3.076222212985158,11.68656493537128,ck_ua,1.0549,2.566468,2.714349,9.155218,0.464005,9.619223,1.0576,3.7480,1.0576,61,61,61,61,True,True,True,True,0.000488,True,0.000977
549,prefill,89,8192,7183,10158,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0171443708240986,3.1724007800221443,11.81503115221858,ck_ua,1.0515,2.553647,2.733690,9.220860,0.476385,9.697245,1.0705,3.7974,1.0705,61,61,61,61,True,True,True,True,0.000488,True,0.000977
971,prefill,2,8192,6384,10000,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,1.954968273639679,2.093606907874346,7.447571959346533,ck_ua,1.0709,1.914341,2.043902,6.990495,0.429824,7.420319,1.0677,3.8762,1.0677,61,61,61,61,True,True,True,True,0.000488,True,0.000977
233,decode,200,200,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.013121962547302246,0.01454763114452362,0.03848755732178688,ck_ua,1.1086,0.006080,0.009200,0.022701,0.011960,0.034661,1.5130,5.7003,1.5130,61,61,61,61,True,True,True,True,0.000000,True,0.000000
415,prefill,34,8192,6076,10091,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.812399109825492,2.965439110994339,10.960345156490803,ck_ua,1.0544,2.502407,2.676388,8.996317,0.453785,9.450102,1.0695,3.7764,1.0695,61,61,61,61,True,True,True,True,0.000488,True,0.000488
529,prefill,80,8192,8113,10148,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.068314353004098,3.1885388772934675,11.532944859936833,ck_ua,1.0392,2.656988,2.828151,9.139678,0.476565,9.616243,1.0644,3.6192,1.0644,61,61,61,61,True,True,True,True,0.000488,True,0.000977
317,decode,16,16,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.012654811143875122,0.013133976608514786,0.013450020924210548,ck_ua,1.0379,0.005400,0.004960,0.004340,0.003760,0.008100,0.9185,1.5000,0.9185,61,61,61,61,True,True,True,True,0.000000,True,0.000000
523,prefill,78,8192,5491,10145,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.013139823451638,3.156080562621355,11.737529607489705,ck_ua,1.0474,2.635669,2.762410,9.202039,0.472346,9.674385,1.0481,3.6706,1.0481,61,61,61,61,True,True,True,True,0.000488,True,0.000977
547,prefill,88,8192,5289,10157,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.990710036829114,3.1228017527610064,11.896089557558298,ck_ua,1.0442,2.552269,2.721470,9.257520,0.476906,9.734426,1.0663,3.8140,1.0663,61,61,61,61,True,True,True,True,0.000488,True,0.000488
441,prefill,45,8192,6071,10104,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.833484625443816,2.9724822845309973,11.028441973030567,ck_ua,1.0491,2.521807,2.693709,8.930116,0.461705,9.391821,1.0682,3.7242,1.0682,61,61,61,61,True,True,True,True,0.000488,True,0.000488
557,prefill,92,8192,4767,10162,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.082994045689702,3.2053934410214424,11.965211620554328,ck_ua,1.0397,2.658589,2.824711,9.268720,0.477525,9.746245,1.0625,3.6659,1.0625,61,61,61,61,True,True,True,True,0.000488,True,0.000488
561,prefill,93,8192,8100,10164,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0910903587937355,3.2000949140638113,11.878561601042747,ck_ua,1.0353,2.666009,2.822231,9.236501,0.478526,9.715026,1.0586,3.6440,1.0586,61,61,61,61,True,True,True,True,0.000488,True,0.000977
1097,prefill,53,8192,6265,10157,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9014266096055508,3.044331120327115,11.376835498958826,ck_ua,1.0493,2.562007,2.751289,9.079058,0.462885,9.541943,1.0739,3.7244,1.0739,61,61,61,61,True,True,True,True,0.000488,True,0.000977
