idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,ck_allowed_backend,eager_triton_only_ms,eager_ck_allowed_ms,eager_speedup_ck,graph_triton_only_ms,graph_ck_allowed_ms,graph_speedup_ck
873,prefill,219,8192,4648,10320,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7894139755517244,4.830570658668876,13.597788382321596,ck_ua,ck,3.395843943580985,3.172808801755309,1.0702958027922405,3.4127062000334263,3.184455716982484,1.0716764506517387
851,prefill,210,8192,5558,10309,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.5692457798868418,4.6820140443742275,13.891025027260184,ck_ua,ck,3.3223566971719265,3.1031479965895414,1.0706407495947026,3.3310671616345644,3.117737788707018,1.0684244113473116
885,prefill,224,8192,6810,10326,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9021520633250475,4.916940629482269,13.963715359568596,ck_ua,ck,3.482231432572007,3.2268145866692066,1.0791544847224854,3.4892657212913036,3.232153821736574,1.0795481631553625
37,decode,928,928,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02644425258040428,0.04269196651875973,0.15877760015428066,ck_ua,triton_2d,0.03807283937931061,0.03750668838620186,1.0150946675771308,0.041917189955711365,0.04140871576964855,1.0122794000396291
835,prefill,204,8192,6325,10301,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4073187727481127,4.475714499130845,13.580578099936247,ck_ua,ck,3.1915749702602625,3.000520085915923,1.0636739228112913,3.204269288107753,3.0091818887740374,1.0648307103208026
839,prefill,205,8192,7643,10303,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.426251070573926,4.475957341492176,13.523372961208224,ck_ua,ck,3.2060384936630726,3.005116293206811,1.0668600416264937,3.2132468558847904,3.0106856673955917,1.0672807495923098
21,decode,992,992,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.027805287390947342,0.04542968235909939,0.1692670863121748,ck_ua,triton_2d,0.03988320007920265,0.03924892283976078,1.0161603731656892,0.04400637932121754,0.04395059309899807,1.0012692939568257
1483,prefill,209,8192,5713,10350,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.543112775310874,4.688849672675133,13.905415590852499,ck_ua,ck,3.3519396372139454,3.0904261395335197,1.0846205299441,3.3518786542117596,3.0913967080414295,1.0842602780460873
1851,prefill,251,8192,5358,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5099477972835302,5.180470691993833,15.223871124908328,ck_ua,ck,3.644055938348174,3.3994657825678587,1.0719495860304142,3.6476190481334925,3.401615656912327,1.0723195728245398
74,decode,784,784,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.024810759350657463,0.035419873893260956,0.13535101898014545,ck_ua,ck,0.03057513386011124,0.017415108159184456,1.7556671816583804,0.03461608663201332,0.022451067343354225,1.541845922183298
949,prefill,249,8192,5785,10358,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.417647210881114,5.226964736357331,14.37647040002048,ck_ua,ck,3.6981933284550905,3.454042449593544,1.070685546696242,3.702974310144782,3.4577884525060654,1.070908287480981
2101,prefill,250,8192,6316,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.634698176756501,5.327352974563837,15.2432466391474,ck_ua,ck,3.7837956100702286,3.535181535407901,1.070325688277177,3.779145246371627,3.538996744900942,1.0678577910015588
2419,prefill,254,8192,5523,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.172849118709564,4.716430138796568,15.088443644344807,ck_ua,ck,3.302770722657442,3.059182893484831,1.0796251279030693,3.3045411203056574,3.05720710195601,1.080901950735167
82,decode,752,752,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.02223532646894455,0.03437930718064308,0.12990422546863556,ck_ua,ck,0.029545165598392487,0.016228491440415382,1.8205737549217484,0.03298950381577015,0.02085343934595585,1.5819694424731847
101,decode,672,672,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.021609896793961525,0.032523972913622856,0.11680526658892632,ck_ua,triton_2d,0.028564464300870895,0.028492258861660957,1.002534212522795,0.031489431858062744,0.03148632124066353,1.0000987926590548
1963,prefill,250,8192,5495,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6216227803379297,5.328925605863333,15.22311782464385,ck_ua,ck,3.7818224169313908,3.5404518712311983,1.0681750676125574,3.7800593487918377,3.5467884223908186,1.0657696198984927
1849,prefill,251,8192,7415,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5080835223197937,5.1649094093590975,15.22706146351993,ck_ua,ck,3.6581446044147015,3.4124675020575523,1.0719939756815318,3.660239791497588,3.4178886376321316,1.0709066852550686
90,decode,720,720,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.021884776651859283,0.033267680555582047,0.12416890822350979,ck_ua,ck,0.028636790812015533,0.01598241738975048,1.7917684236165863,0.03189403563737869,0.020558182150125504,1.5514034949429605
629,prefill,121,8192,4467,10198,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.374475007876754,4.1315588634461164,12.541381549090147,ck_ua,ck,3.0781014170497656,2.8716750349849463,1.0718836148066808,3.087559398263693,2.8751830849796534,1.073865318140442
759,prefill,173,8192,7475,10263,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.616142040118575,4.599332017824054,13.292560447007418,ck_ua,ck,3.1699637230485678,2.9866430163383484,1.0613801869548414,3.1712824292480946,2.99059703014791,1.0604178353949774
1329,prefill,147,8192,5081,10273,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.423094470053911,4.16263728402555,12.890449119731784,ck_ua,ck,3.084371453151107,2.8785175643861294,1.07151385536495,3.09451499953866,2.8819552063941956,1.0737554118373727
170,decode,400,400,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015931203961372375,0.02076956443488598,0.07048230618238449,ck_ua,ck,0.02895217388868332,0.01050097867846489,2.757092912497539,0.019472334533929825,0.014850711449980736,1.3112055001213483
793,prefill,187,8192,4304,10280,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.4176957327872515,4.240636248141527,13.363703340291977,ck_ua,ck,3.0498040467500687,2.840834306553006,1.0735592849308486,3.057569367811084,2.8429671563208103,1.0754852939518296
1251,prefill,116,8192,7419,10234,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.3068195451050997,4.053859319537878,12.381936330348253,ck_ua,ck,3.0458148941397667,2.8507729340344667,1.0684172203884625,3.056517383083701,2.851639473810792,1.0718456562109235
137,decode,528,528,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.020546233281493187,0.02672518603503704,0.09302161633968353,ck_ua,triton_2d,0.028518298640847206,0.028333226218819618,1.0065319925305456,0.025372421368956566,0.025693094357848167,0.9875190981504472
723,prefill,159,8192,5053,10245,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6177370231598616,4.40421006642282,13.04968511685729,ck_ua,ck,3.239867929369211,3.026805454865098,1.0703918628670535,3.2491285353899,3.0285932775586843,1.0728177201822844
177,decode,368,368,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.015536649152636528,0.020379014313220978,0.0655492302030325,ck_ua,triton_2d,0.028585810214281082,0.028248392045497894,1.0119446858511356,0.019101668149232864,0.019012736156582832,1.0046774957542994
1241,prefill,112,8192,7822,10229,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1736153177917004,3.8909988943487406,12.554484559223056,ck_ua,ck,2.9288895428180695,2.7471490390598774,1.0661560407441115,2.933212509378791,2.746451487764716,1.0680008448887899
174,decode,384,384,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015454553067684174,0.020293844863772392,0.06875661201775074,ck_ua,ck,0.02865070477128029,0.010293573141098022,2.7833585460125363,0.0186256505548954,0.014586485922336578,1.2769114270609598
