idx,csv_bucket,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_ck_pagedkv_ms,csv_ck_splitkv_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,csv_speedup_vs_best_triton,our_ck_ua_ms,our_triton_ms,our_speedup,output_match,max_abs_diff
835,top,prefill,204,8192,6325,10301,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4073187727481127,21.08060377649963,18.357896339148283,4.475714499130845,13.580578099936247,ck_ua,1.8592,3.0038,3.1981,1.0600,True,0.000488
839,top,prefill,205,8192,7643,10303,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.426251070573926,40.74961724691093,21.11233905889094,4.475957341492176,13.523372961208224,ck_ua,1.8448,3.0003,3.2041,1.0700,True,0.000488
1483,top,prefill,209,8192,5713,10350,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.543112775310874,11.712628090754151,20.424386207014322,4.688849672675133,13.905415590852499,ck_ua,1.8437,3.0827,3.3304,1.0800,True,0.000488
851,top,prefill,210,8192,5558,10309,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.5692457798868418,41.71200250275433,18.082187278196216,4.6820140443742275,13.891025027260184,ck_ua,1.8223,3.1079,3.3348,1.0700,True,0.000488
873,top,prefill,219,8192,4648,10320,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7894139755517244,12.1485844720155,18.077235389500856,4.830570658668876,13.597788382321596,ck_ua,1.7318,3.1656,3.4095,1.0800,True,0.000488
885,top,prefill,224,8192,6810,10326,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9021520633250475,23.21479874663055,23.17014024592936,4.916940629482269,13.963715359568596,ck_ua,1.6942,3.2255,3.4853,1.0800,True,0.000488
21,top,decode,992,992,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.027805287390947342,0.0674121081829071,0.3004943020641804,0.04542968235909939,0.1692670863121748,ck_ua,1.6339,0.0258,0.0439,1.7000,True,0.000000
37,top,decode,928,928,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02644425258040428,0.06447713822126389,0.29165884479880333,0.04269196651875973,0.15877760015428066,ck_ua,1.6144,0.0256,0.0418,1.6300,True,0.000000
82,high,decode,752,752,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.02223532646894455,0.052222469821572304,0.23311777040362358,0.03437930718064308,0.12990422546863556,ck_ua,1.5462,0.0219,0.0332,1.5100,True,0.000000
949,high,prefill,249,8192,5785,10358,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.417647210881114,25.82560209557414,23.848404921591282,5.226964736357331,14.37647040002048,ck_ua,1.5294,3.4377,3.6925,1.0700,True,0.000488
90,high,decode,720,720,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.021884776651859283,0.05088695324957371,0.22563538514077663,0.033267680555582047,0.12416890822350979,ck_ua,1.5201,0.0216,0.0321,1.4900,True,0.000000
101,high,decode,672,672,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.021609896793961525,0.0479184091091156,0.2143982332199812,0.032523972913622856,0.11680526658892632,ck_ua,1.5050,0.0202,0.0316,1.5600,True,0.000000
2419,high,prefill,254,8192,5523,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.172849118709564,53.85076138190925,20.817616768181324,4.716430138796568,15.088443644344807,ck_ua,1.4865,3.0481,3.2931,1.0800,True,0.000488
1851,high,prefill,251,8192,5358,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5099477972835302,27.680970216169953,21.234883042052388,5.180470691993833,15.223871124908328,ck_ua,1.4759,3.3929,3.6341,1.0700,True,0.000488
1849,high,prefill,251,8192,7415,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5080835223197937,27.777504082769156,62.254721485078335,5.1649094093590975,15.22706146351993,ck_ua,1.4723,3.4038,3.6387,1.0700,True,0.000488
1963,high,prefill,250,8192,5495,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6216227803379297,14.596911612898111,34.38968029804528,5.328925605863333,15.22311782464385,ck_ua,1.4714,3.5256,3.7669,1.0700,True,0.000488
2101,high,prefill,250,8192,6316,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.634698176756501,27.596523612737656,23.774513322860003,5.327352974563837,15.2432466391474,ck_ua,1.4657,3.5256,3.7623,1.0700,True,0.000488
74,high,decode,784,784,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.024810759350657463,0.054395291954278946,0.24488563649356365,0.035419873893260956,0.13535101898014545,ck_ua,1.4276,0.0234,0.0349,1.4900,True,0.000000
174,mid,decode,384,384,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015454553067684174,0.031218072399497032,0.12834928929805756,0.020293844863772392,0.06875661201775074,ck_ua,1.3131,0.0154,0.0191,1.2400,True,0.000000
177,mid,decode,368,368,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.015536649152636528,0.030226027593016624,0.12439531274139881,0.020379014313220978,0.0655492302030325,ck_ua,1.3117,0.0156,0.0192,1.2300,True,0.000000
170,mid,decode,400,400,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015931203961372375,0.03229612484574318,0.13394635170698166,0.02076956443488598,0.07048230618238449,ck_ua,1.3037,0.0171,0.0187,1.0900,True,0.000000
137,mid,decode,528,528,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.020546233281493187,0.03980803303420544,0.17395168542861938,0.02672518603503704,0.09302161633968353,ck_ua,1.3007,0.0187,0.0351,1.8800,True,0.000000
759,mid,prefill,173,8192,7475,10263,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.616142040118575,9.724538680166006,16.64227321743965,4.599332017824054,13.292560447007418,ck_ua,1.2719,2.9699,3.1497,1.0600,True,0.000488
793,mid,prefill,187,8192,4304,10280,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.4176957327872515,19.203283078968525,15.587947936728597,4.240636248141527,13.363703340291977,ck_ua,1.2408,2.8253,3.0335,1.0700,True,0.000488
