idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,ck_allowed_backend,eager_triton_only_ms,eager_ck_allowed_ms,eager_speedup_ck,graph_triton_only_ms,graph_ck_allowed_ms,graph_speedup_ck
0,decode,1024,1024,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02893204800784588,0.048532336950302124,0.17744405195116997,ck_ua,triton_2d,0.0424063578248024,0.04194047302007675,1.0111082391584527,0.04728740081191063,0.046487171202898026,1.0172139880381175
1,decode,1024,1024,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.027972133830189705,0.04536551423370838,0.1765897497534752,ck_ua,ck,0.0403408519923687,0.02154119312763214,1.872730621435316,0.043958742171525955,0.026292651891708374,1.6719021859255188
4,decode,80,80,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,6.317627942189574,0.01749461516737938,5.748236458748579,t_2d,triton_2d,0.02899276092648506,0.02898653969168663,1.0002146249557415,0.012440942227840424,0.012380443513393402,1.0048866354732424
5,decode,72,72,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.348673323169351,0.015911180526018143,4.939186200499535,t_2d,triton_2d,0.02912694588303566,0.02883870154619217,1.0099950525297332,0.012083593755960464,0.012211780995130539,0.9895029857462078
6,decode,64,64,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.903373518958688,0.01735691912472248,4.688431043177843,t_2d,triton_2d,0.02912912517786026,0.028894785791635513,1.0081100925237723,0.011839829385280609,0.011826008558273315,1.0011686806194322
7,decode,56,56,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,4.99986601062119,0.017753522843122482,3.9169650059193373,t_2d,triton_2d,0.02959948033094406,0.028784852474927902,1.0283005742942652,0.011639520525932312,0.011796560138463974,0.9866876775357913
8,decode,48,48,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.775491381064057,0.016724923625588417,3.741726838052273,t_2d,triton_2d,0.029025394469499588,0.028995350003242493,1.0010361822241751,0.01164112240076065,0.011576823890209198,1.0055540717524287
9,decode,40,40,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.00513156875968,0.01788823865354061,2.9125329572707415,t_2d,triton_2d,0.02901338040828705,0.02942422404885292,0.9860372310962644,0.011511724442243576,0.011496301740407944,1.0013415359290216
10,decode,32,32,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.446654045954347,0.016731955111026764,2.650573756545782,t_2d,triton_2d,0.02920188009738922,0.028962083160877228,1.0082796853796732,0.011389944702386856,0.011300221085548401,1.0079399877364523
11,decode,24,24,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,4.472223529592156,0.019421055912971497,1.8906667828559875,t_2d,triton_2d,0.029401369392871857,0.02893386408686638,1.0161577210911725,0.011393744498491287,0.011300016194581985,1.008294528281671
12,decode,16,16,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.3606330417096615,0.018663890659809113,1.5370251145213842,t_2d,triton_2d,0.02901976928114891,0.0289028137922287,1.0040465087503576,0.010457523167133331,0.0104525126516819,1.0004793599030588
13,decode,8,8,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.127449193969369,0.019390461966395378,0.7375278975814581,ck_pk,triton_2d,0.029309820383787155,0.028895996510982513,1.0143211490438602,0.01042146235704422,0.010310709476470947,1.0107415382836662
14,decode,4,4,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.033986922353506,0.016460567712783813,0.3603814635425806,t_2d,triton_2d,0.02949189394712448,0.029118340462446213,1.0128288040714422,0.010257400572299957,0.010218750685453415,1.0037822516701147
15,decode,2,2,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,4.740801313892007,0.018789619207382202,0.18612220883369446,ck_pk,triton_2d,0.029300618916749954,0.02910492941737175,1.0067235861173882,0.010318122804164886,0.010305698961019516,1.001205531346526
16,decode,1,1,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,3.9694824256002903,0.01817764714360237,0.06601149216294289,ck_pk,triton_2d,0.028859339654445648,0.02875780686736107,1.0035306164879985,0.010245610028505325,0.010199546813964844,1.0045162020804115
17,decode,1008,1008,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02764700911939144,0.04605208523571491,0.1724964939057827,ck_ua,triton_2d,0.04181206226348877,0.04143368452787399,1.0091321286032437,0.04547823220491409,0.044933222234249115,1.0121293320079225
18,decode,1008,1008,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.02707419916987419,0.04432494752109051,0.1728360541164875,ck_ua,ck,0.039023011922836304,0.020575914531946182,1.8965383950370294,0.043055154383182526,0.025580767542123795,1.6831064319037221
