Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit
111,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,116,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.2035146542,0.0032371092,0.0000000000,83622.0000000000,993.9375000000,0.0000000000
1613,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1619,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1709108404,0.1152407555,0.0000000000,73541.0000000000,993.9375000000,0.0000000000
1615,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1621,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1794425272,0.1241835895,0.0000000000,83646.0000000000,993.9375000000,0.0000000000
1617,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1624,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1634460081,0.1109715546,0.0000000000,83673.0000000000,993.9375000000,0.0000000000
1619,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1626,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1679277778,0.1114009077,0.0000000000,83650.0000000000,993.9375000000,0.0000000000
1621,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1628,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1709516759,0.1090742361,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1623,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1630,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1627829475,0.0988854335,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1625,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1632,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1542942005,0.0957206664,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1627,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1634,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1703783204,0.1081424403,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1629,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1636,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1700532253,0.1098818331,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1631,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1638,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1649082941,0.1122078396,0.0000000000,83673.0000000000,993.9375000000,0.0000000000
1633,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1640,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1651463235,0.1114148456,0.0000000000,83673.0000000000,993.9375000000,0.0000000000
1635,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1642,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1629421972,0.1091961304,0.0000000000,83670.0000000000,993.9375000000,0.0000000000
1637,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1644,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1625157957,0.1107498760,0.0000000000,83670.0000000000,993.9375000000,0.0000000000
1639,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1646,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1667886938,0.1007955295,0.0000000000,83671.0000000000,993.9375000000,0.0000000000
1641,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1648,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1573445485,0.1129889564,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1643,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1650,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1658255698,0.1049364934,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1645,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1652,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1661482710,0.1021664688,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1647,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1654,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1660098168,0.1134271060,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1649,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1656,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1650561776,0.1133035117,0.0000000000,83671.0000000000,993.9375000000,0.0000000000
1651,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1658,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1658580542,0.0996311454,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1653,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1660,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1619743009,0.1051497784,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
