Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,WriteSize,VALUUtilization,L2CacheHit,MemUnitStalled
111,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,116,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0371997093
1613,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1619,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0417990472
1615,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1621,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0566759628
1617,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1624,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0520500624
1619,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1626,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0532472475
1621,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1628,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0563460883
1623,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1630,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0550580785
1625,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1632,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0497696478
1627,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1634,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0553168802
1629,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1636,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0554571582
1631,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1638,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0556989087
1633,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1640,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0539004645
1635,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1642,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0552411687
