config_idx,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,kernel_type,stage,block_m,kernel_name,time_us,quant_time_us,error,tflops,bandwidth_gb,FETCH_SIZE,WRITE_SIZE,MfmaUtil,SQ_BUSY_CU_CYCLES,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_INSTS_VALU_MFMA_MOPS_F8,SQ_VALU_MFMA_BUSY_CYCLES,TCC_HIT,TCC_MISS,TCC_TAG_STALL_sum,TCP_PENDING_STALL_CYCLES_sum,GRBM_GUI_ACTIVE,LDSBankConflict,OccupancyPercent,MemUnitStalled,SQ_INSTS_LDS,SQ_INSTS_MFMA,SQ_INSTS_VALU,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAIT_ANY,SQ_WAVES_sum,SQ_WAVE_CYCLES,MFMA_FLOPS
0,1,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage1,16,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight0_silu_F8_F8_B16,50.0494,39.51311111111109,0.00%,1.76,28158.33,28805.0,4.0,0.858440544,1074300.0,0.0,0.0,1835008.0,917504.0,2937.0,230504.0,25982.0,372683.0,687516.0,0.647758624,0.505511176,0.00491363318,16128.0,57344.0,122368.0,174080.0,247808.0,545907.0,64.0,1086817.0,939524096.0
0,1,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage2,16,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,12.9077,39.51311111111109,15.40%,6.82,109183.48,14424.25,112.0,1.064422,4046554.0,0.0,0.0,917504.0,458752.0,12062.0,117219.0,617487.0,1929671.0,253014.0,3.137679,7.476993,0.0129479812,16576.0,28672.0,215488.0,315392.0,439040.0,4432976.0,1792.0,6012555.0,469762048.0
1,1,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage1,16,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight0_silu_F8_F8_B16,49.2078,38.844666666666726,0.04%,2.01,28751.8,32391.25,4.5,0.953465921,1224937.0,0.0,0.0,2064384.0,1032192.0,3419.0,259198.0,25962.0,435165.0,682520.0,0.740829511,0.575500434,0.00521084892,18144.0,64512.0,137664.0,195840.0,278784.0,604214.0,72.0,1217079.0,1056964608.0
1,1,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage2,16,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,12.4864,38.844666666666726,17.34%,7.94,113308.29,16224.0,126.0,1.223221,4303931.0,0.0,0.0,1032192.0,516096.0,12449.0,131840.0,730822.0,2165724.0,275659.0,3.213452,8.261216,0.0117872581,18648.0,32256.0,242424.0,354816.0,493920.0,5279938.0,2016.0,7297353.0,528482304.0
2,2,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage1,16,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight0_silu_F8_F8_B16,49.6578,38.42233333333333,0.00%,3.55,28380.82,57551.0,8.0,1.56858,2321851.0,0.0,0.0,3670016.0,1835008.0,6346.0,460504.0,26040.0,935287.0,750716.0,1.206849,1.001623,0.00480784429,32256.0,114688.0,244736.0,348160.0,495616.0,1184480.0,128.0,2311641.0,1879048192.0
2,2,7168,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage2,16,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,15.3936,38.42233333333333,14.96%,11.44,91552.93,28818.75,224.0,1.828224,6422409.0,0.0,0.0,1835008.0,917504.0,15082.0,234157.0,1422441.0,3888179.0,310624.0,5.08055,18.154912,0.0117069856,33152.0,57344.0,430976.0,630784.0,878080.0,10914046.0,3584.0,18032423.0,939524096.0
3,2,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage1,16,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight0_silu_F8_F8_B16,50.0516,38.48466666666664,0.02%,3.96,28267.51,61139.125,9.0,1.577622,2518017.0,0.0,0.0,3899392.0,1949696.0,6958.0,489233.0,25448.0,1021899.0,797797.0,1.198293,1.00585,0.00449294915,34272.0,121856.0,260032.0,369920.0,526592.0,1279493.0,144.0,2484096.0,1996488704.0
3,2,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,ck,stage2,16,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,16.7668,38.48466666666664,17.41%,11.82,84383.08,30622.25,252.0,1.936014,6568649.0,0.0,0.0,1949696.0,974848.0,15563.0,249045.0,1417684.0,4036112.0,329386.0,5.103432,18.172466,0.0541100488,35224.0,60928.0,458920.0,670208.0,932960.0,11149937.0,4032.0,19091987.0,998244352.0
4,4,2304,1536,8,2,ActivationType.Gelu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,0,asm,asm_1stage,32,_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_gelu_1tg_32x128E,48.7403,0.0,0.00%,3.49,1743.16,62970.5,432.0,4.416469,3875076.0,0.0,0.0,7962624.0,3981312.0,37532.0,510704.0,25817.0,1438449.0,562087.0,0.0,2.185925,0.0100429649,93600.0,248832.0,916992.0,0.0,381312.0,1666207.0,432.0,3854276.0,4076863488.0
5,4,2304,1536,8,2,ActivationType.Gelu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Token,1,1,asm,asm_1stage,32,_ZN5aiter50fmoe_bf16_pertokenFp8_g1u1_vs_tkw1_gelu_1tg_32x128E,52.5164,0.0,0.00%,3.23,1617.82,62968.0,432.0,4.537411,4114193.0,0.0,0.0,7962624.0,3981312.0,37597.0,510688.0,24629.0,1535723.0,590201.0,0.0,2.240016,0.00826143284,93600.0,248832.0,839520.0,0.0,381312.0,1586618.0,432.0,4141956.0,4076863488.0
